gene,chrom,gene_start_1based,gene_end_1based,gene_length_bp,window_type,flank_each_side_bp,query_start_0based,query_end_0based_exclusive,window_length_bp,gene_fraction_of_window,overlaps_extended_mhc
CTSL,9,90340434,90346308,5875,gene_body,0,90340433,90346308,5875,1.0,False
CTSL,9,90340434,90346308,5875,gene_body_plus_10kb,10000,90330433,90356308,25875,0.22705314009661837,False
CYP11B1,8,143953772,143961262,7491,gene_body,0,143953771,143961262,7491,1.0,False
CYP11B1,8,143953772,143961262,7491,gene_body_plus_10kb,10000,143943771,143971262,27491,0.27248917827652686,False
CYP11B2,8,143991975,143999259,7285,gene_body,0,143991974,143999259,7285,1.0,False
CYP11B2,8,143991975,143999259,7285,gene_body_plus_10kb,10000,143981974,144009259,27285,0.2669965182334616,False
CYP2A6,19,41349443,41356352,6910,gene_body,0,41349442,41356352,6910,1.0,False
CYP2A6,19,41349443,41356352,6910,gene_body_plus_10kb,10000,41339442,41366352,26910,0.25678186547751763,False
DGAT1,8,145539954,145550573,10620,gene_body,0,145539953,145550573,10620,1.0,False
DGAT1,8,145539954,145550573,10620,gene_body_plus_10kb,10000,145529953,145560573,30620,0.34683213585891576,False
DPP4,2,162848751,162931052,82302,gene_body,0,162848750,162931052,82302,1.0,False
DPP4,2,162848751,162931052,82302,gene_body_plus_10kb,10000,162838750,162941052,102302,0.8045004007741784,False
DRD2,11,113280318,113346413,66096,gene_body,0,113280317,113346413,66096,1.0,False
DRD2,11,113280318,113346413,66096,gene_body_plus_10kb,10000,113270317,113356413,86096,0.7677011707860992,False
EDNRA,4,148402069,148466106,64038,gene_body,0,148402068,148466106,64038,1.0,False
EDNRA,4,148402069,148466106,64038,gene_body_plus_10kb,10000,148392068,148476106,84038,0.7620124229515219,False
EPHX2,8,27348296,27403081,54786,gene_body,0,27348295,27403081,54786,1.0,False
EPHX2,8,27348296,27403081,54786,gene_body_plus_10kb,10000,27338295,27413081,74786,0.7325702671623031,False
FBP1,9,97365415,97402531,37117,gene_body,0,97365414,97402531,37117,1.0,False
FBP1,9,97365415,97402531,37117,gene_body_plus_10kb,10000,97355414,97412531,57117,0.6498415533028695,False
FGFR1,8,38268656,38326352,57697,gene_body,0,38268655,38326352,57697,1.0,False
FGFR1,8,38268656,38326352,57697,gene_body_plus_10kb,10000,38258655,38336352,77697,0.7425898039821357,False
FGFR3,4,1795034,1810599,15566,gene_body,0,1795033,1810599,15566,1.0,False
FGFR3,4,1795034,1810599,15566,gene_body_plus_10kb,10000,1785033,1820599,35566,0.4376651858516561,False
FGFR4,5,176513887,176525145,11259,gene_body,0,176513886,176525145,11259,1.0,False
FGFR4,5,176513887,176525145,11259,gene_body_plus_10kb,10000,176503886,176535145,31259,0.3601842669311238,False
GATA3,10,8095567,8117161,21595,gene_body,0,8095566,8117161,21595,1.0,False
GATA3,10,8095567,8117161,21595,gene_body_plus_10kb,10000,8085566,8127161,41595,0.5191729775213367,False
GCK,7,44183872,44237769,53898,gene_body,0,44183871,44237769,53898,1.0,False
GCK,7,44183872,44237769,53898,gene_body_plus_10kb,10000,44173871,44247769,73898,0.7293566808303337,False
GDF15,19,18485541,18499986,14446,gene_body,0,18485540,18499986,14446,1.0,False
GDF15,19,18485541,18499986,14446,gene_body_plus_10kb,10000,18475540,18509986,34446,0.41938106021018406,False
GFRAL,6,55192267,55267291,75025,gene_body,0,55192266,55267291,75025,1.0,False
GFRAL,6,55192267,55267291,75025,gene_body_plus_10kb,10000,55182266,55277291,95025,0.7895290712970271,False
GHR,5,42423879,42721979,298101,gene_body,0,42423878,42721979,298101,1.0,False
GHR,5,42423879,42721979,298101,gene_body_plus_10kb,10000,42413878,42731979,318101,0.9371268873722497,False
GIPR,19,46171502,46186982,15481,gene_body,0,46171501,46186982,15481,1.0,False
GIPR,19,46171502,46186982,15481,gene_body_plus_10kb,10000,46161501,46196982,35481,0.43631802936783065,False
GLP1R,6,39016574,39055519,38946,gene_body,0,39016573,39055519,38946,1.0,False
GLP1R,6,39016574,39055519,38946,gene_body_plus_10kb,10000,39006573,39065519,58946,0.6607064092559292,False
GLP2R,17,9725523,9795419,69897,gene_body,0,9725522,9795419,69897,1.0,False
GLP2R,17,9725523,9795419,69897,gene_body_plus_10kb,10000,9715522,9805419,89897,0.7775231654004027,False
HCRTR1,1,32083287,32098119,14833,gene_body,0,32083286,32098119,14833,1.0,False
HCRTR1,1,32083287,32098119,14833,gene_body_plus_10kb,10000,32073286,32108119,34833,0.425831826141877,False
HRH4,18,22040593,22059921,19329,gene_body,0,22040592,22059921,19329,1.0,False
HRH4,18,22040593,22059921,19329,gene_body_plus_10kb,10000,22030592,22069921,39329,0.4914693991710951,False
HSD11B1,1,209859510,209908295,48786,gene_body,0,209859509,209908295,48786,1.0,False
HSD11B1,1,209859510,209908295,48786,gene_body_plus_10kb,10000,209849509,209918295,68786,0.7092431599453377,False
HTR1A,5,63256183,63258334,2152,gene_body,0,63256182,63258334,2152,1.0,False
HTR1A,5,63256183,63258334,2152,gene_body_plus_10kb,10000,63246182,63268334,22152,0.09714698447092814,False
IAPP,12,21507893,21532912,25020,gene_body,0,21507892,21532912,25020,1.0,False
IAPP,12,21507893,21532912,25020,gene_body_plus_10kb,10000,21497892,21542912,45020,0.555752998667259,False
IL13,5,131991955,131996802,4848,gene_body,0,131991954,131996802,4848,1.0,False
IL13,5,131991955,131996802,4848,gene_body_plus_10kb,10000,131981954,132006802,24848,0.19510624597553122,False
IL17RB,3,53880607,53899827,19221,gene_body,0,53880606,53899827,19221,1.0,False
IL17RB,3,53880607,53899827,19221,gene_body_plus_10kb,10000,53870606,53909827,39221,0.4900690956375411,False
IL1R1,2,102681004,102796334,115331,gene_body,0,102681003,102796334,115331,1.0,False
IL1R1,2,102681004,102796334,115331,gene_body_plus_10kb,10000,102671003,102806334,135331,0.8522142007374511,False
IL1RL1,2,102927962,102968497,40536,gene_body,0,102927961,102968497,40536,1.0,False
IL1RL1,2,102927962,102968497,40536,gene_body_plus_10kb,10000,102917961,102978497,60536,0.6696180784987446,False
IL3,5,131396222,131398897,2676,gene_body,0,131396221,131398897,2676,1.0,False
IL3,5,131396222,131398897,2676,gene_body_plus_10kb,10000,131386221,131408897,22676,0.11801023108131946,False
IL33,9,6215805,6257983,42179,gene_body,0,6215804,6257983,42179,1.0,False
IL33,9,6215805,6257983,42179,gene_body_plus_10kb,10000,6205804,6267983,62179,0.6783479953038807,False
IL4R,16,27324989,27376099,51111,gene_body,0,27324988,27376099,51111,1.0,False
IL4R,16,27324989,27376099,51111,gene_body_plus_10kb,10000,27314988,27386099,71111,0.7187495605461883,False
IL5,5,131877136,131892530,15395,gene_body,0,131877135,131892530,15395,1.0,False
IL5,5,131877136,131892530,15395,gene_body_plus_10kb,10000,131867135,131902530,35395,0.43494843904506286,False
IL6,7,22765503,22771621,6119,gene_body,0,22765502,22771621,6119,1.0,False
IL6,7,22765503,22771621,6119,gene_body_plus_10kb,10000,22755502,22781621,26119,0.2342739002258892,False
INS,11,2181009,2182571,1563,gene_body,0,2181008,2182571,1563,1.0,False
INS,11,2181009,2182571,1563,gene_body_plus_10kb,10000,2171008,2192571,21563,0.0724852757037518,False
INSR,19,7112266,7294045,181780,gene_body,0,7112265,7294045,181780,1.0,False
INSR,19,7112266,7294045,181780,gene_body_plus_10kb,10000,7102265,7304045,201780,0.9008821488750124,False
ITGB7,12,53585102,53601091,15990,gene_body,0,53585101,53601091,15990,1.0,False
ITGB7,12,53585102,53601091,15990,gene_body_plus_10kb,10000,53575101,53611091,35990,0.44429008057793834,False
KCNJ11,11,17407406,17410878,3473,gene_body,0,17407405,17410878,3473,1.0,False
KCNJ11,11,17407406,17410878,3473,gene_body_plus_10kb,10000,17397405,17420878,23473,0.14795722745281814,False
KIT,4,55524085,55606881,82797,gene_body,0,55524084,55606881,82797,1.0,False
KIT,4,55524085,55606881,82797,gene_body_plus_10kb,10000,55514084,55616881,102797,0.8054417930484352,False
LEPR,1,65886248,66107242,220995,gene_body,0,65886247,66107242,220995,1.0,False
LEPR,1,65886248,66107242,220995,gene_body_plus_10kb,10000,65876247,66117242,240995,0.9170107263636175,False
MAPK1,22,22108789,22221970,113182,gene_body,0,22108788,22221970,113182,1.0,False
MAPK1,22,22108789,22221970,113182,gene_body_plus_10kb,10000,22098788,22231970,133182,0.8498295565466805,False
MAPK3,16,30125426,30134827,9402,gene_body,0,30125425,30134827,9402,1.0,False
MAPK3,16,30125426,30134827,9402,gene_body_plus_10kb,10000,30115425,30144827,29402,0.31977416502278755,False
MC1R,16,89978527,89987385,8859,gene_body,0,89978526,89987385,8859,1.0,False
MC1R,16,89978527,89987385,8859,gene_body_plus_10kb,10000,89968526,89997385,28859,0.30697529366921933,False
MC4R,18,58038564,58040001,1438,gene_body,0,58038563,58040001,1438,1.0,False
MC4R,18,58038564,58040001,1438,gene_body_plus_10kb,10000,58028563,58050001,21438,0.0670771527194701,False
METAP2,12,95867296,95909615,42320,gene_body,0,95867295,95909615,42320,1.0,False
METAP2,12,95867296,95909615,42320,gene_body_plus_10kb,10000,95857295,95919615,62320,0.6790757381258024,False
MME,3,154741913,154901497,159585,gene_body,0,154741912,154901497,159585,1.0,False
MME,3,154741913,154901497,159585,gene_body_plus_10kb,10000,154731912,154911497,179585,0.8886321240638138,False
MMP12,11,102733467,102745764,12298,gene_body,0,102733466,102745764,12298,1.0,False
MMP12,11,102733467,102745764,12298,gene_body_plus_10kb,10000,102723466,102755764,32298,0.38076661093566166,False
MTTP,4,100484918,100545156,60239,gene_body,0,100484917,100545156,60239,1.0,False
MTTP,4,100484918,100545156,60239,gene_body_plus_10kb,10000,100474917,100555156,80239,0.7507446503570583,False
NFKB1,4,103422486,103538459,115974,gene_body,0,103422485,103538459,115974,1.0,False
NFKB1,4,103422486,103538459,115974,gene_body_plus_10kb,10000,103412485,103548459,135974,0.8529130569079383,False
NPR1,1,153651113,153666468,15356,gene_body,0,153651112,153666468,15356,1.0,False
NPR1,1,153651113,153666468,15356,gene_body_plus_10kb,10000,153641112,153676468,35356,0.43432514990383525,False
NPY,7,24323782,24331484,7703,gene_body,0,24323781,24331484,7703,1.0,False
NPY,7,24323782,24331484,7703,gene_body_plus_10kb,10000,24313781,24341484,27703,0.27805652817384396,False
NPY5R,4,164265091,164273086,7996,gene_body,0,164265090,164273086,7996,1.0,False
NPY5R,4,164265091,164273086,7996,gene_body_plus_10kb,10000,164255090,164283086,27996,0.28561223031861693,False
NR3C1,5,142657496,142815077,157582,gene_body,0,142657495,142815077,157582,1.0,False
NR3C1,5,142657496,142815077,157582,gene_body_plus_10kb,10000,142647495,142825077,177582,0.887375972790035,False
OPRL1,20,62711526,62731996,20471,gene_body,0,62711525,62731996,20471,1.0,False
OPRL1,20,62711526,62731996,20471,gene_body_plus_10kb,10000,62701525,62741996,40471,0.5058189814929208,False
OPRM1,6,154331631,154568001,236371,gene_body,0,154331630,154568001,236371,1.0,False
OPRM1,6,154331631,154568001,236371,gene_body_plus_10kb,10000,154321630,154578001,256371,0.9219880563714304,False
P2RY2,11,72929343,72947397,18055,gene_body,0,72929342,72947397,18055,1.0,False
P2RY2,11,72929343,72947397,18055,gene_body_plus_10kb,10000,72919342,72957397,38055,0.4744448824070424,False
PDE3A,12,20522179,20837315,315137,gene_body,0,20522178,20837315,315137,1.0,False
PDE3A,12,20522179,20837315,315137,gene_body_plus_10kb,10000,20512178,20847315,335137,0.940322912719276,False
PDE4B,1,66258197,66840259,582063,gene_body,0,66258196,66840259,582063,1.0,False
PDE4B,1,66258197,66840259,582063,gene_body_plus_10kb,10000,66248196,66850259,602063,0.9667808850568794,False
PDE4D,5,58264865,59817947,1553083,gene_body,0,58264864,59817947,1553083,1.0,False
PDE4D,5,58264865,59817947,1553083,gene_body_plus_10kb,10000,58254864,59827947,1573083,0.9872861126844547,False
PDE5A,4,120415550,120550146,134597,gene_body,0,120415549,120550146,134597,1.0,False
PDE5A,4,120415550,120550146,134597,gene_body_plus_10kb,10000,120405549,120560146,154597,0.8706313835326688,False
PPARA,22,46546424,46639653,93230,gene_body,0,46546423,46639653,93230,1.0,False
PPARA,22,46546424,46639653,93230,gene_body_plus_10kb,10000,46536423,46649653,113230,0.8233683652742206,False
PPARD,6,35310335,35395968,85634,gene_body,0,35310334,35395968,85634,1.0,False
PPARD,6,35310335,35395968,85634,gene_body_plus_10kb,10000,35300334,35405968,105634,0.8106670200882292,False
PPARG,3,12328867,12475855,146989,gene_body,0,12328866,12475855,146989,1.0,False
PPARG,3,12328867,12475855,146989,gene_body_plus_10kb,10000,12318866,12485855,166989,0.8802316320236663,False
RARG,12,53604354,53626764,22411,gene_body,0,53604353,53626764,22411,1.0,False
RARG,12,53604354,53626764,22411,gene_body_plus_10kb,10000,53594353,53636764,42411,0.5284242295630851,False
REN,1,204123944,204135465,11522,gene_body,0,204123943,204135465,11522,1.0,False
REN,1,204123944,204135465,11522,gene_body_plus_10kb,10000,204113943,204145465,31522,0.36552249222765054,False
SELE,1,169691781,169733846,42066,gene_body,0,169691780,169733846,42066,1.0,False
SELE,1,169691781,169733846,42066,gene_body_plus_10kb,10000,169681780,169743846,62066,0.6777623819804725,False
SERPINA1,14,94843084,94857030,13947,gene_body,0,94843083,94857030,13947,1.0,False
SERPINA1,14,94843084,94857030,13947,gene_body_plus_10kb,10000,94833083,94867030,33947,0.4108463192623796,False
SLC12A2,5,127419458,127525380,105923,gene_body,0,127419457,127525380,105923,1.0,False
SLC12A2,5,127419458,127525380,105923,gene_body_plus_10kb,10000,127409457,127535380,125923,0.8411727801910691,False
SLC5A1,22,32439019,32509016,69998,gene_body,0,32439018,32509016,69998,1.0,False
SLC5A1,22,32439019,32509016,69998,gene_body_plus_10kb,10000,32429018,32519016,89998,0.777772839396431,False
SLC6A4,17,28521337,28563020,41684,gene_body,0,28521336,28563020,41684,1.0,False
SLC6A4,17,28521337,28563020,41684,gene_body_plus_10kb,10000,28511336,28573020,61684,0.6757668114908242,False
SREBF1,17,17713713,17740325,26613,gene_body,0,17713712,17740325,26613,1.0,False
SREBF1,17,17713713,17740325,26613,gene_body_plus_10kb,10000,17703712,17750325,46613,0.570935146847446,False
SREBF2,22,42229109,42303312,74204,gene_body,0,42229108,42303312,74204,1.0,False
SREBF2,22,42229109,42303312,74204,gene_body_plus_10kb,10000,42219108,42313312,94204,0.7876947900301473,False
TGFB1,19,41807492,41859816,52325,gene_body,0,41807491,41859816,52325,1.0,False
TGFB1,19,41807492,41859816,52325,gene_body_plus_10kb,10000,41797491,41869816,72325,0.723470445903906,False
TNFSF15,9,117546915,117568406,21492,gene_body,0,117546914,117568406,21492,1.0,False
TNFSF15,9,117546915,117568406,21492,gene_body_plus_10kb,10000,117536914,117578406,41492,0.5179793695170153,False
TNFSF4,1,173152873,173176452,23580,gene_body,0,173152872,173176452,23580,1.0,False
TNFSF4,1,173152873,173176452,23580,gene_body_plus_10kb,10000,173142872,173186452,43580,0.5410738871041763,False
TP53,17,7565097,7590856,25760,gene_body,0,7565096,7590856,25760,1.0,False
TP53,17,7565097,7590856,25760,gene_body_plus_10kb,10000,7555096,7600856,45760,0.5629370629370629,False
TSLP,5,110405760,110413722,7963,gene_body,0,110405759,110413722,7963,1.0,False
TSLP,5,110405760,110413722,7963,gene_body_plus_10kb,10000,110395759,110423722,27963,0.2847691592461467,False
TYK2,19,10461209,10491352,30144,gene_body,0,10461208,10491352,30144,1.0,False
TYK2,19,10461209,10491352,30144,gene_body_plus_10kb,10000,10451208,10501352,50144,0.601148691767709,False
VDR,12,48235320,48336831,101512,gene_body,0,48235319,48336831,101512,1.0,False
VDR,12,48235320,48336831,101512,gene_body_plus_10kb,10000,48225319,48346831,121512,0.835407202580815,False
VEGFA,6,43737921,43754224,16304,gene_body,0,43737920,43754224,16304,1.0,False
VEGFA,6,43737921,43754224,16304,gene_body_plus_10kb,10000,43727920,43764224,36304,0.4490965182899956,False
