gene,chrom,start_1based,end_1based,strand,gene_ids,gene_types,gene_statuses,annotation_sources,n_gene_records,start_0based,coordinate_source,genome_assembly,coordinate_rule,n_pairs,n_indications,n_A,n_B
CALCR,7,93053799,93204042,-,ENSG00000004948.9,protein_coding,KNOWN,HAVANA,1,93053798,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,3,3,0,3
CCKBR,11,6280966,6293357,+,ENSG00000110148.5,protein_coding,KNOWN,HAVANA,1,6280965,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
CHRM3,1,239549865,240078750,+,ENSG00000133019.7,protein_coding,KNOWN,HAVANA,1,239549864,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,3,3,2,1
CHRNA3,15,78885394,78913637,-,ENSG00000080644.11,protein_coding,KNOWN,HAVANA,1,78885393,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
CHRNA4,20,61975420,62009753,-,ENSG00000101204.11,protein_coding,KNOWN,HAVANA,1,61975419,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
CHRNB4,15,78916461,79020096,-,ENSG00000117971.7,protein_coding,KNOWN,HAVANA,1,78916460,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
CSF2,5,131409483,131411859,+,ENSG00000164400.4,protein_coding,KNOWN,HAVANA,1,131409482,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
CTSL,9,90340434,90346308,+,ENSG00000135047.10,protein_coding,KNOWN,HAVANA,1,90340433,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
CYP11B1,8,143953772,143961262,-,ENSG00000160882.7,protein_coding,KNOWN,HAVANA,1,143953771,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
CYP11B2,8,143991975,143999259,-,ENSG00000179142.2,protein_coding,KNOWN,HAVANA,1,143991974,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
CYP2A6,19,41349443,41356352,-,ENSG00000255974.2,protein_coding,KNOWN,HAVANA,1,41349442,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
DGAT1,8,145539954,145550573,-,ENSG00000185000.5,protein_coding,KNOWN,HAVANA,1,145539953,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
DPP4,2,162848751,162931052,-,ENSG00000197635.5,protein_coding,KNOWN,HAVANA,1,162848750,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
DRD2,11,113280318,113346413,-,ENSG00000149295.9,protein_coding,KNOWN,HAVANA,1,113280317,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
EDNRA,4,148402069,148466106,+,ENSG00000151617.11,protein_coding,KNOWN,HAVANA,1,148402068,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
EPHX2,8,27348296,27403081,+,ENSG00000120915.9,protein_coding,KNOWN,HAVANA,1,27348295,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
FBP1,9,97365415,97402531,-,ENSG00000165140.5,protein_coding,KNOWN,HAVANA,1,97365414,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
FGFR1,8,38268656,38326352,-,ENSG00000077782.15,protein_coding,KNOWN,HAVANA,1,38268655,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
FGFR3,4,1795034,1810599,+,ENSG00000068078.13,protein_coding,KNOWN,HAVANA,1,1795033,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
FGFR4,5,176513887,176525145,+,ENSG00000160867.10,protein_coding,KNOWN,HAVANA,1,176513886,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
GATA3,10,8095567,8117161,+,ENSG00000107485.11,protein_coding,KNOWN,HAVANA,1,8095566,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
GCK,7,44183872,44237769,-,ENSG00000106633.11,protein_coding,KNOWN,HAVANA,1,44183871,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,1,1
GDF15,19,18485541,18499986,+,ENSG00000130513.6,protein_coding,KNOWN,HAVANA,1,18485540,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
GFRAL,6,55192267,55267291,+,ENSG00000187871.2,protein_coding,KNOWN,HAVANA,1,55192266,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
GHR,5,42423879,42721979,+,ENSG00000112964.9,protein_coding,KNOWN,HAVANA,1,42423878,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
GIPR,19,46171502,46186982,+,ENSG00000010310.4,protein_coding,KNOWN,HAVANA,1,46171501,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,1,1
GLP1R,6,39016574,39055519,+,ENSG00000112164.5,protein_coding,KNOWN,HAVANA,1,39016573,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,3,3,2,1
GLP2R,17,9725523,9795419,+,ENSG00000065325.8,protein_coding,KNOWN,HAVANA,1,9725522,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
HCRTR1,1,32083287,32098119,+,ENSG00000121764.7,protein_coding,KNOWN,HAVANA,1,32083286,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
HRH4,18,22040593,22059921,+,ENSG00000134489.6,protein_coding,KNOWN,HAVANA,1,22040592,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
HSD11B1,1,209859510,209908295,+,ENSG00000117594.5,protein_coding,KNOWN,HAVANA,1,209859509,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
HTR1A,5,63256183,63258334,-,ENSG00000178394.3,protein_coding,KNOWN,HAVANA,1,63256182,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
IAPP,12,21507893,21532912,+,ENSG00000121351.3,protein_coding,KNOWN,HAVANA,1,21507892,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
IL13,5,131991955,131996802,+,ENSG00000169194.5,protein_coding,KNOWN,HAVANA,1,131991954,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
IL17RB,3,53880607,53899827,+,ENSG00000056736.5,protein_coding,KNOWN,HAVANA,1,53880606,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
IL1R1,2,102681004,102796334,+,ENSG00000115594.7,protein_coding,KNOWN,HAVANA,1,102681003,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
IL1RL1,2,102927962,102968497,+,ENSG00000115602.12,protein_coding,KNOWN,HAVANA,1,102927961,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
IL3,5,131396222,131398897,+,ENSG00000164399.4,protein_coding,KNOWN,HAVANA,1,131396221,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
IL33,9,6215805,6257983,+,ENSG00000137033.7,protein_coding,KNOWN,HAVANA,1,6215804,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
IL4R,16,27324989,27376099,+,ENSG00000077238.9,protein_coding,KNOWN,HAVANA,1,27324988,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,1,1
IL5,5,131877136,131892530,-,ENSG00000113525.5,protein_coding,KNOWN,HAVANA,1,131877135,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
IL6,7,22765503,22771621,+,ENSG00000136244.7,protein_coding,KNOWN,HAVANA,1,22765502,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
INS,11,2181009,2182571,-,ENSG00000254647.2,protein_coding,KNOWN,HAVANA,1,2181008,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,1,1
INSR,19,7112266,7294045,-,ENSG00000171105.9,protein_coding,KNOWN,HAVANA,1,7112265,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,1,1
ITGB7,12,53585102,53601091,-,ENSG00000139626.11,protein_coding,KNOWN,HAVANA,1,53585101,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
KCNJ11,11,17407406,17410878,-,ENSG00000187486.5,protein_coding,KNOWN,HAVANA,1,17407405,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,2,0
KIT,4,55524085,55606881,+,ENSG00000157404.11,protein_coding,KNOWN,HAVANA,1,55524084,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
LEPR,1,65886248,66107242,+,ENSG00000116678.14,protein_coding,KNOWN,HAVANA,1,65886247,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
MAPK1,22,22108789,22221970,-,ENSG00000100030.10,protein_coding,KNOWN,HAVANA,1,22108788,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
MAPK3,16,30125426,30134827,-,ENSG00000102882.7,protein_coding,KNOWN,HAVANA,1,30125425,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
MC1R,16,89978527,89987385,+,ENSG00000258839.2,protein_coding,KNOWN,HAVANA,1,89978526,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
MC4R,18,58038564,58040001,-,ENSG00000166603.3,protein_coding,KNOWN,HAVANA,1,58038563,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,3,3,1,2
METAP2,12,95867296,95909615,+,ENSG00000111142.9,protein_coding,KNOWN,HAVANA,1,95867295,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
MME,3,154741913,154901497,+,ENSG00000196549.6,protein_coding,KNOWN,HAVANA,1,154741912,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
MMP12,11,102733467,102745764,-,ENSG00000110347.7,processed_transcript,KNOWN,HAVANA,1,102733466,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
MTTP,4,100484918,100545156,+,ENSG00000138823.8,protein_coding,KNOWN,HAVANA,1,100484917,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
NFKB1,4,103422486,103538459,+,ENSG00000109320.7,protein_coding,KNOWN,HAVANA,1,103422485,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
NPR1,1,153651113,153666468,+,ENSG00000169418.9,protein_coding,KNOWN,HAVANA,1,153651112,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
NPY,7,24323782,24331484,+,ENSG00000122585.3,protein_coding,KNOWN,HAVANA,1,24323781,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
NPY5R,4,164265091,164273086,+,ENSG00000164129.7,protein_coding,KNOWN,HAVANA,1,164265090,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
NR3C1,5,142657496,142815077,-,ENSG00000113580.10,protein_coding,KNOWN,HAVANA,1,142657495,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,3,3,2,1
OPRL1,20,62711526,62731996,+,ENSG00000125510.11,protein_coding,KNOWN,HAVANA,1,62711525,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
OPRM1,6,154331631,154568001,+,ENSG00000112038.13,protein_coding,KNOWN,HAVANA,1,154331630,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
P2RY2,11,72929343,72947397,+,ENSG00000175591.7,protein_coding,KNOWN,HAVANA,1,72929342,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
PDE3A,12,20522179,20837315,+,ENSG00000172572.6,protein_coding,KNOWN,HAVANA,1,20522178,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
PDE4B,1,66258197,66840259,+,ENSG00000184588.13,protein_coding,KNOWN,HAVANA,1,66258196,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
PDE4D,5,58264865,59817947,-,ENSG00000113448.12,protein_coding,KNOWN,HAVANA,1,58264864,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
PDE5A,4,120415550,120550146,-,ENSG00000138735.11,protein_coding,KNOWN,HAVANA,1,120415549,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
PPARA,22,46546424,46639653,+,ENSG00000186951.12,protein_coding,KNOWN,HAVANA,1,46546423,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
PPARD,6,35310335,35395968,+,ENSG00000112033.9,protein_coding,KNOWN,HAVANA,1,35310334,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
PPARG,3,12328867,12475855,+,ENSG00000132170.15,protein_coding,KNOWN,HAVANA,1,12328866,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,2,0
RARG,12,53604354,53626764,-,ENSG00000172819.12,protein_coding,KNOWN,HAVANA,1,53604353,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
REN,1,204123944,204135465,-,ENSG00000143839.12,protein_coding,KNOWN,HAVANA,1,204123943,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
SELE,1,169691781,169733846,-,ENSG00000007908.11,protein_coding,KNOWN,HAVANA,1,169691780,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
SERPINA1,14,94843084,94857030,-,ENSG00000197249.8,protein_coding,KNOWN,HAVANA,1,94843083,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
SLC12A2,5,127419458,127525380,+,ENSG00000064651.9,protein_coding,KNOWN,HAVANA,1,127419457,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
SLC5A1,22,32439019,32509016,+,ENSG00000100170.5,protein_coding,KNOWN,HAVANA,1,32439018,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,1,1
SLC6A4,17,28521337,28563020,-,ENSG00000108576.5,protein_coding,KNOWN,HAVANA,1,28521336,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
SREBF1,17,17713713,17740325,-,ENSG00000072310.12,protein_coding,KNOWN,HAVANA,1,17713712,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
SREBF2,22,42229109,42303312,+,ENSG00000198911.7,protein_coding,KNOWN,HAVANA,1,42229108,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
TGFB1,19,41807492,41859816,-,ENSG00000105329.5,protein_coding,KNOWN,HAVANA,1,41807491,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
TNFSF15,9,117546915,117568406,-,ENSG00000181634.7,protein_coding,KNOWN,HAVANA,1,117546914,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
TNFSF4,1,173152873,173176452,-,ENSG00000117586.6,protein_coding,KNOWN,HAVANA,1,173152872,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
TP53,17,7565097,7590856,-,ENSG00000141510.11,protein_coding,KNOWN,HAVANA,1,7565096,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
TSLP,5,110405760,110413722,+,ENSG00000145777.10,protein_coding,KNOWN,HAVANA,1,110405759,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,1,1
TYK2,19,10461209,10491352,-,ENSG00000105397.9,protein_coding,KNOWN,HAVANA,1,10461208,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
VDR,12,48235320,48336831,-,ENSG00000111424.6,protein_coding,KNOWN,HAVANA,1,48235319,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
VEGFA,6,43737921,43754224,+,ENSG00000112715.16,protein_coding,KNOWN,HAVANA,1,43737920,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
