ti_uid,gene,pool,indication_mesh_id,indication_mesh_term,panukb_phenotype_id,comparison_population,window_type,chrom,gene_start_1based,gene_end_1based,gene_length_bp,query_start_0based,query_end_0based_exclusive,window_length_bp,gene_fraction_of_window,overlaps_extended_mhc,n_records_raw,n_biallelic_snps,n_eur_effect_complete,n_cross_effect_complete,n_cross_not_low_confidence,n_cross_maf_ge_0_01,n_duplicate_variant_rows,n_eur_p_le_1e_5_cross_usable,n_eur_gws_cross_usable,passes_raw_count_gate,raw_gate_minimum,final_ld_independent_minimum
GFRAL-D009765,GFRAL,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,6,55192267,55267291,75025,55182266,55277291,95025,0.7895290712970271,False,1631,1523,1283,887,498,458,0,0,0,False,10,10
GHR-D009765,GHR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,5,42423879,42721979,298101,42423878,42721979,298101,1.0,False,2999,2808,1943,892,624,560,0,0,0,False,10,10
GHR-D009765,GHR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,5,42423879,42721979,298101,42413878,42731979,318101,0.9371268873722497,False,3282,3065,2118,990,702,638,0,0,0,False,10,10
GIPR-D009765,GIPR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,19,46171502,46186982,15481,46171501,46186982,15481,1.0,False,174,159,112,49,30,28,0,0,0,False,10,10
GIPR-D009765,GIPR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,19,46171502,46186982,15481,46161501,46196982,35481,0.43631802936783065,False,463,423,311,166,112,108,0,0,0,False,10,10
GLP1R-D009765,GLP1R,A,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,6,39016574,39055519,38946,39016573,39055519,38946,1.0,False,553,529,434,263,188,172,0,0,0,False,10,10
GLP1R-D009765,GLP1R,A,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,6,39016574,39055519,38946,39006573,39065519,58946,0.6607064092559292,False,796,757,606,323,222,205,0,0,0,False,10,10
HSD11B1-D009765,HSD11B1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,1,209859510,209908295,48786,209859509,209908295,48786,1.0,False,466,445,346,155,95,76,0,0,0,False,10,10
HSD11B1-D009765,HSD11B1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,1,209859510,209908295,48786,209849509,209918295,68786,0.7092431599453377,False,664,632,492,215,133,110,0,0,0,False,10,10
HTR1A-D009765,HTR1A,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,5,63256183,63258334,2152,63256182,63258334,2152,1.0,False,12,12,10,3,1,0,0,0,0,False,10,10
HTR1A-D009765,HTR1A,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,5,63256183,63258334,2152,63246182,63268334,22152,0.09714698447092814,False,190,180,152,67,51,38,0,0,0,False,10,10
IAPP-D009765,IAPP,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,12,21507893,21532912,25020,21507892,21532912,25020,1.0,False,279,263,213,138,112,107,0,0,0,False,10,10
IAPP-D009765,IAPP,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,12,21507893,21532912,25020,21497892,21542912,45020,0.555752998667259,False,373,353,285,174,141,135,0,0,0,False,10,10
INSR-D009765,INSR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,19,7112266,7294045,181780,7112265,7294045,181780,1.0,False,1817,1636,1511,1075,825,724,0,0,0,False,10,10
INSR-D009765,INSR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,19,7112266,7294045,181780,7102265,7304045,201780,0.9008821488750124,False,1975,1780,1638,1165,906,803,0,0,0,False,10,10
LEPR-D009765,LEPR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,1,65886248,66107242,220995,65886247,66107242,220995,1.0,False,1731,1603,1288,780,633,593,0,0,0,False,10,10
LEPR-D009765,LEPR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,1,65886248,66107242,220995,65876247,66117242,240995,0.9170107263636175,False,1904,1762,1416,845,687,644,0,0,0,False,10,10
MAPK1-D009765,MAPK1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,22,22108789,22221970,113182,22108788,22221970,113182,1.0,False,1096,996,710,353,270,241,0,0,0,False,10,10
MAPK1-D009765,MAPK1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,22,22108789,22221970,113182,22098788,22231970,133182,0.8498295565466805,False,1289,1166,830,414,310,275,0,0,0,False,10,10
MAPK3-D009765,MAPK3,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,16,30125426,30134827,9402,30125425,30134827,9402,1.0,False,69,65,42,21,8,8,0,0,0,False,10,10
MAPK3-D009765,MAPK3,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,16,30125426,30134827,9402,30115425,30144827,29402,0.31977416502278755,False,226,207,144,76,37,34,0,0,0,False,10,10
MC1R-D009765,MC1R,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,16,89978527,89987385,8859,89978526,89987385,8859,1.0,False,157,137,102,54,39,34,0,0,0,False,10,10
MC1R-D009765,MC1R,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,16,89978527,89987385,8859,89968526,89997385,28859,0.30697529366921933,False,419,384,285,171,130,101,0,0,0,False,10,10
MC4R-D009765,MC4R,A,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,18,58038564,58040001,1438,58038563,58040001,1438,1.0,False,10,10,7,2,1,1,0,0,0,False,10,10
MC4R-D009765,MC4R,A,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,18,58038564,58040001,1438,58028563,58050001,21438,0.0670771527194701,False,219,203,159,88,43,43,0,0,0,False,10,10
MTTP-D009765,MTTP,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,4,100484918,100545156,60239,100484917,100545156,60239,1.0,False,591,542,457,274,244,240,0,0,0,False,10,10
MTTP-D009765,MTTP,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,4,100484918,100545156,60239,100474917,100555156,80239,0.7507446503570583,False,802,743,624,383,335,331,0,0,0,False,10,10
NPY-D009765,NPY,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,7,24323782,24331484,7703,24323781,24331484,7703,1.0,False,104,94,77,41,34,28,0,0,0,False,10,10
NPY-D009765,NPY,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,7,24323782,24331484,7703,24313781,24341484,27703,0.27805652817384396,False,351,326,273,158,128,110,0,0,0,False,10,10
NPY5R-D009765,NPY5R,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,4,164265091,164273086,7996,164265090,164273086,7996,1.0,False,59,55,51,29,25,24,0,0,0,False,10,10
NPY5R-D009765,NPY5R,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,4,164265091,164273086,7996,164255090,164283086,27996,0.28561223031861693,False,259,239,206,126,110,98,0,0,0,False,10,10
NR3C1-D009765,NR3C1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,5,142657496,142815077,157582,142657495,142815077,157582,1.0,False,1334,1246,948,360,229,205,0,0,0,False,10,10
NR3C1-D009765,NR3C1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,5,142657496,142815077,157582,142647495,142825077,177582,0.887375972790035,False,1506,1399,1059,412,270,240,0,0,0,False,10,10
OPRM1-D009765,OPRM1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,6,154331631,154568001,236371,154331630,154568001,236371,1.0,False,2637,2455,1829,1057,733,643,0,0,0,False,10,10
OPRM1-D009765,OPRM1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,6,154331631,154568001,236371,154321630,154578001,256371,0.9219880563714304,False,2863,2664,1991,1161,803,712,0,0,0,False,10,10
PPARA-D009765,PPARA,A,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,22,46546424,46639653,93230,46546423,46639653,93230,1.0,False,599,548,472,337,223,186,0,0,0,False,10,10
PPARA-D009765,PPARA,A,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,22,46546424,46639653,93230,46536423,46649653,113230,0.8233683652742206,False,755,695,600,419,276,230,0,0,0,False,10,10
PPARD-D009765,PPARD,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,6,35310335,35395968,85634,35310334,35395968,85634,1.0,False,1006,936,750,387,221,186,0,0,0,False,10,10
PPARD-D009765,PPARD,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,6,35310335,35395968,85634,35300334,35405968,105634,0.8106670200882292,False,1257,1171,927,482,281,242,0,0,0,False,10,10
PPARG-D009765,PPARG,A,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,3,12328867,12475855,146989,12328866,12475855,146989,1.0,False,1414,1335,1088,576,342,288,0,0,0,False,10,10
PPARG-D009765,PPARG,A,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,3,12328867,12475855,146989,12318866,12485855,166989,0.8802316320236663,False,1603,1515,1243,656,394,320,0,0,0,False,10,10
SLC6A4-D009765,SLC6A4,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,17,28521337,28563020,41684,28521336,28563020,41684,1.0,False,396,377,274,134,83,60,0,0,0,False,10,10
SLC6A4-D009765,SLC6A4,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,17,28521337,28563020,41684,28511336,28573020,61684,0.6757668114908242,False,573,539,392,203,122,89,0,0,0,False,10,10
SREBF1-D009765,SREBF1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,17,17713713,17740325,26613,17713712,17740325,26613,1.0,False,146,135,97,55,25,19,0,0,0,False,10,10
SREBF1-D009765,SREBF1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,17,17713713,17740325,26613,17703712,17750325,46613,0.570935146847446,False,421,392,305,174,79,61,0,0,0,False,10,10
SREBF2-D009765,SREBF2,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,22,42229109,42303312,74204,42229108,42303312,74204,1.0,False,755,702,497,262,171,156,0,0,0,False,10,10
SREBF2-D009765,SREBF2,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,22,42229109,42303312,74204,42219108,42313312,94204,0.7876947900301473,False,972,906,651,354,224,199,0,0,0,False,10,10
ADORA1-D029424,ADORA1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,1,203059782,203136533,76752,203059781,203136533,76752,1.0,False,511,481,419,274,170,156,0,0,0,False,10,10
ADORA1-D029424,ADORA1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,1,203059782,203136533,76752,203049781,203146533,96752,0.7932859269059037,False,662,626,544,361,236,203,0,0,0,False,10,10
ADRB2-D029424,ADRB2,A,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,5,148206156,148208196,2041,148206155,148208196,2041,1.0,False,15,14,13,10,8,8,0,0,0,False,10,10
ADRB2-D029424,ADRB2,A,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,5,148206156,148208196,2041,148196155,148218196,22041,0.09260015425797377,False,203,185,177,145,112,89,0,0,0,False,10,10
CHRM3-D029424,CHRM3,A,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,1,239549865,240078750,528886,239549864,240078750,528886,1.0,False,5262,4910,4082,2593,1444,1203,0,0,0,False,10,10
CHRM3-D029424,CHRM3,A,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,1,239549865,240078750,528886,239539864,240088750,548886,0.9635625612604439,False,5330,4974,4134,2626,1461,1220,0,0,0,False,10,10
CSF2-D029424,CSF2,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,5,131409483,131411859,2377,131409482,131411859,2377,1.0,False,23,22,16,9,3,3,0,0,0,False,10,10
CSF2-D029424,CSF2,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,5,131409483,131411859,2377,131399482,131421859,22377,0.10622514188675873,False,251,244,188,90,51,42,0,0,0,False,10,10
EPHX2-D029424,EPHX2,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,8,27348296,27403081,54786,27348295,27403081,54786,1.0,False,660,621,487,317,157,140,0,0,0,False,10,10
EPHX2-D029424,EPHX2,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,8,27348296,27403081,54786,27338295,27413081,74786,0.7325702671623031,False,944,890,700,476,234,209,0,0,0,False,10,10
GATA3-D029424,GATA3,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,10,8095567,8117161,21595,8095566,8117161,21595,1.0,False,237,215,182,126,86,78,0,0,0,False,10,10
GATA3-D029424,GATA3,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,10,8095567,8117161,21595,8085566,8127161,41595,0.5191729775213367,False,499,458,392,280,172,158,0,0,0,False,10,10
HCRTR1-D029424,HCRTR1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,1,32083287,32098119,14833,32083286,32098119,14833,1.0,False,115,108,84,51,31,30,0,0,0,False,10,10
HCRTR1-D029424,HCRTR1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,1,32083287,32098119,14833,32073286,32108119,34833,0.425831826141877,False,235,217,162,98,58,53,0,0,0,False,10,10
HRH4-D029424,HRH4,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,18,22040593,22059921,19329,22040592,22059921,19329,1.0,False,181,173,146,98,63,57,0,0,0,False,10,10
HRH4-D029424,HRH4,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,18,22040593,22059921,19329,22030592,22069921,39329,0.4914693991710951,False,388,360,296,184,117,105,0,0,0,False,10,10
IL13-D029424,IL13,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,5,131991955,131996802,4848,131991954,131996802,4848,1.0,False,49,46,36,20,11,10,0,0,0,False,10,10
IL13-D029424,IL13,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,5,131991955,131996802,4848,131981954,132006802,24848,0.19510624597553122,False,263,252,205,124,57,45,0,0,0,False,10,10
IL1R1-D029424,IL1R1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,2,102681004,102796334,115331,102681003,102796334,115331,1.0,False,1368,1294,987,652,396,329,0,0,0,False,10,10
IL1R1-D029424,IL1R1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,2,102681004,102796334,115331,102671003,102806334,135331,0.8522142007374511,False,1568,1479,1134,747,444,372,0,0,0,False,10,10
IL1RL1-D029424,IL1RL1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,2,102927962,102968497,40536,102927961,102968497,40536,1.0,False,415,393,302,209,143,137,0,0,0,False,10,10
IL1RL1-D029424,IL1RL1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,2,102927962,102968497,40536,102917961,102978497,60536,0.6696180784987446,False,755,698,544,387,268,258,0,0,0,False,10,10
IL33-D029424,IL33,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,9,6215805,6257983,42179,6215804,6257983,42179,1.0,False,438,418,341,199,131,125,0,0,0,False,10,10
IL33-D029424,IL33,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,9,6215805,6257983,42179,6205804,6267983,62179,0.6783479953038807,False,746,708,567,326,206,189,0,0,0,False,10,10
IL4R-D029424,IL4R,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,16,27324989,27376099,51111,27324988,27376099,51111,1.0,False,611,568,479,307,169,143,0,0,0,False,10,10
IL4R-D029424,IL4R,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,16,27324989,27376099,51111,27314988,27386099,71111,0.7187495605461883,False,838,778,651,399,222,188,0,0,0,False,10,10
NR3C1-D029424,NR3C1,A,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,5,142657496,142815077,157582,142657495,142815077,157582,1.0,False,1334,1246,948,595,246,198,0,0,0,False,10,10
NR3C1-D029424,NR3C1,A,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,5,142657496,142815077,157582,142647495,142825077,177582,0.887375972790035,False,1506,1399,1059,666,281,231,0,0,0,False,10,10
PDE3A-D029424,PDE3A,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,12,20522179,20837315,315137,20522178,20837315,315137,1.0,False,2996,2768,2421,1641,1104,1052,0,0,0,False,10,10
PDE3A-D029424,PDE3A,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,12,20522179,20837315,315137,20512178,20847315,335137,0.940322912719276,False,3111,2873,2521,1723,1149,1090,0,0,0,False,10,10
PDE4B-D029424,PDE4B,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,1,66258197,66840259,582063,66258196,66840259,582063,1.0,False,5502,5154,4211,2645,1565,1305,0,1,0,False,10,10
PDE4B-D029424,PDE4B,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,1,66258197,66840259,582063,66248196,66850259,602063,0.9667808850568794,False,5611,5249,4291,2698,1601,1339,0,1,0,False,10,10
PDE4D-D029424,PDE4D,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,5,58264865,59817947,1553083,58264864,59817947,1553083,1.0,False,15310,14219,11374,6994,4249,3772,0,0,0,False,10,10
PDE4D-D029424,PDE4D,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,5,58264865,59817947,1553083,58254864,59827947,1573083,0.9872861126844547,False,15548,14443,11560,7119,4328,3838,0,0,0,False,10,10
RARG-D029424,RARG,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,12,53604354,53626764,22411,53604353,53626764,22411,1.0,False,176,166,125,75,42,40,0,0,0,False,10,10
RARG-D029424,RARG,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,12,53604354,53626764,22411,53594353,53636764,42411,0.5284242295630851,False,329,311,238,138,83,79,0,0,0,False,10,10
SERPINA1-D029424,SERPINA1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,14,94843084,94857030,13947,94843083,94857030,13947,1.0,False,173,165,141,85,63,57,0,0,0,False,10,10
SERPINA1-D029424,SERPINA1,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,14,94843084,94857030,13947,94833083,94867030,33947,0.4108463192623796,False,466,448,376,233,161,145,0,0,0,False,10,10
TSLP-D029424,TSLP,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body,5,110405760,110413722,7963,110405759,110413722,7963,1.0,False,86,84,62,29,15,12,0,0,0,False,10,10
TSLP-D029424,TSLP,B,D029424,"Pulmonary Disease, Chronic Obstructive",icd10|J44|both_sexes||,CSA,gene_body_plus_10kb,5,110405760,110413722,7963,110395759,110423722,27963,0.2847691592461467,False,306,290,230,133,67,55,0,0,0,False,10,10
ADORA1-D001249,ADORA1,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,1,203059782,203136533,76752,203059781,203136533,76752,1.0,False,511,481,419,274,239,158,0,0,0,False,10,10
ADORA1-D001249,ADORA1,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,1,203059782,203136533,76752,203059781,203136533,76752,1.0,False,511,481,419,215,185,162,0,0,0,False,10,10
ADORA1-D001249,ADORA1,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,1,203059782,203136533,76752,203049781,203146533,96752,0.7932859269059037,False,662,626,544,361,315,206,0,0,0,False,10,10
ADORA1-D001249,ADORA1,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,1,203059782,203136533,76752,203049781,203146533,96752,0.7932859269059037,False,662,626,544,285,238,210,0,0,0,False,10,10
ADORA2B-D001249,ADORA2B,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,17,15848231,15879060,30830,15848230,15879060,30830,1.0,False,372,343,269,159,102,38,0,0,0,False,10,10
ADORA2B-D001249,ADORA2B,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,17,15848231,15879060,30830,15848230,15879060,30830,1.0,False,372,343,269,153,106,40,0,0,0,False,10,10
ADORA2B-D001249,ADORA2B,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,17,15848231,15879060,30830,15838230,15889060,50830,0.6065315758410388,False,596,549,431,258,166,74,0,0,0,False,10,10
ADORA2B-D001249,ADORA2B,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,17,15848231,15879060,30830,15838230,15889060,50830,0.6065315758410388,False,596,549,431,245,178,75,0,0,0,False,10,10
ADRB2-D001249,ADRB2,A,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,5,148206156,148208196,2041,148206155,148208196,2041,1.0,False,15,14,13,10,10,8,0,0,0,False,10,10
ADRB2-D001249,ADRB2,A,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,5,148206156,148208196,2041,148206155,148208196,2041,1.0,False,15,14,13,10,9,9,0,0,0,False,10,10
ADRB2-D001249,ADRB2,A,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body_plus_10kb,5,148206156,148208196,2041,148196155,148218196,22041,0.09260015425797377,False,203,185,177,145,126,89,0,0,0,False,10,10
ADRB2-D001249,ADRB2,A,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body_plus_10kb,5,148206156,148208196,2041,148196155,148218196,22041,0.09260015425797377,False,203,185,177,120,114,90,0,0,0,False,10,10
CHRM3-D001249,CHRM3,B,D001249,Asthma,icd10|J45|both_sexes||,CSA,gene_body,1,239549865,240078750,528886,239549864,240078750,528886,1.0,False,5262,4910,4082,2593,2059,1262,0,0,0,False,10,10
CHRM3-D001249,CHRM3,B,D001249,Asthma,icd10|J45|both_sexes||,MID,gene_body,1,239549865,240078750,528886,239549864,240078750,528886,1.0,False,5262,4910,4082,2195,1727,1278,0,0,0,False,10,10
