gene,chrom,chrom_ucsc,start_1based,end_1based,start_0based,strand,gene_ids,gene_types,n_gene_records_collapsed,gencode_release,genome_build,n_canonical_chromosomes,multichromosome_symbol,coordinate_gene_symbol,coordinate_match_method,coordinate_status,window_bp,window_start_1based,window_end_1based,window_start_0based,required_for_source,source_requiring_build
AGT,1,chr1,230838269,230850043,230838268,-,ENSG00000135744.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,AGT,exact_gene_name,MATCHED,100000,230738269,230950043,230738268,True,Pan-UKB
ALDH2,12,chr12,112204691,112247782,112204690,+,ENSG00000111275.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ALDH2,exact_gene_name,MATCHED,100000,112104691,112347782,112104690,True,Pan-UKB
ALOX12,17,chr17,6899384,6914055,6899383,+,ENSG00000108839.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ALOX12,exact_gene_name,MATCHED,100000,6799384,7014055,6799383,True,Pan-UKB
ALOX5,10,chr10,45869661,45941561,45869660,+,ENSG00000012779.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ALOX5,exact_gene_name,MATCHED,100000,45769661,46041561,45769660,True,Pan-UKB
ANGPTL3,1,chr1,63063158,63071830,63063157,+,ENSG00000132855.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ANGPTL3,exact_gene_name,MATCHED,100000,62963158,63171830,62963157,True,Pan-UKB
ANGPTL4,19,chr19,8428173,8439257,8428172,+,ENSG00000167772.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ANGPTL4,exact_gene_name,MATCHED,100000,8328173,8539257,8328172,True,Pan-UKB
ANGPTL8,19,chr19,11348178,11352619,11348177,+,ENSG00000130173.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,C19orf80,historical_symbol_alias,MATCHED,100000,11248178,11452619,11248177,True,Pan-UKB
APOA1,11,chr11,116706467,116708666,116706466,-,ENSG00000118137.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,APOA1,exact_gene_name,MATCHED,100000,116606467,116808666,116606466,True,Pan-UKB
APOB,2,chr2,21224301,21266945,21224300,-,ENSG00000084674.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,APOB,exact_gene_name,MATCHED,100000,21124301,21366945,21124300,True,Pan-UKB
APOC3,11,chr11,116700422,116703788,116700421,+,ENSG00000110245.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,APOC3,exact_gene_name,MATCHED,100000,116600422,116803788,116600421,True,Pan-UKB
APOE,19,chr19,45409011,45412650,45409010,+,ENSG00000130203.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,APOE,exact_gene_name,MATCHED,100000,45309011,45512650,45309010,True,Pan-UKB
APOL1,22,chr22,36649056,36663576,36649055,+,ENSG00000100342.16,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,APOL1,exact_gene_name,MATCHED,100000,36549056,36763576,36549055,True,Pan-UKB
AXL,19,chr19,41725108,41767671,41725107,+,ENSG00000167601.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,AXL,exact_gene_name,MATCHED,100000,41625108,41867671,41625107,True,Pan-UKB
BCL11A,2,chr2,60678302,60780702,60678301,-,ENSG00000119866.16,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,BCL11A,exact_gene_name,MATCHED,100000,60578302,60880702,60578301,True,Pan-UKB
BCL2,18,chr18,60790579,60987361,60790578,-,ENSG00000171791.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,BCL2,exact_gene_name,MATCHED,100000,60690579,61087361,60690578,True,Pan-UKB
CACNA1C,12,chr12,2079952,2802108,2079951,+,ENSG00000151067.16,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CACNA1C,exact_gene_name,MATCHED,100000,1979952,2902108,1979951,True,Pan-UKB
CALCA,11,chr11,14988214,14993900,14988213,-,ENSG00000110680.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CALCA,exact_gene_name,MATCHED,100000,14888214,15093900,14888213,True,Pan-UKB
CALCR,7,chr7,93053799,93204042,93053798,-,ENSG00000004948.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CALCR,exact_gene_name,MATCHED,100000,92953799,93304042,92953798,True,Pan-UKB
CASR,3,chr3,121902530,122005342,121902529,+,ENSG00000036828.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CASR,exact_gene_name,MATCHED,100000,121802530,122105342,121802529,True,Pan-UKB
CCR4,3,chr3,32993066,32997841,32993065,+,ENSG00000183813.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CCR4,exact_gene_name,MATCHED,100000,32893066,33097841,32893065,True,Pan-UKB
CD200R1,3,chr3,112640056,112693969,112640055,-,ENSG00000163606.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CD200R1,exact_gene_name,MATCHED,100000,112540056,112793969,112540055,True,Pan-UKB
CETP,16,chr16,56995762,57017757,56995761,+,ENSG00000087237.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CETP,exact_gene_name,MATCHED,100000,56895762,57117757,56895761,True,Pan-UKB
CHRM3,1,chr1,239549865,240078750,239549864,+,ENSG00000133019.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CHRM3,exact_gene_name,MATCHED,100000,239449865,240178750,239449864,True,Pan-UKB
CHRNB4,15,chr15,78916461,79020096,78916460,-,ENSG00000117971.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CHRNB4,exact_gene_name,MATCHED,100000,78816461,79120096,78816460,True,Pan-UKB
CSF2,5,chr5,131409483,131411859,131409482,+,ENSG00000164400.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CSF2,exact_gene_name,MATCHED,100000,131309483,131511859,131309482,True,Pan-UKB
CSF3,17,chr17,38171614,38174066,38171613,+,ENSG00000108342.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CSF3,exact_gene_name,MATCHED,100000,38071614,38274066,38071613,True,Pan-UKB
CSF3R,1,chr1,36931644,36948879,36931643,-,ENSG00000119535.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CSF3R,exact_gene_name,MATCHED,100000,36831644,37048879,36831643,True,Pan-UKB
CXCR4,2,chr2,136871919,136875735,136871918,-,ENSG00000121966.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CXCR4,exact_gene_name,MATCHED,100000,136771919,136975735,136771918,True,Pan-UKB
CYP11B1,8,chr8,143953772,143961262,143953771,-,ENSG00000160882.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CYP11B1,exact_gene_name,MATCHED,100000,143853772,144061262,143853771,True,Pan-UKB
CYP11B2,8,chr8,143991975,143999259,143991974,-,ENSG00000179142.2,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,CYP11B2,exact_gene_name,MATCHED,100000,143891975,144099259,143891974,True,Pan-UKB
DGAT1,8,chr8,145539954,145550573,145539953,-,ENSG00000185000.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,DGAT1,exact_gene_name,MATCHED,100000,145439954,145650573,145439953,True,Pan-UKB
DGAT2,11,chr11,75470557,75512579,75470556,+,ENSG00000062282.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,DGAT2,exact_gene_name,MATCHED,100000,75370557,75612579,75370556,True,Pan-UKB
DPP4,2,chr2,162848751,162931052,162848750,-,ENSG00000197635.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,DPP4,exact_gene_name,MATCHED,100000,162748751,163031052,162748750,True,Pan-UKB
DYRK3,1,chr1,206808881,206857764,206808880,+,ENSG00000143479.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,DYRK3,exact_gene_name,MATCHED,100000,206708881,206957764,206708880,True,Pan-UKB
EDNRA,4,chr4,148402069,148466106,148402068,+,ENSG00000151617.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,EDNRA,exact_gene_name,MATCHED,100000,148302069,148566106,148302068,True,Pan-UKB
EGLN1,1,chr1,231499497,231560790,231499496,-,ENSG00000135766.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,EGLN1,exact_gene_name,MATCHED,100000,231399497,231660790,231399496,True,Pan-UKB
EGLN2,19,chr19,41304901,41314338,41304900,+,ENSG00000269858.1,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,EGLN2,exact_gene_name,MATCHED,100000,41204901,41414338,41204900,True,Pan-UKB
EGLN3,14,chr14,34393437,34931980,34393436,-,ENSG00000129521.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,EGLN3,exact_gene_name,MATCHED,100000,34293437,35031980,34293436,True,Pan-UKB
ENPEP,4,chr4,111286889,111486441,111286888,+,ENSG00000138792.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ENPEP,exact_gene_name,MATCHED,100000,111186889,111586441,111186888,False,Pan-UKB
ENPP1,6,chr6,132129156,132216295,132129155,+,ENSG00000197594.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ENPP1,exact_gene_name,MATCHED,100000,132029156,132316295,132029155,True,Pan-UKB
EPHX2,8,chr8,27348296,27403081,27348295,+,ENSG00000120915.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,EPHX2,exact_gene_name,MATCHED,100000,27248296,27503081,27248295,True,Pan-UKB
EPOR,19,chr19,11488236,11495018,11488235,-,ENSG00000187266.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,EPOR,exact_gene_name,MATCHED,100000,11388236,11595018,11388235,True,Pan-UKB
ESR1,6,chr6,151977826,152450754,151977825,+,ENSG00000091831.17,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ESR1,exact_gene_name,MATCHED,100000,151877826,152550754,151877825,True,Pan-UKB
F10,13,chr13,113777128,113803843,113777127,+,ENSG00000126218.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,F10,exact_gene_name,MATCHED,100000,113677128,113903843,113677127,False,Pan-UKB
F11,4,chr4,187187099,187210835,187187098,+,ENSG00000088926.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,F11,exact_gene_name,MATCHED,100000,187087099,187310835,187087098,False,Pan-UKB
F2,11,chr11,46740730,46761056,46740729,+,ENSG00000180210.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,F2,exact_gene_name,MATCHED,100000,46640730,46861056,46640729,False,Pan-UKB
FAP,2,chr2,163027194,163101661,163027193,-,ENSG00000078098.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,FAP,exact_gene_name,MATCHED,100000,162927194,163201661,162927193,True,Pan-UKB
FBP1,9,chr9,97365415,97402531,97365414,-,ENSG00000165140.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,FBP1,exact_gene_name,MATCHED,100000,97265415,97502531,97265414,True,Pan-UKB
FCGRT,19,chr19,50010073,50029590,50010072,+,ENSG00000104870.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,FCGRT,exact_gene_name,MATCHED,100000,49910073,50129590,49910072,True,Pan-UKB
FDFT1,8,chr8,11653082,11696818,11653081,+,ENSG00000079459.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,FDFT1,exact_gene_name,MATCHED,100000,11553082,11796818,11553081,True,Pan-UKB
FGF21,19,chr19,49258816,49261587,49258815,+,ENSG00000105550.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,FGF21,exact_gene_name,MATCHED,100000,49158816,49361587,49158815,True,Pan-UKB
FGFR1,8,chr8,38268656,38326352,38268655,-,ENSG00000077782.15,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,FGFR1,exact_gene_name,MATCHED,100000,38168656,38426352,38168655,True,Pan-UKB
FGFR3,4,chr4,1795034,1810599,1795033,+,ENSG00000068078.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,FGFR3,exact_gene_name,MATCHED,100000,1695034,1910599,1695033,True,Pan-UKB
FGFR4,5,chr5,176513887,176525145,176513886,+,ENSG00000160867.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,FGFR4,exact_gene_name,MATCHED,100000,176413887,176625145,176413886,True,Pan-UKB
FLT3,13,chr13,28577411,28674729,28577410,-,ENSG00000122025.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,FLT3,exact_gene_name,MATCHED,100000,28477411,28774729,28477410,True,Pan-UKB
GATA3,10,chr10,8095567,8117161,8095566,+,ENSG00000107485.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GATA3,exact_gene_name,MATCHED,100000,7995567,8217161,7995566,True,Pan-UKB
GCK,7,chr7,44183872,44237769,44183871,-,ENSG00000106633.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GCK,exact_gene_name,MATCHED,100000,44083872,44337769,44083871,True,Pan-UKB
GDF15,19,chr19,18485541,18499986,18485540,+,ENSG00000130513.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GDF15,exact_gene_name,MATCHED,100000,18385541,18599986,18385540,True,Pan-UKB
GFRAL,6,chr6,55192267,55267291,55192266,+,ENSG00000187871.2,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GFRAL,exact_gene_name,MATCHED,100000,55092267,55367291,55092266,True,Pan-UKB
GHR,5,chr5,42423879,42721979,42423878,+,ENSG00000112964.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GHR,exact_gene_name,MATCHED,100000,42323879,42821979,42323878,True,Pan-UKB
GHRHR,7,chr7,30978284,31032869,30978283,+,ENSG00000106128.14,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GHRHR,exact_gene_name,MATCHED,100000,30878284,31132869,30878283,True,Pan-UKB
GIPR,19,chr19,46171502,46186982,46171501,+,ENSG00000010310.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GIPR,exact_gene_name,MATCHED,100000,46071502,46286982,46071501,True,Pan-UKB
GLP1R,6,chr6,39016574,39055519,39016573,+,ENSG00000112164.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GLP1R,exact_gene_name,MATCHED,100000,38916574,39155519,38916573,True,Pan-UKB
GLP2R,17,chr17,9725523,9795419,9725522,+,ENSG00000065325.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GLP2R,exact_gene_name,MATCHED,100000,9625523,9895419,9625522,True,Pan-UKB
GRM7,3,chr3,6811688,7783215,6811687,+,ENSG00000196277.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,GRM7,exact_gene_name,MATCHED,100000,6711688,7883215,6711687,False,Pan-UKB
HAMP,19,chr19,35771619,35776046,35771618,+,ENSG00000105697.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,HAMP,exact_gene_name,MATCHED,100000,35671619,35876046,35671618,True,Pan-UKB
HBG1,11,chr11,5269313,5271122,5269312,-,ENSG00000213934.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,HBG1,exact_gene_name,MATCHED,100000,5169313,5371122,5169312,True,Pan-UKB
HCAR2,12,chr12,123185840,123187890,123185839,-,ENSG00000182782.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,HCAR2,exact_gene_name,MATCHED,100000,123085840,123287890,123085839,True,Pan-UKB
HCAR3,12,chr12,123199303,123201439,123199302,-,ENSG00000255398.2,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,HCAR3,exact_gene_name,MATCHED,100000,123099303,123301439,123099302,True,Pan-UKB
HCRTR1,1,chr1,32083287,32098119,32083286,+,ENSG00000121764.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,HCRTR1,exact_gene_name,MATCHED,100000,31983287,32198119,31983286,True,Pan-UKB
HMGCR,5,chr5,74632154,74657929,74632153,+,ENSG00000113161.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,HMGCR,exact_gene_name,MATCHED,100000,74532154,74757929,74532153,True,Pan-UKB
HRH4,18,chr18,22040593,22059921,22040592,+,ENSG00000134489.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,HRH4,exact_gene_name,MATCHED,100000,21940593,22159921,21940592,True,Pan-UKB
HSD11B1,1,chr1,209859510,209908295,209859509,+,ENSG00000117594.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,HSD11B1,exact_gene_name,MATCHED,100000,209759510,210008295,209759509,True,Pan-UKB
HTR1A,5,chr5,63256183,63258334,63256182,-,ENSG00000178394.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,HTR1A,exact_gene_name,MATCHED,100000,63156183,63358334,63156182,True,Pan-UKB
IAPP,12,chr12,21507893,21532912,21507892,+,ENSG00000121351.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IAPP,exact_gene_name,MATCHED,100000,21407893,21632912,21407892,True,Pan-UKB
IFNGR1,6,chr6,137518621,137540586,137518620,-,ENSG00000027697.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IFNGR1,exact_gene_name,MATCHED,100000,137418621,137640586,137418620,True,Pan-UKB
IL12A,3,chr3,159706537,159713806,159706536,+,ENSG00000168811.2,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL12A,exact_gene_name,MATCHED,100000,159606537,159813806,159606536,True,Pan-UKB
IL12B,5,chr5,158741791,158757895,158741790,-,ENSG00000113302.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL12B,exact_gene_name,MATCHED,100000,158641791,158857895,158641790,True,Pan-UKB
IL13,5,chr5,131991955,131996802,131991954,+,ENSG00000169194.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL13,exact_gene_name,MATCHED,100000,131891955,132096802,131891954,True,Pan-UKB
IL17RB,3,chr3,53880607,53899827,53880606,+,ENSG00000056736.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL17RB,exact_gene_name,MATCHED,100000,53780607,53999827,53780606,True,Pan-UKB
IL1R1,2,chr2,102681004,102796334,102681003,+,ENSG00000115594.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL1R1,exact_gene_name,MATCHED,100000,102581004,102896334,102581003,True,Pan-UKB
IL1RL1,2,chr2,102927962,102968497,102927961,+,ENSG00000115602.12,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL1RL1,exact_gene_name,MATCHED,100000,102827962,103068497,102827961,True,Pan-UKB
IL2,4,chr4,123372625,123377880,123372624,-,ENSG00000109471.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL2,exact_gene_name,MATCHED,100000,123272625,123477880,123272624,True,Pan-UKB
IL2RA,10,chr10,6052652,6104288,6052651,-,ENSG00000134460.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL2RA,exact_gene_name,MATCHED,100000,5952652,6204288,5952651,True,Pan-UKB
IL3,5,chr5,131396222,131398897,131396221,+,ENSG00000164399.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL3,exact_gene_name,MATCHED,100000,131296222,131498897,131296221,True,Pan-UKB
IL33,9,chr9,6215805,6257983,6215804,+,ENSG00000137033.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL33,exact_gene_name,MATCHED,100000,6115805,6357983,6115804,True,Pan-UKB
IL4R,16,chr16,27324989,27376099,27324988,+,ENSG00000077238.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL4R,exact_gene_name,MATCHED,100000,27224989,27476099,27224988,True,Pan-UKB
IL5,5,chr5,131877136,131892530,131877135,-,ENSG00000113525.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL5,exact_gene_name,MATCHED,100000,131777136,131992530,131777135,True,Pan-UKB
IL6,7,chr7,22765503,22771621,22765502,+,ENSG00000136244.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL6,exact_gene_name,MATCHED,100000,22665503,22871621,22665502,True,Pan-UKB
IL7R,5,chr5,35852797,35879705,35852796,+,ENSG00000168685.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,IL7R,exact_gene_name,MATCHED,100000,35752797,35979705,35752796,True,Pan-UKB
INPP5D,2,chr2,233924677,234116549,233924676,+,ENSG00000168918.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,INPP5D,exact_gene_name,MATCHED,100000,233824677,234216549,233824676,True,Pan-UKB
INS,11,chr11,2181009,2182571,2181008,-,ENSG00000254647.2,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,INS,exact_gene_name,MATCHED,100000,2081009,2282571,2081008,True,Pan-UKB
INSR,19,chr19,7112266,7294045,7112265,-,ENSG00000171105.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,INSR,exact_gene_name,MATCHED,100000,7012266,7394045,7012265,True,Pan-UKB
ITGB7,12,chr12,53585102,53601091,53585101,-,ENSG00000139626.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ITGB7,exact_gene_name,MATCHED,100000,53485102,53701091,53485101,True,Pan-UKB
JAK1,1,chr1,65298912,65432187,65298911,-,ENSG00000162434.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,JAK1,exact_gene_name,MATCHED,100000,65198912,65532187,65198911,True,Pan-UKB
JAK2,9,chr9,4985033,5128183,4985032,+,ENSG00000096968.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,JAK2,exact_gene_name,MATCHED,100000,4885033,5228183,4885032,True,Pan-UKB
KCNJ1,11,chr11,128706210,128737268,128706209,-,ENSG00000151704.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,KCNJ1,exact_gene_name,MATCHED,100000,128606210,128837268,128606209,True,Pan-UKB
KCNJ11,11,chr11,17407406,17410878,17407405,-,ENSG00000187486.5,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,KCNJ11,exact_gene_name,MATCHED,100000,17307406,17510878,17307405,True,Pan-UKB
KDM1A,1,chr1,23345941,23410182,23345940,+,ENSG00000004487.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,KDM1A,exact_gene_name,MATCHED,100000,23245941,23510182,23245940,True,Pan-UKB
KIT,4,chr4,55524085,55606881,55524084,+,ENSG00000157404.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,KIT,exact_gene_name,MATCHED,100000,55424085,55706881,55424084,True,Pan-UKB
LEPR,1,chr1,65886248,66107242,65886247,+,ENSG00000116678.14,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,LEPR,exact_gene_name,MATCHED,100000,65786248,66207242,65786247,True,Pan-UKB
LPA,6,chr6,160952515,161087407,160952514,-,ENSG00000198670.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,LPA,exact_gene_name,MATCHED,100000,160852515,161187407,160852514,True,Pan-UKB
LPL,8,chr8,19759228,19824769,19759227,+,ENSG00000175445.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,LPL,exact_gene_name,MATCHED,100000,19659228,19924769,19659227,True,Pan-UKB
MAPK1,22,chr22,22108789,22221970,22108788,-,ENSG00000100030.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,MAPK1,exact_gene_name,MATCHED,100000,22008789,22321970,22008788,True,Pan-UKB
MAPK3,16,chr16,30125426,30134827,30125425,-,ENSG00000102882.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,MAPK3,exact_gene_name,MATCHED,100000,30025426,30234827,30025425,True,Pan-UKB
MC1R,16,chr16,89978527,89987385,89978526,+,ENSG00000258839.2,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,MC1R,exact_gene_name,MATCHED,100000,89878527,90087385,89878526,True,Pan-UKB
MC4R,18,chr18,58038564,58040001,58038563,-,ENSG00000166603.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,MC4R,exact_gene_name,MATCHED,100000,57938564,58140001,57938563,True,Pan-UKB
METAP2,12,chr12,95867296,95909615,95867295,+,ENSG00000111142.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,METAP2,exact_gene_name,MATCHED,100000,95767296,96009615,95767295,True,Pan-UKB
MME,3,chr3,154741913,154901497,154741912,+,ENSG00000196549.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,MME,exact_gene_name,MATCHED,100000,154641913,155001497,154641912,True,Pan-UKB
MMP12,11,chr11,102733467,102745764,102733466,-,ENSG00000110347.7,processed_transcript,1,GENCODE v19,GRCh37.p13,1,False,MMP12,exact_gene_name,MATCHED,100000,102633467,102845764,102633466,True,Pan-UKB
