trait_key,source,genome_build,phenotype_id,published_endpoint_code,trait_type,phenocode,trait_name,description_more,coding_description,category,analysis_class,pops_pass_qc,non_eur_pops_pass_qc,num_non_eur_pops_pass_qc,ancestry_status,filename,filename_tabix,remote_data_path,remote_index_path,source_release,mapping_status,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID
Pan-UKB::biomarkers|30720|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30720|both_sexes||irnt,,biomarkers,30720,Cystatin C,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,biomarkers-30720-both_sexes-irnt.tsv.bgz,biomarkers-30720-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30720-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30720-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6213.0,,h2_z_insignificant,940.0,,n_too_low,8422.0,,PASS,2573.0,,h2_z_insignificant,400940.0,,PASS,1500.0,,PASS
Pan-UKB::biomarkers|30730|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30730|both_sexes||irnt,,biomarkers,30730,Gamma glutamyltransferase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EAS,EUR","CSA,EAS",2,verified_from_official_manifest,biomarkers-30730-both_sexes-irnt.tsv.bgz,biomarkers-30730-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30730-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30730-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6212.0,,h2_z_insignificant,938.0,,n_too_low,8422.0,,PASS,2569.0,,PASS,400751.0,,PASS,1498.0,,h2_z_insignificant
Pan-UKB::biomarkers|30750|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30750|both_sexes||irnt,,biomarkers,30750,Glycated haemoglobin (HbA1c),,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,biomarkers-30750-both_sexes-irnt.tsv.bgz,biomarkers-30750-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30750-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30750-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5290.0,,h2_z_insignificant,922.0,,n_too_low,8329.0,,PASS,2566.0,,h2_z_insignificant,400825.0,,PASS,1502.0,,PASS
Pan-UKB::biomarkers|30760|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30760|both_sexes||irnt,,biomarkers,30760,HDL cholesterol,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30760-both_sexes-irnt.tsv.bgz,biomarkers-30760-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30760-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30760-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5754.0,,h2_z_insignificant,854.0,,n_too_low,7688.0,,PASS,2342.0,,h2_z_insignificant,367021.0,,PASS,1364.0,,h2_z_insignificant
Pan-UKB::biomarkers|30770|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30770|both_sexes||irnt,,biomarkers,30770,IGF-1,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EAS,EUR","CSA,EAS",2,verified_from_official_manifest,biomarkers-30770-both_sexes-irnt.tsv.bgz,biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6178.0,,h2_z_insignificant,934.0,,n_too_low,8364.0,,PASS,2560.0,,PASS,398797.0,,PASS,1493.0,,h2_z_insignificant
Pan-UKB::biomarkers|30780|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30780|both_sexes||irnt,,biomarkers,30780,LDL direct,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30780-both_sexes-irnt.tsv.bgz,biomarkers-30780-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30780-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30780-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6200.0,,h2_z_insignificant,938.0,,n_too_low,8404.0,,PASS,2568.0,,h2_z_insignificant,400223.0,,PASS,1498.0,,h2_z_insignificant
Pan-UKB::biomarkers|30810|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30810|both_sexes||irnt,,biomarkers,30810,Phosphate,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30810-both_sexes-irnt.tsv.bgz,biomarkers-30810-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30810-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30810-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5750.0,,h2_z_insignificant,854.0,,n_too_low,7685.0,,PASS,2342.0,,h2_z_insignificant,366484.0,,PASS,1360.0,,h2_z_insignificant
Pan-UKB::biomarkers|30830|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30830|both_sexes||irnt,,biomarkers,30830,SHBG,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30830-both_sexes-irnt.tsv.bgz,biomarkers-30830-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30830-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30830-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5709.0,,h2_z_insignificant,849.0,,n_too_low,7643.0,,PASS,2327.0,,h2_z_insignificant,363650.0,,PASS,1348.0,,h2_z_insignificant
Pan-UKB::biomarkers|30860|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30860|both_sexes||irnt,,biomarkers,30860,Total protein,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30860-both_sexes-irnt.tsv.bgz,biomarkers-30860-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30860-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30860-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5759.0,,h2_z_insignificant,856.0,,n_too_low,7696.0,,PASS,2342.0,,h2_z_insignificant,366758.0,,PASS,1362.0,,h2_z_insignificant
Pan-UKB::biomarkers|30870|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30870|both_sexes||irnt,,biomarkers,30870,Triglycerides,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"AFR,CSA,EUR,MID","AFR,CSA,MID",3,verified_from_official_manifest,biomarkers-30870-both_sexes-irnt.tsv.bgz,biomarkers-30870-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30870-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30870-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6211.0,,PASS,937.0,,n_too_low,8415.0,,PASS,2570.0,,h2_z_insignificant,400639.0,,PASS,1499.0,,PASS
Pan-UKB::biomarkers|30890|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30890|both_sexes||irnt,,biomarkers,30890,Vitamin D,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"AFR,CSA,EUR,MID","AFR,CSA,MID",3,verified_from_official_manifest,biomarkers-30890-both_sexes-irnt.tsv.bgz,biomarkers-30890-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30890-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30890-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6046.0,,PASS,892.0,,n_too_low,7380.0,,PASS,2484.0,,h2_z_insignificant,383324.0,,PASS,1390.0,,PASS
Pan-UKB::categorical|120|both_sexes|1|,Pan-UKB,GRCh37,categorical|120|both_sexes|1|,,categorical,120,Birth weight known,Birth weight known This question was dropped from the touchscreen protocol on 24/10/2016.,Yes - pounds and ounces,UK Biobank Assessment Centre > Verbal interview > Early life factors,other_candidate,"AFR,CSA,EAS,EUR","AFR,CSA,EAS",3,verified_from_official_manifest,categorical-120-both_sexes-1.tsv.bgz,categorical-120-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-120-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-120-both_sexes-1.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,1715.0,4909.0,PASS,279.0,701.0,n_too_low,2005.0,6844.0,PASS,704.0,2003.0,PASS,238519.0,181954.0,PASS,322.0,1273.0,h2_z_insignificant
Pan-UKB::categorical|120|both_sexes|9|,Pan-UKB,GRCh37,categorical|120|both_sexes|9|,,categorical,120,Birth weight known,Birth weight known This question was dropped from the touchscreen protocol on 24/10/2016.,No,UK Biobank Assessment Centre > Verbal interview > Early life factors,other_candidate,"AFR,CSA,EUR","AFR,CSA",2,verified_from_official_manifest,categorical-120-both_sexes-9.tsv.bgz,categorical-120-both_sexes-9.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-120-both_sexes-9.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-120-both_sexes-9.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,4844.0,1780.0,PASS,557.0,423.0,n_too_low,6672.0,2177.0,PASS,1704.0,1003.0,h2_z_insignificant,180757.0,239716.0,PASS,1130.0,465.0,h2_z_insignificant
Pan-UKB::categorical|1210|both_sexes|1210|,Pan-UKB,GRCh37,categorical|1210|both_sexes|1210|,,categorical,1210,Snoring,"ACE touchscreen question ""Does your partner or a close relative or friend complain about your snoring?"" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know.",,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep,other_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,categorical-1210-both_sexes-1210.tsv.bgz,categorical-1210-both_sexes-1210.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1210-both_sexes-1210.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1210-both_sexes-1210.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,3790.0,2046.0,h2_z_insignificant,561.0,315.0,n_too_low,4634.0,3270.0,PASS,1511.0,837.0,h2_z_insignificant,245268.0,146263.0,PASS,854.0,536.0,h2_z_insignificant
Pan-UKB::categorical|1418|both_sexes|1|,Pan-UKB,GRCh37,categorical|1418|both_sexes|1|,,categorical,1418,Milk type used,"ACE touchscreen question ""What type of milk do you mainly use?"" If the participant activated the Help button they were shown the message: If you use more than one type of milk, please select the one that you drink the most. If you are unsure, select Do not know.",Full cream,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,other_candidate,"EUR,MID",MID,1,verified_from_official_manifest,categorical-1418-both_sexes-1.tsv.bgz,categorical-1418-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1418-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1418-both_sexes-1.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,926.0,5621.0,h2_z_insignificant,96.0,867.0,n_too_low,1593.0,7093.0,h2_z_insignificant,401.0,2251.0,h2_z_insignificant,26497.0,393593.0,PASS,242.0,1321.0,PASS
Pan-UKB::categorical|1428|both_sexes|0|,Pan-UKB,GRCh37,categorical|1428|both_sexes|0|,,categorical,1428,Spread type,"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message: If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know.",Never/rarely use spread,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,other_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,categorical-1428-both_sexes-0.tsv.bgz,categorical-1428-both_sexes-0.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1428-both_sexes-0.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1428-both_sexes-0.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,1170.0,5324.0,h2_z_insignificant,188.0,770.0,n_too_low,1232.0,7351.0,PASS,564.0,2038.0,h2_z_insignificant,42617.0,376884.0,PASS,492.0,1032.0,PASS
Pan-UKB::categorical|1428|both_sexes|1|,Pan-UKB,GRCh37,categorical|1428|both_sexes|1|,,categorical,1428,Spread type,"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message: If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know.",Butter/spreadable butter,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,other_candidate,"EAS,EUR",EAS,1,verified_from_official_manifest,categorical-1428-both_sexes-1.tsv.bgz,categorical-1428-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1428-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1428-both_sexes-1.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,2276.0,4218.0,h2_z_insignificant,392.0,566.0,n_too_low,2611.0,5972.0,h2_z_insignificant,984.0,1618.0,PASS,152410.0,267091.0,PASS,503.0,1021.0,h2_z_insignificant
Pan-UKB::categorical|1448|both_sexes|1|,Pan-UKB,GRCh37,categorical|1448|both_sexes|1|,,categorical,1448,Bread type,"ACE touchscreen question ""What type of bread do you mainly eat?"" If the participant activated the Help button they were shown the message: If you eat more than one type of bread, please select the one that you eat the most. If you are unsure, select Do not know. ~F1448~ was collected from all participants except those who indicated that they do not eat bread or less than one slice each week, as defined by their answers to ~F1438~",White,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,other_candidate,"EUR,MID",MID,1,verified_from_official_manifest,categorical-1448-both_sexes-1.tsv.bgz,categorical-1448-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1448-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1448-both_sexes-1.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,1820.0,4277.0,h2_z_insignificant,236.0,679.0,n_too_low,2440.0,5845.0,h2_z_insignificant,872.0,1552.0,h2_z_insignificant,107422.0,298285.0,PASS,386.0,1135.0,PASS
Pan-UKB::categorical|1468|both_sexes|2|,Pan-UKB,GRCh37,categorical|1468|both_sexes|2|,,categorical,1468,Cereal type,"ACE touchscreen question ""What type of cereal do you mainly eat?"" If the participant activated the Help button they were shown the message: If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know. ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~",Biscuit cereal (e.g. Weetabix),UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,other_candidate,"EUR,MID",MID,1,verified_from_official_manifest,categorical-1468-both_sexes-2.tsv.bgz,categorical-1468-both_sexes-2.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1468-both_sexes-2.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1468-both_sexes-2.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,749.0,4114.0,h2_z_insignificant,88.0,601.0,n_too_low,1365.0,5090.0,h2_z_insignificant,196.0,1432.0,h2_z_insignificant,62649.0,286878.0,PASS,171.0,886.0,PASS
