indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_score,exact_normalized_match,phrase_inclusion,token_containment,token_jaccard,sequence_similarity,shared_informative_tokens,matched_indication_term,matched_trait_term,trait_key,source,genome_build,phenotype_id,published_endpoint_code,trait_type,phenocode,trait_name,description_more,coding_description,category,analysis_class,pops_pass_qc,non_eur_pops_pass_qc,num_non_eur_pops_pass_qc,ancestry_status,filename,filename_tabix,remote_data_path,remote_index_path,source_release,mapping_status,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID,manual_mapping_tier,manual_mapping_decision,manual_mapping_rationale,reviewer_notes
D000086382,COVID-19,COVID-19,1,1,1,0,3,8.49056603773585,False,False,0.0,0.0,0.5660377358490566,,Coronavirus Disease 19,I25 Chronic ischaemic heart disease,Pan-UKB::icd10|I25|both_sexes||,Pan-UKB,GRCh37,icd10|I25|both_sexes||,,icd10,I25,I25 Chronic ischaemic heart disease,truncated: true,,Chapter IX Diseases of the circulatory system | I20-I25 Ischaemic heart diseases | I25 Chronic ischaemic heart disease,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,icd10-I25-both_sexes.tsv.bgz,icd10-I25-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-I25-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-I25-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,302.0,6334.0,h2_z_insignificant,52.0,928.0,n_too_low,1205.0,7671.0,PASS,83.0,2626.0,h2_z_insignificant,31148.0,389383.0,PASS,136.0,1463.0,h2_z_insignificant,,,,
D000086382,COVID-19,COVID-19,1,1,1,0,4,8.181818181818182,False,False,0.0,0.0,0.5454545454545454,,COVID 19 Virus Disease,Ischemic Heart Disease,Pan-UKB::phecode|411|both_sexes||,Pan-UKB,GRCh37,phecode|411|both_sexes||,,phecode,411,Ischemic Heart Disease,,,circulatory system,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-411-both_sexes.tsv.bgz,phecode-411-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-411-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-411-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,400.0,6224.0,h2_z_insignificant,69.0,910.0,n_too_low,1374.0,7496.0,PASS,103.0,2605.0,h2_z_insignificant,37672.0,382052.0,PASS,163.0,1430.0,h2_z_insignificant,,,,
D000086382,COVID-19,COVID-19,1,1,1,0,5,7.627118644067796,False,False,0.0,0.0,0.5084745762711864,,Coronavirus Disease 19,Chronic obstructive pulmonary disease,GBMI::COPD,GBMI,GRCh38,COPD,COPD,disease,,Chronic obstructive pulmonary disease,,,GBMI published pilot endpoint,direct_disease_candidate,,,,TO_VERIFY_FROM_ORIGINAL_ENDPOINT_FILES,,,,,GBMI pilot release 052021,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,
D000086382,COVID-19,COVID-19,1,1,1,0,6,7.5,False,False,0.0,0.0,0.5,,COVID-19 Virus Diseases,"Esophagitis, GERD and related diseases",Pan-UKB::phecode|530.1|both_sexes||,Pan-UKB,GRCh37,phecode|530.1|both_sexes||,,phecode,530.1,"Esophagitis, GERD and related diseases",,,digestive,direct_disease_candidate,"EUR,MID",MID,1.0,verified_from_official_manifest,phecode-530.1-both_sexes.tsv.bgz,phecode-530.1-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-530.1-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-530.1-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,478.0,6018.0,h2_z_insignificant,87.0,870.0,n_too_low,910.0,7743.0,h2_z_insignificant,139.0,2516.0,h2_z_insignificant,40018.0,371349.0,PASS,157.0,1400.0,PASS,,,,
D000086382,COVID-19,COVID-19,1,1,1,0,7,7.397260273972602,False,False,0.0,0.0,0.4931506849315068,,2019 Novel Coronavirus Disease,J44 Other chronic obstructive pulmonary disease,Pan-UKB::icd10|J44|both_sexes||,Pan-UKB,GRCh37,icd10|J44|both_sexes||,,icd10,J44,J44 Other chronic obstructive pulmonary disease,truncated: true,,Chapter X Diseases of the respiratory system | J40-J47 Chronic lower respiratory diseases | J44 Other chronic obstructive pulmonary disease,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,74.0,6562.0,h2_z_insignificant,,,,152.0,8724.0,PASS,,,,11536.0,408995.0,PASS,,,,,,,
D000086382,COVID-19,COVID-19,1,1,1,0,8,7.346938775510204,False,False,0.0,0.0,0.4897959183673469,,2019-nCoV Infections,Noninfectious gastroenteritis,Pan-UKB::phecode|558|both_sexes||,Pan-UKB,GRCh37,phecode|558|both_sexes||,,phecode,558,Noninfectious gastroenteritis,,,digestive,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-558-both_sexes.tsv.bgz,phecode-558-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-558-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-558-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,187.0,5537.0,h2_z_insignificant,,,,416.0,7235.0,PASS,61.0,2391.0,h2_z_insignificant,17088.0,330270.0,PASS,76.0,1293.0,h2_z_insignificant,,,,
D000417,Albinism,Albinism,1,1,0,1,1,6.428571428571428,False,False,0.0,0.0,0.42857142857142855,,Albinism,J45 Asthma,Pan-UKB::icd10|J45|both_sexes||,Pan-UKB,GRCh37,icd10|J45|both_sexes||,,icd10,J45,J45 Asthma,truncated: true,,Chapter X Diseases of the respiratory system | J40-J47 Chronic lower respiratory diseases | J45 Asthma,direct_disease_candidate,"CSA,EUR,MID","CSA,MID",2.0,verified_from_official_manifest,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,573.0,6063.0,h2_z_insignificant,64.0,916.0,n_too_low,900.0,7976.0,PASS,149.0,2560.0,h2_z_insignificant,31030.0,389501.0,PASS,139.0,1460.0,PASS,,,,
D000417,Albinism,Albinism,1,1,0,1,2,6.428571428571428,False,False,0.0,0.0,0.42857142857142855,,Albinism,Asthma,GBMI::Asthma,GBMI,GRCh38,Asthma,Asthma,disease,,Asthma,,,GBMI published pilot endpoint,direct_disease_candidate,,,,TO_VERIFY_FROM_ORIGINAL_ENDPOINT_FILES,,,,,GBMI pilot release 052021,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,
D000417,Albinism,Albinism,1,1,0,1,3,5.454545454545455,False,False,0.0,0.0,0.36363636363636365,,Albinism,Abdominal pain,Pan-UKB::phecode|785|both_sexes||,Pan-UKB,GRCh37,phecode|785|both_sexes||,,phecode,785,Abdominal pain,,,symptoms,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-785-both_sexes.tsv.bgz,phecode-785-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-785-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-785-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,998.0,5638.0,h2_z_insignificant,141.0,839.0,n_too_low,1237.0,7639.0,PASS,289.0,2420.0,h2_z_insignificant,47295.0,373236.0,PASS,235.0,1364.0,h2_z_insignificant,,,,
D000417,Albinism,Albinism,1,1,0,1,4,5.454545454545455,False,False,0.0,0.0,0.36363636363636365,,Albinism,Abdominal aortic aneurysm,GBMI::AAA,GBMI,GRCh38,AAA,AAA,disease,,Abdominal aortic aneurysm,,,GBMI published pilot endpoint,direct_disease_candidate,,,,TO_VERIFY_FROM_ORIGINAL_ENDPOINT_FILES,,,,,GBMI pilot release 052021,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,
D000417,Albinism,Albinism,1,1,0,1,5,5.294117647058824,False,False,0.0,0.0,0.35294117647058826,,Albinism,Back pain,Pan-UKB::phecode|760|both_sexes||,Pan-UKB,GRCh37,phecode|760|both_sexes||,,phecode,760,Back pain,,,symptoms,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-760-both_sexes.tsv.bgz,phecode-760-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-760-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-760-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,426.0,6210.0,h2_z_insignificant,,,,536.0,8340.0,PASS,59.0,2650.0,h2_z_insignificant,17794.0,402737.0,PASS,96.0,1503.0,h2_z_insignificant,,,,
D000417,Albinism,Albinism,1,1,0,1,6,5.0,False,False,0.0,0.0,0.3333333333333333,,Albinism,K42 Umbilical hernia,Pan-UKB::icd10|K42|both_sexes||,Pan-UKB,GRCh37,icd10|K42|both_sexes||,,icd10,K42,K42 Umbilical hernia,truncated: true,,Chapter XI Diseases of the digestive system | K40-K46 Hernia | K42 Umbilical hernia,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,icd10-K42-both_sexes.tsv.bgz,icd10-K42-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-K42-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-K42-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,105.0,6531.0,h2_z_insignificant,,,,90.0,8786.0,PASS,,,,4511.0,416020.0,PASS,,,,,,,
D000417,Albinism,Albinism,1,1,0,1,7,5.0,False,False,0.0,0.0,0.3333333333333333,,Albinism,Abdominal hernia,Pan-UKB::phecode|550|both_sexes||,Pan-UKB,GRCh37,phecode|550|both_sexes||,,phecode,550,Abdominal hernia,,,digestive,direct_disease_candidate,"EAS,EUR",EAS,1.0,verified_from_official_manifest,phecode-550-both_sexes.tsv.bgz,phecode-550-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-550-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-550-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,617.0,6019.0,h2_z_insignificant,112.0,868.0,n_too_low,,,,128.0,2581.0,PASS,56668.0,363863.0,PASS,224.0,1375.0,h2_z_insignificant,,,,
D000417,Albinism,Albinism,1,1,0,1,8,5.0,False,False,0.0,0.0,0.3333333333333333,,Albinism,Umbilical hernia,Pan-UKB::phecode|550.4|both_sexes||,Pan-UKB,GRCh37,phecode|550.4|both_sexes||,,phecode,550.4,Umbilical hernia,,,digestive,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-550.4-both_sexes.tsv.bgz,phecode-550.4-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-550.4-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-550.4-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,105.0,6019.0,h2_z_insignificant,,,,90.0,7837.0,PASS,,,,4541.0,363863.0,PASS,,,,,,,
D000437,Alcoholism,Alcoholism,2,2,0,2,1,54.05797101449275,False,False,0.5,0.3333333333333333,0.8260869565217391,alcohol,Alcohol Use Disorders,Alcohol-related disorders,Pan-UKB::phecode|317|both_sexes||,Pan-UKB,GRCh37,phecode|317|both_sexes||,,phecode,317,Alcohol-related disorders,,,mental disorders,direct_disease_candidate,"AFR,EUR",AFR,1.0,verified_from_official_manifest,phecode-317-both_sexes.tsv.bgz,phecode-317-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-317-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-317-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,129.0,6272.0,PASS,,,,166.0,8471.0,h2_z_insignificant,,,,16070.0,392046.0,PASS,,,,,,,
D000437,Alcoholism,Alcoholism,2,2,0,2,2,53.666666666666664,False,False,0.5,0.3333333333333333,0.8,use,Alcohol Use Disorder,Tobacco use disorder,Pan-UKB::phecode|318|both_sexes||,Pan-UKB,GRCh37,phecode|318|both_sexes||,,phecode,318,Tobacco use disorder,,,mental disorders,direct_disease_candidate,"EAS,EUR",EAS,1.0,verified_from_official_manifest,phecode-318-both_sexes.tsv.bgz,phecode-318-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-318-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-318-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,254.0,6272.0,h2_z_insignificant,,,,275.0,8471.0,h2_z_insignificant,50.0,2641.0,PASS,14988.0,392046.0,PASS,81.0,1493.0,h2_z_insignificant,,,,
D000437,Alcoholism,Alcoholism,2,2,0,2,3,46.875,False,False,0.5,0.25,0.5416666666666666,chronic,Chronic Alcoholic Intoxication,Chronic bronchitis,Pan-UKB::phecode|496.2|both_sexes||,Pan-UKB,GRCh37,phecode|496.2|both_sexes||,,phecode,496.2,Chronic bronchitis,,,respiratory,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-496.2-both_sexes.tsv.bgz,phecode-496.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-496.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-496.2-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,77.0,5999.0,h2_z_insignificant,,,,156.0,7886.0,PASS,,,,11764.0,379656.0,PASS,,,,,,,
D000437,Alcoholism,Alcoholism,2,2,0,2,4,41.0,False,False,0.5,0.14285714285714285,0.4,use,"Use Disorders, Alcohol",F17 Mental and behavioural disorders due to use of tobacco,Pan-UKB::icd10|F17|both_sexes||,Pan-UKB,GRCh37,icd10|F17|both_sexes||,,icd10,F17,F17 Mental and behavioural disorders due to use of tobacco,truncated: true,,Chapter V Mental and behavioural disorders | F10-F19 Mental and behavioural disorders due to psychoactive substance use | F17 Mental and behavioural disorders due to use of tobacco,direct_disease_candidate,"EAS,EUR",EAS,1.0,verified_from_official_manifest,icd10-F17-both_sexes.tsv.bgz,icd10-F17-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-F17-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-F17-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,254.0,6382.0,h2_z_insignificant,,,,275.0,8601.0,h2_z_insignificant,50.0,2659.0,PASS,14937.0,405594.0,PASS,81.0,1518.0,h2_z_insignificant,,,,
D000437,Alcoholism,Alcoholism,2,2,0,2,5,35.0,False,False,0.3333333333333333,0.2,0.5333333333333333,chronic,"Intoxication, Chronic Alcoholic",Obstructive chronic bronchitis,Pan-UKB::phecode|496.21|both_sexes||,Pan-UKB,GRCh37,phecode|496.21|both_sexes||,,phecode,496.21,Obstructive chronic bronchitis,,,respiratory,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-496.21-both_sexes.tsv.bgz,phecode-496.21-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-496.21-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-496.21-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,74.0,5999.0,h2_z_insignificant,,,,152.0,7886.0,PASS,,,,11537.0,379656.0,PASS,,,,,,,
