pair_trait_uid,ti_uid,gene,pool,indication_mesh_id,indication_mesh_term,analysis_role,locked_mapping_tier,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,canonical_group,pops_available,non_eur_pops_available,mapping_uid,mapping_rationale,locking_reason,indication_mesh_term_pair,ccat,year_launch,supported,initial_set,replication_set,all_set,n_studies_total,n_studies_initial,n_studies_replication,n_ancestries_initial,n_ancestries_replication,n_ancestries_all,has_replication,indication_mesh_term_mapping,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,mapping_tier,clinical_domain,source_verified,candidate_status,reviewer_decision,reviewer_notes
pt_a2a92c16e1400a8d,ACVRL1-D000740,ACVRL1,B,D000740,Anemia,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|30040|both_sexes||irnt,Mean corpuscular volume,continuous|30040|both_sexes||irnt,GRCh37,mean_corpuscular_volume,"CSA,EUR",CSA,map_69f44c24155f039a,Standard red-cell measures characterize anemia and major subtypes.,Retained only for prespecified sensitivity analysis.,Anemia,Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],[],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],7,7,0,5,0,5,False,Anemia,Anemia,11,11,4,7,Direct quantitative readout,hematology,True,REVIEW,,
pt_adf2eebfe54928cb,ADAMTS4-D065631,ADAMTS4,B,D065631,"Rhinitis, Allergic",SENSITIVITY,Proxy biomarker,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,eosinophil_count,"CSA,EUR",CSA,map_fef4e0642fc76154,Eosinophil count is an allergic-inflammatory biomarker rather than the disease endpoint.,Retained only for prespecified sensitivity analysis.,"Rhinitis, Allergic",Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],14,14,4,4,1,4,True,"Rhinitis, Allergic","Rhinitis, Allergic",9,9,1,8,Proxy biomarker,hematology_allergy,True,REVIEW,,
pt_0799282b9bfe360e,ADIPOR2-D009765,ADIPOR2,B,D009765,Obesity,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0,BMI and waist circumference directly measure adiposity.,Locked as the single primary representation of this indication.,Obesity,Phase I,,True,['European'],[],['European'],1,1,0,1,0,1,False,Obesity,Obesity,31,31,4,27,Direct quantitative readout,anthropometry,True,REVIEW,,
pt_aacf1b0e92c86727,ADIPOR2-D009765,ADIPOR2,B,D009765,Obesity,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|48|both_sexes||irnt,Waist circumference,continuous|48|both_sexes||irnt,GRCh37,waist_circumference,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_89b2b7c6b871d268,BMI and waist circumference directly measure adiposity.,Retained only for prespecified sensitivity analysis.,Obesity,Phase I,,True,['European'],[],['European'],1,1,0,1,0,1,False,Obesity,Obesity,31,31,4,27,Direct quantitative readout,anthropometry,True,REVIEW,,
pt_7a0ded7a5c154f9d,ADORA1-D001249,ADORA1,B,D001249,Asthma,PRIMARY,Direct disease,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,Locked as the single primary representation of this indication.,Asthma,Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],13,13,3,4,1,4,True,Asthma,Asthma,29,29,4,25,Direct disease,direct_disease,True,REVIEW,,
pt_26fa18dcaafe66c8,ADORA1-D001249,ADORA1,B,D001249,Asthma,SENSITIVITY,Proxy biomarker,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,eosinophil_count,"CSA,EUR",CSA,map_cb8244ded7498122,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",Retained only for prespecified sensitivity analysis.,Asthma,Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],13,13,3,4,1,4,True,Asthma,Asthma,29,29,4,25,Proxy biomarker,hematology_allergy,True,REVIEW,,
pt_f629ea4469f07405,ADORA1-D001249,ADORA1,B,D001249,Asthma,SENSITIVITY,Proxy biomarker,Pan-UKB,Pan-UKB::continuous|3063|both_sexes||irnt,Forced expiratory volume in 1-second (FEV1),continuous|3063|both_sexes||irnt,GRCh37,fev1,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_59356df4843aaef1,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",Retained only for prespecified sensitivity analysis.,Asthma,Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],13,13,3,4,1,4,True,Asthma,Asthma,29,29,4,25,Proxy biomarker,pulmonary,True,REVIEW,,
pt_a4092bf8cdc3636a,ADORA1-D001249,ADORA1,B,D001249,Asthma,SENSITIVITY,Proxy biomarker,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),continuous|3062|both_sexes||irnt,GRCh37,fvc,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_8f3487c5d3ef8b41,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",Retained only for prespecified sensitivity analysis.,Asthma,Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],13,13,3,4,1,4,True,Asthma,Asthma,29,29,4,25,Proxy biomarker,pulmonary,True,REVIEW,,
pt_c10106e52371d2ab,ADORA1-D029424,ADORA1,B,D029424,"Pulmonary Disease, Chronic Obstructive",PRIMARY,Direct disease,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,Locked as the single primary representation of this indication.,"Pulmonary Disease, Chronic Obstructive",Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],13,13,3,4,1,4,True,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,Direct disease,direct_disease,True,REVIEW,,
pt_bc838f9ad2eae7ed,ADORA1-D029424,ADORA1,B,D029424,"Pulmonary Disease, Chronic Obstructive",SENSITIVITY,Closely related phenotype,Pan-UKB,Pan-UKB::continuous|3063|both_sexes||irnt,Forced expiratory volume in 1-second (FEV1),continuous|3063|both_sexes||irnt,GRCh37,fev1,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_3b5ef0a073ff5fa0,Spirometry measures airflow limitation central to COPD but is not the disease endpoint.,Retained only for prespecified sensitivity analysis.,"Pulmonary Disease, Chronic Obstructive",Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],13,13,3,4,1,4,True,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,Closely related phenotype,pulmonary,True,REVIEW,,
pt_bcdc713f6b3838e4,ADORA1-D029424,ADORA1,B,D029424,"Pulmonary Disease, Chronic Obstructive",SENSITIVITY,Closely related phenotype,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),continuous|3062|both_sexes||irnt,GRCh37,fvc,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_16d098169734a13c,Spirometry measures airflow limitation central to COPD but is not the disease endpoint.,Retained only for prespecified sensitivity analysis.,"Pulmonary Disease, Chronic Obstructive",Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],13,13,3,4,1,4,True,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,Closely related phenotype,pulmonary,True,REVIEW,,
pt_4e403988566c8fab,ADORA2B-D001249,ADORA2B,B,D001249,Asthma,PRIMARY,Direct disease,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,Locked as the single primary representation of this indication.,Asthma,Phase I,,True,['European'],[],['European'],1,1,0,1,0,1,False,Asthma,Asthma,29,29,4,25,Direct disease,direct_disease,True,REVIEW,,
pt_eea2d1328879ed1d,ADORA2B-D001249,ADORA2B,B,D001249,Asthma,SENSITIVITY,Proxy biomarker,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,eosinophil_count,"CSA,EUR",CSA,map_cb8244ded7498122,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",Retained only for prespecified sensitivity analysis.,Asthma,Phase I,,True,['European'],[],['European'],1,1,0,1,0,1,False,Asthma,Asthma,29,29,4,25,Proxy biomarker,hematology_allergy,True,REVIEW,,
pt_433edf9a9cc4b94a,ADORA2B-D001249,ADORA2B,B,D001249,Asthma,SENSITIVITY,Proxy biomarker,Pan-UKB,Pan-UKB::continuous|3063|both_sexes||irnt,Forced expiratory volume in 1-second (FEV1),continuous|3063|both_sexes||irnt,GRCh37,fev1,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_59356df4843aaef1,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",Retained only for prespecified sensitivity analysis.,Asthma,Phase I,,True,['European'],[],['European'],1,1,0,1,0,1,False,Asthma,Asthma,29,29,4,25,Proxy biomarker,pulmonary,True,REVIEW,,
pt_80460f4fa8402b68,ADORA2B-D001249,ADORA2B,B,D001249,Asthma,SENSITIVITY,Proxy biomarker,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),continuous|3062|both_sexes||irnt,GRCh37,fvc,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_8f3487c5d3ef8b41,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",Retained only for prespecified sensitivity analysis.,Asthma,Phase I,,True,['European'],[],['European'],1,1,0,1,0,1,False,Asthma,Asthma,29,29,4,25,Proxy biomarker,pulmonary,True,REVIEW,,
pt_09a31e36e6addf26,ADRA1A-D006973,ADRA1A,B,D006973,Hypertension,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4079|both_sexes||irnt,"Diastolic blood pressure, automated reading",continuous|4079|both_sexes||irnt,GRCh37,diastolic_blood_pressure,"CSA,EUR",CSA,map_a10198eb08d8bca6,Blood pressure is the defining quantitative phenotype.,Retained only for prespecified sensitivity analysis.,Hypertension,Phase III,,True,['European'],[],['European'],1,1,0,1,0,1,False,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_c4cc2f49ba74b6c3,ADRA1A-D006973,ADRA1A,B,D006973,Hypertension,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4080|both_sexes||irnt,"Systolic blood pressure, automated reading",continuous|4080|both_sexes||irnt,GRCh37,systolic_blood_pressure,"CSA,EAS,EUR","CSA,EAS",map_51438025f9ca1f25,Blood pressure is the defining quantitative phenotype.,Locked as the single primary representation of this indication.,Hypertension,Phase III,,True,['European'],[],['European'],1,1,0,1,0,1,False,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_cd20c478515996f2,ADRA2B-D006973,ADRA2B,A,D006973,Hypertension,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4079|both_sexes||irnt,"Diastolic blood pressure, automated reading",continuous|4079|both_sexes||irnt,GRCh37,diastolic_blood_pressure,"CSA,EUR",CSA,map_a10198eb08d8bca6,Blood pressure is the defining quantitative phenotype.,Retained only for prespecified sensitivity analysis.,Hypertension,Launched,,True,['East Asian' 'European'],['European'],['East Asian' 'European'],5,5,3,2,1,2,True,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_2d8c089f79d8232e,ADRA2B-D006973,ADRA2B,A,D006973,Hypertension,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4080|both_sexes||irnt,"Systolic blood pressure, automated reading",continuous|4080|both_sexes||irnt,GRCh37,systolic_blood_pressure,"CSA,EAS,EUR","CSA,EAS",map_51438025f9ca1f25,Blood pressure is the defining quantitative phenotype.,Locked as the single primary representation of this indication.,Hypertension,Launched,,True,['East Asian' 'European'],['European'],['East Asian' 'European'],5,5,3,2,1,2,True,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_747b4001af8054cf,ADRA2C-D006973,ADRA2C,A,D006973,Hypertension,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4079|both_sexes||irnt,"Diastolic blood pressure, automated reading",continuous|4079|both_sexes||irnt,GRCh37,diastolic_blood_pressure,"CSA,EUR",CSA,map_a10198eb08d8bca6,Blood pressure is the defining quantitative phenotype.,Retained only for prespecified sensitivity analysis.,Hypertension,Launched,,True,['European'],[],['European'],2,2,0,1,0,1,False,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_e3dc23758504dfe1,ADRA2C-D006973,ADRA2C,A,D006973,Hypertension,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4080|both_sexes||irnt,"Systolic blood pressure, automated reading",continuous|4080|both_sexes||irnt,GRCh37,systolic_blood_pressure,"CSA,EAS,EUR","CSA,EAS",map_51438025f9ca1f25,Blood pressure is the defining quantitative phenotype.,Locked as the single primary representation of this indication.,Hypertension,Launched,,True,['European'],[],['European'],2,2,0,1,0,1,False,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_e35e0ebb6ef6ff18,ADRB1-D006949,ADRB1,B,D006949,Hyperlipidemias,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::biomarkers|30640|both_sexes||irnt,Apolipoprotein B,biomarkers|30640|both_sexes||irnt,GRCh37,apolipoprotein_b,"CSA,EUR",CSA,map_431e4b5a762bae69,Circulating lipid measure directly represents the indication construct.,Retained only for prespecified sensitivity analysis.,Hyperlipidemias,Phase I,,True,['East Asian' 'European'],[],['East Asian' 'European'],5,5,0,2,0,2,False,Hyperlipidemias,Hyperlipidemias,22,22,4,18,Direct quantitative readout,lipids,True,REVIEW,,
pt_61c893bf629db641,ADRB1-D006949,ADRB1,B,D006949,Hyperlipidemias,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::biomarkers|30690|both_sexes||irnt,Cholesterol,biomarkers|30690|both_sexes||irnt,GRCh37,total_cholesterol,"CSA,EUR",CSA,map_c7d4a03a9508b750,Circulating lipid measure directly represents the indication construct.,Retained only for prespecified sensitivity analysis.,Hyperlipidemias,Phase I,,True,['East Asian' 'European'],[],['East Asian' 'European'],5,5,0,2,0,2,False,Hyperlipidemias,Hyperlipidemias,22,22,4,18,Direct quantitative readout,lipids,True,REVIEW,,
pt_488513db10fd496f,ADRB1-D006949,ADRB1,B,D006949,Hyperlipidemias,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,biomarkers|30780|both_sexes||irnt,GRCh37,ldl_cholesterol,"CSA,EUR",CSA,map_8442195d65e17d61,Circulating lipid measure directly represents the indication construct.,Locked as the single primary representation of this indication.,Hyperlipidemias,Phase I,,True,['East Asian' 'European'],[],['East Asian' 'European'],5,5,0,2,0,2,False,Hyperlipidemias,Hyperlipidemias,22,22,4,18,Direct quantitative readout,lipids,True,REVIEW,,
pt_ca3f4496fb4f55af,ADRB1-D006973,ADRB1,A,D006973,Hypertension,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4079|both_sexes||irnt,"Diastolic blood pressure, automated reading",continuous|4079|both_sexes||irnt,GRCh37,diastolic_blood_pressure,"CSA,EUR",CSA,map_a10198eb08d8bca6,Blood pressure is the defining quantitative phenotype.,Retained only for prespecified sensitivity analysis.,Hypertension,Launched,,True,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']","['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']","['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",27,27,10,8,5,8,True,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_15e34dc66578ee8d,ADRB1-D006973,ADRB1,A,D006973,Hypertension,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4080|both_sexes||irnt,"Systolic blood pressure, automated reading",continuous|4080|both_sexes||irnt,GRCh37,systolic_blood_pressure,"CSA,EAS,EUR","CSA,EAS",map_51438025f9ca1f25,Blood pressure is the defining quantitative phenotype.,Locked as the single primary representation of this indication.,Hypertension,Launched,,True,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']","['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']","['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",27,27,10,8,5,8,True,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_24879cb29c659ec7,ADRB2-D001249,ADRB2,A,D001249,Asthma,PRIMARY,Direct disease,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,Locked as the single primary representation of this indication.,Asthma,Launched,2004.0,True,['European'],['European'],['European'],2,2,1,1,1,1,True,Asthma,Asthma,29,29,4,25,Direct disease,direct_disease,True,REVIEW,,
pt_08a0fc19d6afe200,ADRB2-D001249,ADRB2,A,D001249,Asthma,SENSITIVITY,Proxy biomarker,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,eosinophil_count,"CSA,EUR",CSA,map_cb8244ded7498122,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",Retained only for prespecified sensitivity analysis.,Asthma,Launched,2004.0,True,['European'],['European'],['European'],2,2,1,1,1,1,True,Asthma,Asthma,29,29,4,25,Proxy biomarker,hematology_allergy,True,REVIEW,,
