trait_key,source,genome_build,phenotype_id,published_endpoint_code,trait_type,phenocode,trait_name,description_more,coding_description,category,analysis_class,pops_pass_qc,non_eur_pops_pass_qc,num_non_eur_pops_pass_qc,ancestry_status,filename,filename_tabix,remote_data_path,remote_index_path,source_release,mapping_status,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID,clinical_domain,canonical_group,core_priority,selection_method,selection_reason
Pan-UKB::biomarkers|30770|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30770|both_sexes||irnt,,biomarkers,30770,IGF-1,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EAS,EUR","CSA,EAS",2,verified_from_official_manifest,biomarkers-30770-both_sexes-irnt.tsv.bgz,biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6178.0,,h2_z_insignificant,934.0,,n_too_low,8364.0,,PASS,2560.0,,PASS,398797.0,,PASS,1493.0,,h2_z_insignificant,growth_endocrine,igf1,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30030|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30030|both_sexes||irnt,,continuous,30030,Haematocrit percentage,"Result of ""Haematocrit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Haematocrit Percentage is the relative volume of packed erythrocytes to whole blood, computed by the formula: (red blood cells x mean corpuscular volume) / 10. Analyser operating range was 0 to 99.9% Typical reference range is 35.4 to 47.2%",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30030-both_sexes-irnt.tsv.bgz,continuous-30030-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30030-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30030-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,h2_z_insignificant,950.0,,n_too_low,8532.0,,PASS,2632.0,,h2_z_insignificant,407995.0,,PASS,1548.0,,h2_z_insignificant,hematology,haematocrit,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30020|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30020|both_sexes||irnt,,continuous,30020,Haemoglobin concentration,"Result of ""Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Analyser operating range was 0 to 99.9g/dL Typical reference range is 12.1 to 16.3g/dL",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30020-both_sexes-irnt.tsv.bgz,continuous-30020-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30020-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30020-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,h2_z_insignificant,950.0,,n_too_low,8532.0,,PASS,2632.0,,h2_z_insignificant,407994.0,,PASS,1548.0,,h2_z_insignificant,hematology,haemoglobin,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30280|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30280|both_sexes||irnt,,continuous,30280,Immature reticulocyte fraction,"Result of ""Immature Reticulocytes Fraction"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Immature Reticulocytes Fraction (Percentage) is an indication of new reticulocyte synthesis and is calculated from the reticulocytes (Percentage) as the total number of reticulocyte events in the outermost light scattering region, corresponding to immature reticulocytes, relative to the total number of reticulocytes and is reported as this ratio.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30280-both_sexes-irnt.tsv.bgz,continuous-30280-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30280-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30280-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6107.0,,h2_z_insignificant,926.0,,n_too_low,8315.0,,PASS,2582.0,,h2_z_insignificant,401344.0,,PASS,1518.0,,h2_z_insignificant,hematology,immature_reticulocyte_fraction,secondary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30120|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30120|both_sexes||irnt,,continuous,30120,Lymphocyte count,"Result of ""Lymphocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocyte count is the proportion of ( lymphoctyes / 100 ) x white blood cell count",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30120-both_sexes-irnt.tsv.bgz,continuous-30120-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30120-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30120-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6262.0,,h2_z_insignificant,949.0,,n_too_low,8502.0,,PASS,2630.0,,h2_z_insignificant,407265.0,,PASS,1546.0,,h2_z_insignificant,hematology,lymphocyte_count,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30050|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30050|both_sexes||irnt,,continuous,30050,Mean corpuscular haemoglobin,"Result of ""Mean Corpuscular Haemoglobin"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30050-both_sexes-irnt.tsv.bgz,continuous-30050-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30050-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30050-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,h2_z_insignificant,950.0,,n_too_low,8532.0,,PASS,2632.0,,h2_z_insignificant,407992.0,,PASS,1548.0,,h2_z_insignificant,hematology,mean_corpuscular_haemoglobin,secondary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30060|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30060|both_sexes||irnt,,continuous,30060,Mean corpuscular haemoglobin concentration,"Result of ""Mean Corpuscular Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (g/dL) is the average weight of haemoglobin in a measured dilution, computed by the formula: (haemoglobin/haematocrit) x 100.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30060-both_sexes-irnt.tsv.bgz,continuous-30060-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30060-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30060-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,h2_z_insignificant,950.0,,n_too_low,8532.0,,PASS,2632.0,,h2_z_insignificant,408000.0,,PASS,1548.0,,h2_z_insignificant,hematology,mean_corpuscular_haemoglobin_concentration,secondary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30040|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30040|both_sexes||irnt,,continuous,30040,Mean corpuscular volume,"Result of ""Mean Corpuscular Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (pg) is the weight of hemoglobin in the average erythrocyte, computed by the formula: MCH = (hemoglobin/red blood cells) x 10.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30040-both_sexes-irnt.tsv.bgz,continuous-30040-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30040-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30040-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,h2_z_insignificant,950.0,,n_too_low,8532.0,,PASS,2632.0,,h2_z_insignificant,407993.0,,PASS,1548.0,,h2_z_insignificant,hematology,mean_corpuscular_volume,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30100|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30100|both_sexes||irnt,,continuous,30100,Mean platelet (thrombocyte) volume,"Result of ""Mean Platelet Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Platelet Volume is the average volume of individual platelets derived from the platelet histogram.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"AFR,CSA,EUR","AFR,CSA",2,verified_from_official_manifest,continuous-30100-both_sexes-irnt.tsv.bgz,continuous-30100-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30100-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30100-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,PASS,950.0,,n_too_low,8532.0,,PASS,2632.0,,h2_z_insignificant,407987.0,,PASS,1548.0,,h2_z_insignificant,hematology,mean_platelet_volume,secondary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30130|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30130|both_sexes||irnt,,continuous,30130,Monocyte count,"Result of ""Monocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocyte count is the proportion of ( monoctyes / 100 ) x white blood cell count.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30130-both_sexes-irnt.tsv.bgz,continuous-30130-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30130-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30130-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6262.0,,h2_z_insignificant,949.0,,n_too_low,8502.0,,PASS,2630.0,,h2_z_insignificant,407265.0,,PASS,1546.0,,h2_z_insignificant,hematology,monocyte_count,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30140|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30140|both_sexes||irnt,,continuous,30140,Neutrophill count,"Result of ""Neutrophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils count is the proportion of ( neutrophils / 100 ) x white blood cell count.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,continuous-30140-both_sexes-irnt.tsv.bgz,continuous-30140-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30140-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30140-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6262.0,,h2_z_insignificant,949.0,,n_too_low,8502.0,,PASS,2630.0,,h2_z_insignificant,407265.0,,PASS,1546.0,,PASS,hematology,neutrophil_count,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30080|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30080|both_sexes||irnt,,continuous,30080,Platelet count,"Result of ""Platelet Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet count is the number of thrombocytes derived from the platelet histogram.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"AFR,CSA,EAS,EUR","AFR,CSA,EAS",3,verified_from_official_manifest,continuous-30080-both_sexes-irnt.tsv.bgz,continuous-30080-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30080-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30080-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,PASS,950.0,,n_too_low,8532.0,,PASS,2632.0,,PASS,407992.0,,PASS,1548.0,,out_of_bounds_lambda,hematology,platelet_count,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30110|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30110|both_sexes||irnt,,continuous,30110,Platelet distribution width,"Result of ""Platelet Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Distribution Width is the coefficient of variation of platelet size.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30110-both_sexes-irnt.tsv.bgz,continuous-30110-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30110-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30110-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,h2_z_insignificant,950.0,,n_too_low,8532.0,,PASS,2632.0,,h2_z_insignificant,407987.0,,PASS,1548.0,,h2_z_insignificant,hematology,platelet_distribution_width,secondary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30010|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30010|both_sexes||irnt,,continuous,30010,Red blood cell (erythrocyte) count,"Result of ""Red Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cells is the number of erythrocytes. Analyser operating range was 0 to 2x10^13 cells/Litre. Typical reference range is 3.9x10^12 to 5.5x10^12 cells/Litre.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,continuous-30010-both_sexes-irnt.tsv.bgz,continuous-30010-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30010-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30010-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,h2_z_insignificant,950.0,,n_too_low,8532.0,,PASS,2632.0,,h2_z_insignificant,407995.0,,PASS,1548.0,,PASS,hematology,red_blood_cell_count,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|30070|both_sexes||irnt,Pan-UKB,GRCh37,continuous|30070|both_sexes||irnt,,continuous,30070,Red blood cell (erythrocyte) distribution width,"Result of ""Red Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cell Distribution Width is the size distribution spread of the erythrocyte population derived from the red blood cell histogram. It is the coefficient of variation (CV) expressed in % of the red blood cell size distribution.",,Biological samples > Assay results > Blood assays > Blood count,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-30070-both_sexes-irnt.tsv.bgz,continuous-30070-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-30070-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-30070-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6281.0,,h2_z_insignificant,950.0,,n_too_low,8532.0,,PASS,2632.0,,h2_z_insignificant,407993.0,,PASS,1548.0,,h2_z_insignificant,hematology,red_cell_distribution_width,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
