gene,chrom,chrom_ucsc,start_1based,end_1based,start_0based,strand,gene_ids,gene_types,n_gene_records_collapsed,gencode_release,genome_build,n_canonical_chromosomes,multichromosome_symbol,coordinate_gene_symbol,coordinate_match_method,coordinate_status,window_bp,window_start_1based,window_end_1based,window_start_0based
CACNA1C,12,chr12,1970772,2697950,1970771,+,ENSG00000151067.23,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CACNA1C,exact_gene_name,MATCHED,100000,1870772,2797950,1870771
CALCA,11,chr11,14966668,14972351,14966667,-,ENSG00000110680.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CALCA,exact_gene_name,MATCHED,100000,14866668,15072351,14866667
CALCR,7,chr7,93424486,93574730,93424485,-,ENSG00000004948.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CALCR,exact_gene_name,MATCHED,100000,93324486,93674730,93324485
CASR,3,chr3,122183668,122291629,122183667,+,ENSG00000036828.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CASR,exact_gene_name,MATCHED,100000,122083668,122391629,122083667
CCR4,3,chr3,32951644,32956349,32951643,+,ENSG00000183813.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CCR4,exact_gene_name,MATCHED,100000,32851644,33056349,32851643
CD200R1,3,chr3,112921205,112975103,112921204,-,ENSG00000163606.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CD200R1,exact_gene_name,MATCHED,100000,112821205,113075103,112821204
CETP,16,chr16,56961923,56983845,56961922,+,ENSG00000087237.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CETP,exact_gene_name,MATCHED,100000,56861923,57083845,56861922
CHRM3,1,chr1,239386565,239915452,239386564,+,ENSG00000133019.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CHRM3,exact_gene_name,MATCHED,100000,239286565,240015452,239286564
CHRNB4,15,chr15,78624111,78727754,78624110,-,ENSG00000117971.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CHRNB4,exact_gene_name,MATCHED,100000,78524111,78827754,78524110
CSF2,5,chr5,132073789,132076170,132073788,+,ENSG00000164400.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CSF2,exact_gene_name,MATCHED,100000,131973789,132176170,131973788
CSF3,17,chr17,40015361,40017813,40015360,+,ENSG00000108342.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CSF3,exact_gene_name,MATCHED,100000,39915361,40117813,39915360
CSF3R,1,chr1,36466043,36483278,36466042,-,ENSG00000119535.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CSF3R,exact_gene_name,MATCHED,100000,36366043,36583278,36366042
CXCR4,2,chr2,136114349,136118149,136114348,-,ENSG00000121966.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CXCR4,exact_gene_name,MATCHED,100000,136014349,136218149,136014348
CYP11B1,8,chr8,142872356,142879846,142872355,-,ENSG00000160882.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CYP11B1,exact_gene_name,MATCHED,100000,142772356,142979846,142772355
CYP11B2,8,chr8,142910559,142917843,142910558,-,ENSG00000179142.2,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,CYP11B2,exact_gene_name,MATCHED,100000,142810559,143017843,142810558
DGAT1,8,chr8,144314584,144326910,144314583,-,ENSG00000185000.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,DGAT1,exact_gene_name,MATCHED,100000,144214584,144426910,144214583
DGAT2,11,chr11,75759512,75801535,75759511,+,ENSG00000062282.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,DGAT2,exact_gene_name,MATCHED,100000,75659512,75901535,75659511
DPP4,2,chr2,161992245,162074394,161992244,-,ENSG00000197635.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,DPP4,exact_gene_name,MATCHED,100000,161892245,162174394,161892244
DYRK3,1,chr1,206635536,206684419,206635535,+,ENSG00000143479.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,DYRK3,exact_gene_name,MATCHED,100000,206535536,206784419,206535535
EDNRA,4,chr4,147480917,147544954,147480916,+,ENSG00000151617.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EDNRA,exact_gene_name,MATCHED,100000,147380917,147644954,147380916
EGLN1,1,chr1,231363751,231422287,231363750,-,ENSG00000135766.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EGLN1,exact_gene_name,MATCHED,100000,231263751,231522287,231263750
EGLN2,19,chr19,40798996,40808434,40798995,+,ENSG00000269858.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EGLN2,exact_gene_name,MATCHED,100000,40698996,40908434,40698995
EGLN3,14,chr14,33924227,34462774,33924226,-,ENSG00000129521.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EGLN3,exact_gene_name,MATCHED,100000,33824227,34562774,33824226
ENPEP,4,chr4,110365733,110565285,110365732,+,ENSG00000138792.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ENPEP,exact_gene_name,MATCHED,100000,110265733,110665285,110265732
ENPP1,6,chr6,131808016,131895155,131808015,+,ENSG00000197594.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ENPP1,exact_gene_name,MATCHED,100000,131708016,131995155,131708015
EPHX2,8,chr8,27490781,27545564,27490780,+,ENSG00000120915.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EPHX2,exact_gene_name,MATCHED,100000,27390781,27645564,27390780
EPOR,19,chr19,11377207,11384342,11377206,-,ENSG00000187266.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,EPOR,exact_gene_name,MATCHED,100000,11277207,11484342,11277206
ESR1,6,chr6,151656691,152129619,151656690,+,ENSG00000091831.24,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ESR1,exact_gene_name,MATCHED,100000,151556691,152229619,151556690
F10,13,chr13,113122799,113149529,113122798,+,ENSG00000126218.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,F10,exact_gene_name,MATCHED,100000,113022799,113249529,113022798
F11,4,chr4,186266189,186289681,186266188,+,ENSG00000088926.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,F11,exact_gene_name,MATCHED,100000,186166189,186389681,186166188
F2,11,chr11,46719196,46739506,46719195,+,ENSG00000180210.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,F2,exact_gene_name,MATCHED,100000,46619196,46839506,46619195
FAP,2,chr2,162170684,162245151,162170683,-,ENSG00000078098.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FAP,exact_gene_name,MATCHED,100000,162070684,162345151,162070683
FBP1,9,chr9,94603133,94640249,94603132,-,ENSG00000165140.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FBP1,exact_gene_name,MATCHED,100000,94503133,94740249,94503132
FCGRT,19,chr19,49506816,49526428,49506815,+,ENSG00000104870.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FCGRT,exact_gene_name,MATCHED,100000,49406816,49626428,49406815
FDFT1,8,chr8,11795573,11839304,11795572,+,ENSG00000079459.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FDFT1,exact_gene_name,MATCHED,100000,11695573,11939304,11695572
FGF21,19,chr19,48755524,48758333,48755523,+,ENSG00000105550.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FGF21,exact_gene_name,MATCHED,100000,48655524,48858333,48655523
FGFR1,8,chr8,38400215,38468834,38400214,-,ENSG00000077782.22,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FGFR1,exact_gene_name,MATCHED,100000,38300215,38568834,38300214
FGFR3,4,chr4,1793293,1808872,1793292,+,ENSG00000068078.20,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FGFR3,exact_gene_name,MATCHED,100000,1693293,1908872,1693292
FGFR4,5,chr5,177086905,177098144,177086904,+,ENSG00000160867.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FGFR4,exact_gene_name,MATCHED,100000,176986905,177198144,176986904
FLT3,13,chr13,28003274,28100592,28003273,-,ENSG00000122025.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,FLT3,exact_gene_name,MATCHED,100000,27903274,28200592,27903273
GATA3,10,chr10,8045378,8075198,8045377,+,ENSG00000107485.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GATA3,exact_gene_name,MATCHED,100000,7945378,8175198,7945377
GCK,7,chr7,44143213,44198170,44143212,-,ENSG00000106633.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GCK,exact_gene_name,MATCHED,100000,44043213,44298170,44043212
GDF15,19,chr19,18374731,18389176,18374730,+,ENSG00000130513.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GDF15,exact_gene_name,MATCHED,100000,18274731,18489176,18274730
GFRAL,6,chr6,55327469,55402493,55327468,+,ENSG00000187871.2,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GFRAL,exact_gene_name,MATCHED,100000,55227469,55502493,55227468
GHR,5,chr5,42423439,42721878,42423438,+,ENSG00000112964.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GHR,exact_gene_name,MATCHED,100000,42323439,42821878,42323438
GHRHR,7,chr7,30938669,30993254,30938668,+,ENSG00000106128.19,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GHRHR,exact_gene_name,MATCHED,100000,30838669,31093254,30838668
GIPR,19,chr19,45668221,45683722,45668220,+,ENSG00000010310.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GIPR,exact_gene_name,MATCHED,100000,45568221,45783722,45568220
GLP1R,6,chr6,39048781,39091303,39048780,+,ENSG00000112164.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GLP1R,exact_gene_name,MATCHED,100000,38948781,39191303,38948780
GLP2R,17,chr17,9822206,9892099,9822205,+,ENSG00000065325.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GLP2R,exact_gene_name,MATCHED,100000,9722206,9992099,9722205
GRM7,3,chr3,6770001,7741533,6770000,+,ENSG00000196277.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,GRM7,exact_gene_name,MATCHED,100000,6670001,7841533,6670000
HAMP,19,chr19,35280716,35285143,35280715,+,ENSG00000105697.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HAMP,exact_gene_name,MATCHED,100000,35180716,35385143,35180715
HBG1,11,chr11,5248269,5249857,5248268,-,ENSG00000213934.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HBG1,exact_gene_name,MATCHED,100000,5148269,5349857,5148268
HCAR2,12,chr12,122701293,122703357,122701292,-,ENSG00000182782.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HCAR2,exact_gene_name,MATCHED,100000,122601293,122803357,122601292
HCAR3,12,chr12,122714756,122716811,122714755,-,ENSG00000255398.3,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HCAR3,exact_gene_name,MATCHED,100000,122614756,122816811,122614755
HCRTR1,1,chr1,31617686,31632518,31617685,+,ENSG00000121764.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HCRTR1,exact_gene_name,MATCHED,100000,31517686,31732518,31517685
HMGCR,5,chr5,75336329,75364001,75336328,+,ENSG00000113161.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HMGCR,exact_gene_name,MATCHED,100000,75236329,75464001,75236328
HRH4,18,chr18,24460637,24479961,24460636,+,ENSG00000134489.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HRH4,exact_gene_name,MATCHED,100000,24360637,24579961,24360636
HSD11B1,1,chr1,209686178,209734949,209686177,+,ENSG00000117594.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HSD11B1,exact_gene_name,MATCHED,100000,209586178,209834949,209586177
HTR1A,5,chr5,63957874,63962507,63957873,-,ENSG00000178394.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,HTR1A,exact_gene_name,MATCHED,100000,63857874,64062507,63857873
IAPP,12,chr12,21354959,21379980,21354958,+,ENSG00000121351.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IAPP,exact_gene_name,MATCHED,100000,21254959,21479980,21254958
IFNGR1,6,chr6,137197485,137219449,137197484,-,ENSG00000027697.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IFNGR1,exact_gene_name,MATCHED,100000,137097485,137319449,137097484
IL12A,3,chr3,159988835,159996019,159988834,+,ENSG00000168811.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL12A,exact_gene_name,MATCHED,100000,159888835,160096019,159888834
IL12B,5,chr5,159314780,159330487,159314779,-,ENSG00000113302.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL12B,exact_gene_name,MATCHED,100000,159214780,159430487,159214779
IL13,5,chr5,132656263,132661110,132656262,+,ENSG00000169194.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL13,exact_gene_name,MATCHED,100000,132556263,132761110,132556262
IL17RB,3,chr3,53846568,53865794,53846567,+,ENSG00000056736.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL17RB,exact_gene_name,MATCHED,100000,53746568,53965794,53746567
IL1R1,2,chr2,102064544,102179874,102064543,+,ENSG00000115594.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL1R1,exact_gene_name,MATCHED,100000,101964544,102279874,101964543
IL1RL1,2,chr2,102311502,102352037,102311501,+,ENSG00000115602.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL1RL1,exact_gene_name,MATCHED,100000,102211502,102452037,102211501
IL2,4,chr4,122451470,122456725,122451469,-,ENSG00000109471.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL2,exact_gene_name,MATCHED,100000,122351470,122556725,122351469
IL2RA,10,chr10,6010689,6062370,6010688,-,ENSG00000134460.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL2RA,exact_gene_name,MATCHED,100000,5910689,6162370,5910688
IL3,5,chr5,132060655,132063204,132060654,+,ENSG00000164399.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL3,exact_gene_name,MATCHED,100000,131960655,132163204,131960654
IL33,9,chr9,6215786,6257983,6215785,+,ENSG00000137033.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL33,exact_gene_name,MATCHED,100000,6115786,6357983,6115785
IL4R,16,chr16,27313668,27364778,27313667,+,ENSG00000077238.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL4R,exact_gene_name,MATCHED,100000,27213668,27464778,27213667
IL5,5,chr5,132541445,132556838,132541444,-,ENSG00000113525.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL5,exact_gene_name,MATCHED,100000,132441445,132656838,132441444
IL6,7,chr7,22725884,22732002,22725883,+,ENSG00000136244.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL6,exact_gene_name,MATCHED,100000,22625884,22832002,22625883
IL7R,5,chr5,35852695,35879603,35852694,+,ENSG00000168685.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,IL7R,exact_gene_name,MATCHED,100000,35752695,35979603,35752694
INPP5D,2,chr2,233059967,233207903,233059966,+,ENSG00000168918.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,INPP5D,exact_gene_name,MATCHED,100000,232959967,233307903,232959966
INS,11,chr11,2159779,2161221,2159778,-,ENSG00000254647.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,INS,exact_gene_name,MATCHED,100000,2059779,2261221,2059778
INSR,19,chr19,7112255,7294414,7112254,-,ENSG00000171105.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,INSR,exact_gene_name,MATCHED,100000,7012255,7394414,7012254
ITGB7,12,chr12,53191323,53207282,53191322,-,ENSG00000139626.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ITGB7,exact_gene_name,MATCHED,100000,53091323,53307282,53091322
JAK1,1,chr1,64833229,65067754,64833228,-,ENSG00000162434.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,JAK1,exact_gene_name,MATCHED,100000,64733229,65167754,64733228
JAK2,9,chr9,4984390,5129948,4984389,+,ENSG00000096968.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,JAK2,exact_gene_name,MATCHED,100000,4884390,5229948,4884389
KCNJ1,11,chr11,128836315,128867373,128836314,-,ENSG00000151704.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,KCNJ1,exact_gene_name,MATCHED,100000,128736315,128967373,128736314
KCNJ11,11,chr11,17365172,17389331,17365171,-,ENSG00000187486.7,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,KCNJ11,exact_gene_name,MATCHED,100000,17265172,17489331,17265171
KDM1A,1,chr1,23019443,23083689,23019442,+,ENSG00000004487.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,KDM1A,exact_gene_name,MATCHED,100000,22919443,23183689,22919442
KIT,4,chr4,54657918,54740715,54657917,+,ENSG00000157404.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,KIT,exact_gene_name,MATCHED,100000,54557918,54840715,54557917
LEPR,1,chr1,65420652,65641559,65420651,+,ENSG00000116678.20,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,LEPR,exact_gene_name,MATCHED,100000,65320652,65741559,65320651
LPA,6,chr6,160531482,160664275,160531481,-,ENSG00000198670.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,LPA,exact_gene_name,MATCHED,100000,160431482,160764275,160431481
LPL,8,chr8,19901717,19967259,19901716,+,ENSG00000175445.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,LPL,exact_gene_name,MATCHED,100000,19801717,20067259,19801716
MAPK1,22,chr22,21759657,21867680,21759656,-,ENSG00000100030.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MAPK1,exact_gene_name,MATCHED,100000,21659657,21967680,21659656
MAPK3,16,chr16,30114105,30123506,30114104,-,ENSG00000102882.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MAPK3,exact_gene_name,MATCHED,100000,30014105,30223506,30014104
MC1R,16,chr16,89912119,89920973,89912118,+,ENSG00000258839.4,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MC1R,exact_gene_name,MATCHED,100000,89812119,90020973,89812118
MC4R,18,chr18,60371062,60372775,60371061,-,ENSG00000166603.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MC4R,exact_gene_name,MATCHED,100000,60271062,60472775,60271061
METAP2,12,chr12,95473520,95515839,95473519,+,ENSG00000111142.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,METAP2,exact_gene_name,MATCHED,100000,95373520,95615839,95373519
MME,3,chr3,155024124,155183704,155024123,+,ENSG00000196549.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MME,exact_gene_name,MATCHED,100000,154924124,155283704,154924123
MMP12,11,chr11,102862736,102874982,102862735,-,ENSG00000262406.3,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MMP12,exact_gene_name,MATCHED,100000,102762736,102974982,102762735
MPL,1,chr1,43337818,43354466,43337817,+,ENSG00000117400.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MPL,exact_gene_name,MATCHED,100000,43237818,43454466,43237817
MTTP,4,chr4,99564081,99623997,99564080,+,ENSG00000138823.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,MTTP,exact_gene_name,MATCHED,100000,99464081,99723997,99464080
NFE2L2,2,chr2,177227595,177392697,177227594,-,ENSG00000116044.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NFE2L2,exact_gene_name,MATCHED,100000,177127595,177492697,177127594
NFKB1,4,chr4,102501331,102617302,102501330,+,ENSG00000109320.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NFKB1,exact_gene_name,MATCHED,100000,102401331,102717302,102401330
NOS3,7,chr7,150991017,151014588,150991016,+,ENSG00000164867.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NOS3,exact_gene_name,MATCHED,100000,150891017,151114588,150891016
NOX4,11,chr11,89324353,89498187,89324352,-,ENSG00000086991.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NOX4,exact_gene_name,MATCHED,100000,89224353,89598187,89224352
NPC1L1,7,chr7,44512535,44541330,44512534,-,ENSG00000015520.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NPC1L1,exact_gene_name,MATCHED,100000,44412535,44641330,44412534
NPR1,1,chr1,153678688,153693992,153678687,+,ENSG00000169418.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NPR1,exact_gene_name,MATCHED,100000,153578688,153793992,153578687
NPY,7,chr7,24284188,24291862,24284187,+,ENSG00000122585.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NPY,exact_gene_name,MATCHED,100000,24184188,24391862,24184187
NPY5R,4,chr4,163343892,163351934,163343891,+,ENSG00000164129.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NPY5R,exact_gene_name,MATCHED,100000,163243892,163451934,163243891
NR1H3,11,chr11,47248300,47269033,47248299,+,ENSG00000025434.19,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NR1H3,exact_gene_name,MATCHED,100000,47148300,47369033,47148299
NR1H4,12,chr12,100473708,100564414,100473707,+,ENSG00000012504.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NR1H4,exact_gene_name,MATCHED,100000,100373708,100664414,100373707
NR3C1,5,chr5,143277931,143435512,143277930,-,ENSG00000113580.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,NR3C1,exact_gene_name,MATCHED,100000,143177931,143535512,143177930
