comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,maf_threshold,gws_p_threshold,min_portability_variants_pre_ld,min_coloc_variants,n_raw_eur_variants,n_raw_comparison_variants,n_raw_shared_rows,n_duplicate_key_rows_excluded,n_harmonized_exact,n_harmonized_swapped,n_harmonized_primary,n_harmonized_sensitivity,n_valid_biallelic_snp,n_valid_beta_se,n_valid_p,n_valid_af,n_maf_pass,n_quality_pass,n_qc_qualified,n_qc_qualified_sensitivity,n_eur_gws_qc,n_comparison_gws_qc,n_eur_gws_qc_sensitivity,n_comparison_gws_qc_sensitivity,sample_metadata_usable,gbmi_swapped_sensitivity_only,n_eur_strand_flip_flagged,n_comparison_strand_flip_flagged,n_eur_diff_af_gnomad_flagged,n_comparison_diff_af_gnomad_flagged,eur_trait_type,eur_coloc_type,eur_n_cases_median,eur_n_controls_median,eur_n_total_median,eur_case_fraction_median,eur_usable,comparison_trait_type,comparison_coloc_type,comparison_n_cases_median,comparison_n_controls_median,comparison_n_total_median,comparison_case_fraction_median,comparison_usable,portability_pre_ld_eligible,portability_failure_reason,coloc_input_eligible,coloc_failure_reason,coloc_powered_both_ancestries,harmonized_parquet,harmonized_sidecar,cache_action,eur_n_cases,eur_n_controls,eur_n_total,eur_case_fraction,comparison_n_cases,comparison_n_controls,comparison_n_total,comparison_case_fraction,is_primary_mapping,is_nonmixed,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,approval_analysis_eligible,approval_pool,approval_group,portability_deming_slope,portability_fiqt_slope,portability_naive_slope,portability_deming_ci_lower,portability_fiqt_ci_lower,portability_naive_ci_lower,portability_deming_ci_upper,portability_fiqt_ci_upper,portability_naive_ci_upper,portability_n_variants,portability_sign_concordance,portability_pearson_r,portability_lead_sign_concordant,portability_median_abs_eur_z,portability_deming_near_boundary,portability_primary_r2_threshold,coloc_comparison_prior_stability,coloc_primary_category,coloc_primary_pp_h3,coloc_primary_pp_h4,coloc_primary_conditional_h4,coloc_minimum_pp_h3,coloc_maximum_pp_h3,coloc_minimum_pp_h4,coloc_maximum_pp_h4,portability_final_available,coloc_powered_final_available,both_final_mechanisms_available,mechanistic_availability
cmp_20b65a81adbdd8d8,gt_d9617b3ca0a01afd,ADRB2,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2010,663,,0,656,0,656,656,656,656,656,656,522,656,522,522.0,0,0,0.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,117670.0,1198773.0,1316443.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_20b65a81adbdd8d8.parquet,intermediate/15b4/comparisons/cmp_20b65a81adbdd8d8.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,A,Launched/approved,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_d46a8755ecd8923f,gt_d9617b3ca0a01afd,ADRB2,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2010,894,,0,695,0,695,695,648,695,695,695,542,692,502,502.0,0,0,0.0,0.0,True,True,0.0,0.0,3.0,1.0,binary,cc,117670.0,1198773.0,1316443.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_d46a8755ecd8923f.parquet,intermediate/15b4/comparisons/cmp_d46a8755ecd8923f.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,A,Launched/approved,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_28207de7faebaec4,gt_17737ee47ab15a2c,CHRM3,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,7709,5286,,0,3611,4,3611,3615,3419,3615,3615,3613,1917,3600,1804,1804.0,0,0,0.0,0.0,True,True,0.0,0.0,8.0,7.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_28207de7faebaec4.parquet,intermediate/15b4/comparisons/cmp_28207de7faebaec4.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_35c7f33119fc69aa,gt_17737ee47ab15a2c,CHRM3,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,7709,3172,,0,3157,3,3157,3160,3010,3160,3160,3160,2154,3151,2041,2041.0,0,0,0.0,0.0,True,True,0.0,0.0,7.0,3.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_35c7f33119fc69aa.parquet,intermediate/15b4/comparisons/cmp_35c7f33119fc69aa.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_7cd40f2755ea14ce,gt_17737ee47ab15a2c,CHRM3,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,7709,2369,,0,2285,0,2285,2285,2285,2285,2285,2285,1855,2281,1851,1851.0,0,0,0.0,0.0,True,True,0.0,0.0,4.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_7cd40f2755ea14ce.parquet,intermediate/15b4/comparisons/cmp_7cd40f2755ea14ce.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_a91e9e2dbbab8464,gt_17737ee47ab15a2c,CHRM3,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,7709,3071,,0,2211,0,2211,2211,2074,2211,2211,2211,1712,2195,1584,1584.0,0,0,0.0,0.0,True,True,0.0,2.0,12.0,7.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_a91e9e2dbbab8464.parquet,intermediate/15b4/comparisons/cmp_a91e9e2dbbab8464.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_b4fc8783bf50b0f8,gt_8ec8b2adc38392c6,CSF2,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,1868,1497,,0,883,1,883,884,837,884,884,884,345,884,329,329.0,51,0,51.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,True,,True,,False,intermediate/15b4/comparisons/cmp_b4fc8783bf50b0f8.parquet,intermediate/15b4/comparisons/cmp_b4fc8783bf50b0f8.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_900aed83a970be9e,gt_8ec8b2adc38392c6,CSF2,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,1868,555,,0,553,0,553,553,531,553,553,553,380,553,362,362.0,51,0,51.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,True,,True,,False,intermediate/15b4/comparisons/cmp_900aed83a970be9e.parquet,intermediate/15b4/comparisons/cmp_900aed83a970be9e.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_872016488aceb283,gt_8ec8b2adc38392c6,CSF2,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,1868,552,,0,497,0,497,497,497,497,497,497,343,497,343,343.0,50,0,50.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,False,intermediate/15b4/comparisons/cmp_872016488aceb283.parquet,intermediate/15b4/comparisons/cmp_872016488aceb283.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_d8dd6ef7088ffba2,gt_8ec8b2adc38392c6,CSF2,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,1868,762,,0,428,0,428,428,405,428,428,428,315,428,295,295.0,24,0,24.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,False,intermediate/15b4/comparisons/cmp_d8dd6ef7088ffba2.parquet,intermediate/15b4/comparisons/cmp_d8dd6ef7088ffba2.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_e3d18da8c31d7ea7,gt_5a1238ab72b04b53,FGFR3,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,2330,1594,,0,939,0,939,939,886,939,939,939,407,935,386,386.0,0,0,0.0,0.0,True,True,0.0,0.0,3.0,3.0,binary,cc,118889.0,1240541.0,1359430.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_e3d18da8c31d7ea7.parquet,intermediate/15b4/comparisons/cmp_e3d18da8c31d7ea7.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_bbd4208cbc3bd7e5,gt_5a1238ab72b04b53,FGFR3,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,2330,848,,0,845,0,845,845,808,845,845,845,489,841,466,466.0,0,0,0.0,0.0,True,True,0.0,0.0,3.0,4.0,binary,cc,118889.0,1240541.0,1359430.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_bbd4208cbc3bd7e5.parquet,intermediate/15b4/comparisons/cmp_bbd4208cbc3bd7e5.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_e04d0f6a0ffc8967,gt_5a1238ab72b04b53,FGFR3,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2330,503,,0,486,0,486,486,486,486,486,486,369,485,368,368.0,0,0,0.0,0.0,True,True,0.0,0.0,1.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_e04d0f6a0ffc8967.parquet,intermediate/15b4/comparisons/cmp_e04d0f6a0ffc8967.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_06689f7e8a7c15e0,gt_5a1238ab72b04b53,FGFR3,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2330,693,,0,543,0,543,543,513,543,543,543,371,536,340,340.0,0,0,0.0,0.0,True,True,3.0,0.0,6.0,1.0,binary,cc,118889.0,1240541.0,1359430.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_06689f7e8a7c15e0.parquet,intermediate/15b4/comparisons/cmp_06689f7e8a7c15e0.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_dc17746c43ba008b,gt_519bb947b499daff,GATA3,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,2668,1878,,0,1354,2,1354,1356,1278,1356,1356,1356,737,1355,696,696.0,19,0,19.0,0.0,True,True,1.0,0.0,1.0,0.0,binary,cc,118889.0,1240541.0,1359430.0,0.08861461363548828,True,binary,cc,4762.0,26670.0,31432.0,0.15466348214832507,True,True,,True,,False,intermediate/15b4/comparisons/cmp_dc17746c43ba008b.parquet,intermediate/15b4/comparisons/cmp_dc17746c43ba008b.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_9d824417fe65d822,gt_519bb947b499daff,GATA3,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,2668,1105,,0,1098,1,1098,1099,1044,1099,1099,1099,882,1098,835,835.0,19,0,19.0,0.0,True,True,1.0,0.0,0.0,1.0,binary,cc,118889.0,1240541.0,1359430.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,True,,True,,False,intermediate/15b4/comparisons/cmp_9d824417fe65d822.parquet,intermediate/15b4/comparisons/cmp_9d824417fe65d822.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_6fac66445dcff4c0,gt_519bb947b499daff,GATA3,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2668,943,,0,900,0,900,900,900,900,900,900,762,900,762,762.0,19,0,19.0,0.0,True,True,1.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,False,intermediate/15b4/comparisons/cmp_6fac66445dcff4c0.parquet,intermediate/15b4/comparisons/cmp_6fac66445dcff4c0.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
cmp_ba664b37fee5bc19,gt_519bb947b499daff,GATA3,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2668,1302,,0,951,2,951,953,885,953,953,953,626,946,576,577.0,19,1,19.0,1.0,True,True,1.0,0.0,7.0,2.0,binary,cc,117670.0,1198773.0,1316443.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,True,intermediate/15b4/comparisons/cmp_ba664b37fee5bc19.parquet,intermediate/15b4/comparisons/cmp_ba664b37fee5bc19.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,ROBUST_SHARED,SHARED_H4_GE_0P8,0.0038645332407903593,0.9960232671013607,0.9961350331112471,0.00038784143168177625,0.037309985776921746,0.9616067869928541,0.9996008983013673,False,True,False,COLOC_POWERED_ONLY
cmp_56f69ebeb8ee406e,gt_9e0993252b567190,HRH4,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,2252,1734,,0,1202,1,1202,1203,1114,1203,1203,1203,720,1201,667,667.0,0,0,0.0,0.0,True,True,0.0,0.0,1.0,1.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_56f69ebeb8ee406e.parquet,intermediate/15b4/comparisons/cmp_56f69ebeb8ee406e.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True,B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
