comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,canonical_group,unit_analysis_role,locked_mapping_tier,mapping_tiers_contributing,mixed_pool,primary_approval_eligible,sensitivity_pool_assignment,pools,n_A_pairs,n_B_pairs,n_target_indication_pairs,n_indications,indications,eur_population,comparison_population,chrom,chrom_ucsc,gene_start_1based,gene_end_1based,gene_start_0based,window_start_1based,window_end_1based,window_start_0based,window_bp,strand,gene_ids,gene_types,coordinate_gene_symbol,coordinate_match_method,gencode_release,coordinate_status,summary_stat_layout,eur_data_url,eur_index_url,comparison_data_url,comparison_index_url,source_population_label,source_schema_status,source_metadata_status,source_file_index_verified,coordinate_ready,eur_source_ready,comparison_source_ready,extraction_ready,unresolved_reason
cmp_daacdfb49a767a83,gt_a3ed78d49b0c5aac,CALCA,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,CSA,11,chr11,14988214,14993900,14988213,14888214,15093900,14888213,100000,-,ENSG00000110680.8,protein_coding,CALCA,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,CSA,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_968e54cd842753a0,gt_a3ed78d49b0c5aac,CALCA,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,MID,11,chr11,14988214,14993900,14988213,14888214,15093900,14888213,100000,-,ENSG00000110680.8,protein_coding,CALCA,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,MID,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_5f5a33771aea4344,gt_a0bbc31bfcb23525,CALCR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,AFR,7,chr7,93053799,93204042,93053798,92953799,93304042,92953798,100000,-,ENSG00000004948.9,protein_coding,CALCR,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,AFR,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_312d2eeff22fbd6d,gt_a0bbc31bfcb23525,CALCR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,CSA,7,chr7,93053799,93204042,93053798,92953799,93304042,92953798,100000,-,ENSG00000004948.9,protein_coding,CALCR,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,CSA,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_397789a3dc4c5cce,gt_a0bbc31bfcb23525,CALCR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,MID,7,chr7,93053799,93204042,93053798,92953799,93304042,92953798,100000,-,ENSG00000004948.9,protein_coding,CALCR,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,MID,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_cf2eb416b2655e2b,gt_7ef45295ac72754b,DPP4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,AFR,2,chr2,162848751,162931052,162848750,162748751,163031052,162748750,100000,-,ENSG00000197635.5,protein_coding,DPP4,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,AFR,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_0daa02799b71141c,gt_7ef45295ac72754b,DPP4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,CSA,2,chr2,162848751,162931052,162848750,162748751,163031052,162748750,100000,-,ENSG00000197635.5,protein_coding,DPP4,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,CSA,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_3ebb25f4fe833c35,gt_7ef45295ac72754b,DPP4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,MID,2,chr2,162848751,162931052,162848750,162748751,163031052,162748750,100000,-,ENSG00000197635.5,protein_coding,DPP4,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,MID,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_079478dee00a071e,gt_07bc6b913823d770,FGFR1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,AFR,8,chr8,38268656,38326352,38268655,38168656,38426352,38168655,100000,-,ENSG00000077782.15,protein_coding,FGFR1,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,AFR,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_5b22527d173ee7fa,gt_07bc6b913823d770,FGFR1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,CSA,8,chr8,38268656,38326352,38268655,38168656,38426352,38168655,100000,-,ENSG00000077782.15,protein_coding,FGFR1,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,CSA,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_bad094ab84784157,gt_07bc6b913823d770,FGFR1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,MID,8,chr8,38268656,38326352,38268655,38168656,38426352,38168655,100000,-,ENSG00000077782.15,protein_coding,FGFR1,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,MID,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_2578fe8a5e432812,gt_5aa064f396f10864,FGFR4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,AFR,5,chr5,176513887,176525145,176513886,176413887,176625145,176413886,100000,+,ENSG00000160867.10,protein_coding,FGFR4,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,AFR,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_cf79a21217ebfd45,gt_5aa064f396f10864,FGFR4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,CSA,5,chr5,176513887,176525145,176513886,176413887,176625145,176413886,100000,+,ENSG00000160867.10,protein_coding,FGFR4,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,CSA,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
cmp_2278a2ee61e3c94f,gt_5aa064f396f10864,FGFR4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,PRIMARY,Direct quantitative readout,Direct quantitative readout,False,True,B,B,0,1,1,1,Obesity,EUR,MID,5,chr5,176513887,176525145,176513886,176413887,176625145,176413886,100000,+,ENSG00000160867.10,protein_coding,FGFR4,exact_gene_name,GENCODE v19,MATCHED,single_multianalysis_bgzf,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,MID,TO_VALIDATE_IN_15B2,MATCHED_TRAIT_CATALOG,True,True,True,True,True,
