STUDY ACCESSION	PUBMEDID	FIRST AUTHOR	DATE	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	STAGE	NUMBER OF INDIVDUALS	BROAD ANCESTRAL CATEGORY	COUNTRY OF ORIGIN	COUNTRY OF RECRUITMENT	ADDITONAL ANCESTRY DESCRIPTION
GCST004421	27989323	Ahola-Olli AV	2016-12-13	3,531 Finnish ancestry individuals	NA	initial	3531	European	NR	Finland	
GCST004422	27989323	Ahola-Olli AV	2016-12-13	7,118 Finnish ancestry individuals	NA	initial	7118	European	NR	Finland	
GCST004420	27989323	Ahola-Olli AV	2016-12-13	3,631 Finnish ancestry individuals	NA	initial	3631	European	NR	Finland	
GCST004460	27989323	Ahola-Olli AV	2016-12-13	8,153 Finnish ancestry individuals	NA	initial	8153	European	NR	Finland	
GCST004459	27989323	Ahola-Olli AV	2016-12-13	7,565 Finnish ancestry individuals	NA	initial	7565	European	NR	Finland	
GCST004458	27989323	Ahola-Olli AV	2016-12-13	7,904 Finnish ancestry individuals	NA	initial	7904	European	NR	Finland	
GCST004457	27989323	Ahola-Olli AV	2016-12-13	3,505 Finnish ancestry individuals	NA	initial	3505	European	NR	Finland	
GCST004449	27989323	Ahola-Olli AV	2016-12-13	8,292 Finnish ancestry individuals	NA	initial	8292	European	NR	Finland	
GCST004456	27989323	Ahola-Olli AV	2016-12-13	7,701 Finnish ancestry individuals	NA	initial	7701	European	NR	Finland	
GCST004448	27989323	Ahola-Olli AV	2016-12-13	3,309 Finnish ancestry individuals	NA	initial	3309	European	NR	Finland	
GCST004447	27989323	Ahola-Olli AV	2016-12-13	3,638 Finnish ancestry individuals	NA	initial	3638	European	NR	Finland	
GCST004455	27989323	Ahola-Olli AV	2016-12-13	3,475 Finnish ancestry individuals	NA	initial	3475	European	NR	Finland	
GCST004454	27989323	Ahola-Olli AV	2016-12-13	3,677 Finnish ancestry individuals	NA	initial	3677	European	NR	Finland	
GCST004453	27989323	Ahola-Olli AV	2016-12-13	8,124 Finnish ancestry individuals	NA	initial	8124	European	NR	Finland	
GCST004452	27989323	Ahola-Olli AV	2016-12-13	3,364 Finnish ancestry individuals	NA	initial	3364	European	NR	Finland	
GCST004446	27989323	Ahola-Olli AV	2016-12-13	8,189 Finnish ancestry individuals	NA	initial	8189	European	NR	Finland	
GCST004451	27989323	Ahola-Olli AV	2016-12-13	3,409 Finnish ancestry individuals	NA	initial	3409	European	NR	Finland	
GCST004445	27989323	Ahola-Olli AV	2016-12-13	3,526 Finnish ancestry individuals	NA	initial	3526	European	NR	Finland	
GCST004450	27989323	Ahola-Olli AV	2016-12-13	3,634 Finnish ancestry individuals	NA	initial	3634	European	NR	Finland	
GCST004444	27989323	Ahola-Olli AV	2016-12-13	7,681 Finnish ancestry individuals	NA	initial	7681	European	NR	Finland	
GCST004443	27989323	Ahola-Olli AV	2016-12-13	3,557 Finnish ancestry individuals	NA	initial	3557	European	NR	Finland	
GCST004442	27989323	Ahola-Olli AV	2016-12-13	7,760 Finnish ancestry individuals	NA	initial	7760	European	NR	Finland	
GCST004441	27989323	Ahola-Olli AV	2016-12-13	3,636 Finnish ancestry individuals	NA	initial	3636	European	NR	Finland	
GCST004423	27989323	Ahola-Olli AV	2016-12-13	3,494 Finnish ancestry individuals	NA	initial	3494	European	NR	Finland	
GCST004440	27989323	Ahola-Olli AV	2016-12-13	3,685 Finnish ancestry individuals	NA	initial	3685	European	NR	Finland	
GCST004533	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004530	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004531	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004532	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004762	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004534	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004543	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004544	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004535	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004759	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004551	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004552	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004554	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004555	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004556	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004536	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004539	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004540	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004541	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004542	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004545	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004546	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004547	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004548	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004550	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST005591	29471430	Tanikawa C	2018-02-17	6,692 Japanese ancestry cases, 27,178 Japanese ancestry controls	3,713 Japanese ancestry cases, 7,333 Japanese ancestry controls	replication	11046	East Asian	NR	Japan	Japanese
GCST005591	29471430	Tanikawa C	2018-02-17	6,692 Japanese ancestry cases, 27,178 Japanese ancestry controls	3,713 Japanese ancestry cases, 7,333 Japanese ancestry controls	initial	33870	East Asian	NR	Japan	Japanese
GCST005535	24387989	Mayes MD	2014-01-02	574 European ancestry cases, 3,466 European ancestry controls	1,217 European ancestry cases, 5,935 European ancestry controls	initial	4040	European	NR	U.S., Spain	
GCST005535	24387989	Mayes MD	2014-01-02	574 European ancestry cases, 3,466 European ancestry controls	1,217 European ancestry cases, 5,935 European ancestry controls	replication	7152	European	NR	Sweden, Canada, U.S., Germany, Netherlands, U.K., Italy, Spain	
GCST005534	24387989	Mayes MD	2014-01-02	671 European ancestry ACA-positive cases, 347 European ancestry ATA-positive cases, 815 European ancestry cases, 3,466 European ancestry controls	1,387 European ancestry ACA-positive cases, 896 European ancestry ATA-positive cases, 1,734 European ancestry cases, 5,935 European ancestry controls	initial	5299	European	NR	U.S., Spain	
GCST005534	24387989	Mayes MD	2014-01-02	671 European ancestry ACA-positive cases, 347 European ancestry ATA-positive cases, 815 European ancestry cases, 3,466 European ancestry controls	1,387 European ancestry ACA-positive cases, 896 European ancestry ATA-positive cases, 1,734 European ancestry cases, 5,935 European ancestry controls	replication	9952	European	NR	Canada, U.S., Germany, Netherlands, Sweden, U.K., Italy, Spain	
GCST005533	24387989	Mayes MD	2014-01-02	1,127 European ancestry cases, 3,466 European ancestry controls	2,507 European ancestry cases, 5,935 European ancestry controls	replication	8442	European	NR	U.S., Germany, Canada, Netherlands, Sweden, U.K., Italy, Spain	
GCST005533	24387989	Mayes MD	2014-01-02	1,127 European ancestry cases, 3,466 European ancestry controls	2,507 European ancestry cases, 5,935 European ancestry controls	initial	4593	European	NR	U.S., Spain	
GCST005845	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian ancestry individuals, 1,445 African ancestry individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1744	Asian unspecified	NR	U.K.	
GCST005845	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian ancestry individuals, 1,445 African ancestry individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1445	African unspecified	NR	U.K.	
GCST005845	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian ancestry individuals, 1,445 African ancestry individuals, 468 admixed individuals, 1,024 individuals	NA	initial	468	Other admixed ancestry	NR	U.K.	
GCST005845	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian ancestry individuals, 1,445 African ancestry individuals, 468 admixed individuals, 1,024 individuals	NA	initial	54137	European	NR	U.K.	
GCST005845	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian ancestry individuals, 1,445 African ancestry individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1024	Other, NR	NR	U.K.	
GCST005850	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1024	Other, NR	NR	U.K.	
GCST005850	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	54137	European	NR	U.K.	
GCST005850	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1744	Asian unspecified	NR	U.K.	
GCST005850	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	468	Other admixed ancestry	NR	U.K.	
GCST005850	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1445	African unspecified	NR	U.K.	
GCST005849	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1744	Asian unspecified	NR	U.K.	
GCST005849	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	54137	European	NR	U.K.	
GCST005849	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1445	African unspecified	NR	U.K.	
GCST005849	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	468	Other admixed ancestry	NR	U.K.	
GCST005849	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1024	Other, NR	NR	U.K.	
GCST005848	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1024	Other, NR	NR	U.K.	
GCST005848	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1744	Asian unspecified	NR	U.K.	
GCST005848	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	54137	European	NR	U.K.	
GCST005848	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	468	Other admixed ancestry	NR	U.K.	
GCST005848	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1445	African unspecified	NR	U.K.	
GCST005846	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1744	Asian unspecified	NR	U.K.	
GCST005846	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1024	Other, NR	NR	U.K.	
GCST005846	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	54137	European	NR	U.K.	
GCST005846	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	468	Other admixed ancestry	NR	U.K.	
GCST005846	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1445	African unspecified	NR	U.K.	
GCST005847	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	468	Other admixed ancestry	NR	U.K.	
GCST005847	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1024	Other, NR	NR	U.K.	
GCST005847	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	54137	European	NR	U.K.	
GCST005847	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1445	African unspecified	NR	U.K.	
GCST005847	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian individuals, 1,445 African individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1744	Asian unspecified	NR	U.K.	
GCST005795	29499414	Pei YF	2018-02-27	up to 4,692 European ancestry individuals, up to 1,539 Han Chinese ancestry individuals, up to 849 African American individuals, up to 446 Hispanic individuals, 2,882 European ancestry whole-genome sequenced individuals, 3,549 European ancestry whole-exome sequenced individuals, 26,534 European ancestry non-array genotype imputed individuals	NA	initial	37657	European	NR	NR	
GCST005795	29499414	Pei YF	2018-02-27	up to 4,692 European ancestry individuals, up to 1,539 Han Chinese ancestry individuals, up to 849 African American individuals, up to 446 Hispanic individuals, 2,882 European ancestry whole-genome sequenced individuals, 3,549 European ancestry whole-exome sequenced individuals, 26,534 European ancestry non-array genotype imputed individuals	NA	initial	1539	East Asian	NR	China	Chinese Han
GCST005795	29499414	Pei YF	2018-02-27	up to 4,692 European ancestry individuals, up to 1,539 Han Chinese ancestry individuals, up to 849 African American individuals, up to 446 Hispanic individuals, 2,882 European ancestry whole-genome sequenced individuals, 3,549 European ancestry whole-exome sequenced individuals, 26,534 European ancestry non-array genotype imputed individuals	NA	initial	849	African American or Afro-Caribbean	NR	U.S.	
GCST005795	29499414	Pei YF	2018-02-27	up to 4,692 European ancestry individuals, up to 1,539 Han Chinese ancestry individuals, up to 849 African American individuals, up to 446 Hispanic individuals, 2,882 European ancestry whole-genome sequenced individuals, 3,549 European ancestry whole-exome sequenced individuals, 26,534 European ancestry non-array genotype imputed individuals	NA	initial	446	Hispanic or Latin American	NR	U.S.	Admixed American population
GCST005796	29499414	Pei YF	2018-02-27	up to 4,692 European ancestry individuals, up to 1,539 Han Chinese ancestry individuals, up to 849 African American individuals, up to 446 Hispanic individuals, 2,882 European ancestry whole-genome sequenced individuals, 3,549 European ancestry whole-exome sequenced individuals, 26,534 European ancestry non-array genotype imputed individuals	NA	initial	1539	East Asian	NR	China	Chinese Han
GCST005796	29499414	Pei YF	2018-02-27	up to 4,692 European ancestry individuals, up to 1,539 Han Chinese ancestry individuals, up to 849 African American individuals, up to 446 Hispanic individuals, 2,882 European ancestry whole-genome sequenced individuals, 3,549 European ancestry whole-exome sequenced individuals, 26,534 European ancestry non-array genotype imputed individuals	NA	initial	446	Hispanic or Latin American	NR	U.S.	Admixed American population
GCST005796	29499414	Pei YF	2018-02-27	up to 4,692 European ancestry individuals, up to 1,539 Han Chinese ancestry individuals, up to 849 African American individuals, up to 446 Hispanic individuals, 2,882 European ancestry whole-genome sequenced individuals, 3,549 European ancestry whole-exome sequenced individuals, 26,534 European ancestry non-array genotype imputed individuals	NA	initial	37657	European	NR	NR	
GCST005796	29499414	Pei YF	2018-02-27	up to 4,692 European ancestry individuals, up to 1,539 Han Chinese ancestry individuals, up to 849 African American individuals, up to 446 Hispanic individuals, 2,882 European ancestry whole-genome sequenced individuals, 3,549 European ancestry whole-exome sequenced individuals, 26,534 European ancestry non-array genotype imputed individuals	NA	initial	849	African American or Afro-Caribbean	NR	U.S.	
GCST005588	29495422	Xu H	2018-02-26	662 African American cases, 1,138 African American controls	NA	initial	1800	African American or Afro-Caribbean	NR	U.S.	
GCST004034	28081371	Sanders AE	2017-01-12	769 Hispanic cases, 9,384 Hispanic controls	768 European ancestry cases, 4,845 European ancestry controls, 144 Hispanic/Latin American cases, 492 Hispanic/Latin American controls, 999 cases, 2,031 controls	replication	8814	NR	NR	Finland, U.S., Brazil, Germany	
GCST004034	28081371	Sanders AE	2017-01-12	769 Hispanic cases, 9,384 Hispanic controls	768 European ancestry cases, 4,845 European ancestry controls, 144 Hispanic/Latin American cases, 492 Hispanic/Latin American controls, 999 cases, 2,031 controls	replication	5613	European	NR	Germany, Finland	
GCST004034	28081371	Sanders AE	2017-01-12	769 Hispanic cases, 9,384 Hispanic controls	768 European ancestry cases, 4,845 European ancestry controls, 144 Hispanic/Latin American cases, 492 Hispanic/Latin American controls, 999 cases, 2,031 controls	replication	636	Hispanic or Latin American	NR	Brazil	
GCST004034	28081371	Sanders AE	2017-01-12	769 Hispanic cases, 9,384 Hispanic controls	768 European ancestry cases, 4,845 European ancestry controls, 144 Hispanic/Latin American cases, 492 Hispanic/Latin American controls, 999 cases, 2,031 controls	replication	3030	NR	NR	NR	
GCST004034	28081371	Sanders AE	2017-01-12	769 Hispanic cases, 9,384 Hispanic controls	768 European ancestry cases, 4,845 European ancestry controls, 144 Hispanic/Latin American cases, 492 Hispanic/Latin American controls, 999 cases, 2,031 controls	initial	10153	Hispanic or Latin American	NR	U.S.	Cuban, Dominican, Mexican, Central American, South American, Puerto Rican
GCST004246	28183528	Jun GR	2017-02-06	13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	5,813 European ancestry cases, 20,474 European ancestry controls	initial	4983	African American or Afro-Caribbean	NR	NR	
GCST004246	28183528	Jun GR	2017-02-06	13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	5,813 European ancestry cases, 20,474 European ancestry controls	initial	1845	East Asian	NR	NR	
GCST004246	28183528	Jun GR	2017-02-06	13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	5,813 European ancestry cases, 20,474 European ancestry controls	initial	115	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	NR	
GCST004246	28183528	Jun GR	2017-02-06	13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	5,813 European ancestry cases, 20,474 European ancestry controls	replication	26287	European	NR	NR	
GCST004246	28183528	Jun GR	2017-02-06	13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	5,813 European ancestry cases, 20,474 European ancestry controls	initial	26320	European	NR	NR	
GCST004247	28183528	Jun GR	2017-02-06	8,271 European ancestry APOE e4+ cases, 3,480 European ancestry APOE e4+ controls, 4,829 European ancestry APOE e4- cases, 9,740 European ancestry APOE e4- controls, 865 African American APOE e4+ cases, 1,241 African American APOE e4+ control, 607 African American APOE 4e- cases, 2,270 African American APOE 4e- controls, 535 Japanese ancestry APOE 4e+ cases, 151  Japanese ancestry APOE 4+ controls, 416  Japanese ancestry APOE 4- cases, 743 Japanese ancestry APOE 4- controls, 51 Arab-Israeli ancestry APOE e4- cases, 64 Arab-Israeli ancestry e4- controls	3,062 European ancestry APOE e4+ cases, 8,977 European ancestry APOE e4+ controls, 2,751 European ancestry APOE e4- cases, 11,497 European ancestry APOE e4- controls	initial	115	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	NR	
GCST004247	28183528	Jun GR	2017-02-06	8,271 European ancestry APOE e4+ cases, 3,480 European ancestry APOE e4+ controls, 4,829 European ancestry APOE e4- cases, 9,740 European ancestry APOE e4- controls, 865 African American APOE e4+ cases, 1,241 African American APOE e4+ control, 607 African American APOE 4e- cases, 2,270 African American APOE 4e- controls, 535 Japanese ancestry APOE 4e+ cases, 151  Japanese ancestry APOE 4+ controls, 416  Japanese ancestry APOE 4- cases, 743 Japanese ancestry APOE 4- controls, 51 Arab-Israeli ancestry APOE e4- cases, 64 Arab-Israeli ancestry e4- controls	3,062 European ancestry APOE e4+ cases, 8,977 European ancestry APOE e4+ controls, 2,751 European ancestry APOE e4- cases, 11,497 European ancestry APOE e4- controls	initial	1845	East Asian	NR	NR	
GCST004247	28183528	Jun GR	2017-02-06	8,271 European ancestry APOE e4+ cases, 3,480 European ancestry APOE e4+ controls, 4,829 European ancestry APOE e4- cases, 9,740 European ancestry APOE e4- controls, 865 African American APOE e4+ cases, 1,241 African American APOE e4+ control, 607 African American APOE 4e- cases, 2,270 African American APOE 4e- controls, 535 Japanese ancestry APOE 4e+ cases, 151  Japanese ancestry APOE 4+ controls, 416  Japanese ancestry APOE 4- cases, 743 Japanese ancestry APOE 4- controls, 51 Arab-Israeli ancestry APOE e4- cases, 64 Arab-Israeli ancestry e4- controls	3,062 European ancestry APOE e4+ cases, 8,977 European ancestry APOE e4+ controls, 2,751 European ancestry APOE e4- cases, 11,497 European ancestry APOE e4- controls	initial	4983	African American or Afro-Caribbean	NR	NR	
GCST004247	28183528	Jun GR	2017-02-06	8,271 European ancestry APOE e4+ cases, 3,480 European ancestry APOE e4+ controls, 4,829 European ancestry APOE e4- cases, 9,740 European ancestry APOE e4- controls, 865 African American APOE e4+ cases, 1,241 African American APOE e4+ control, 607 African American APOE 4e- cases, 2,270 African American APOE 4e- controls, 535 Japanese ancestry APOE 4e+ cases, 151  Japanese ancestry APOE 4+ controls, 416  Japanese ancestry APOE 4- cases, 743 Japanese ancestry APOE 4- controls, 51 Arab-Israeli ancestry APOE e4- cases, 64 Arab-Israeli ancestry e4- controls	3,062 European ancestry APOE e4+ cases, 8,977 European ancestry APOE e4+ controls, 2,751 European ancestry APOE e4- cases, 11,497 European ancestry APOE e4- controls	replication	26287	European	NR	NR	
GCST004247	28183528	Jun GR	2017-02-06	8,271 European ancestry APOE e4+ cases, 3,480 European ancestry APOE e4+ controls, 4,829 European ancestry APOE e4- cases, 9,740 European ancestry APOE e4- controls, 865 African American APOE e4+ cases, 1,241 African American APOE e4+ control, 607 African American APOE 4e- cases, 2,270 African American APOE 4e- controls, 535 Japanese ancestry APOE 4e+ cases, 151  Japanese ancestry APOE 4+ controls, 416  Japanese ancestry APOE 4- cases, 743 Japanese ancestry APOE 4- controls, 51 Arab-Israeli ancestry APOE e4- cases, 64 Arab-Israeli ancestry e4- controls	3,062 European ancestry APOE e4+ cases, 8,977 European ancestry APOE e4+ controls, 2,751 European ancestry APOE e4- cases, 11,497 European ancestry APOE e4- controls	initial	26320	European	NR	NR	
GCST004248	28183528	Jun GR	2017-02-06	8,271 European ancestry cases, 3,480 European ancestry controls, 865 African American cases, 1,241 African American control, 535 Japanese ancestry cases, 151 Japanese ancestry controls	3,062 European ancestry cases, 8,977 European ancestry controls	initial	686	East Asian	NR	NR	
GCST004248	28183528	Jun GR	2017-02-06	8,271 European ancestry cases, 3,480 European ancestry controls, 865 African American cases, 1,241 African American control, 535 Japanese ancestry cases, 151 Japanese ancestry controls	3,062 European ancestry cases, 8,977 European ancestry controls	initial	11751	European	NR	NR	
