indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_score,matched_mesh_term,matched_phenotype_text,exact_term_match,token_containment,token_jaccard,phrase_inclusion,sequence_similarity,panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID,strong_lexical_candidate,informative_mesh_tokens,informative_phenotype_tokens,shared_informative_tokens,n_shared_informative_tokens,conservative_containment,conservative_jaccard,exact_normalized_term,normalized_phrase_inclusion,subtype_conflict,scope_relation,conservative_matched_mesh_term,conservative_matched_phenotype_text
D003922,"Diabetes Mellitus, Type 1","Diabetes Mellitus, Type 1",4,4,0,4,2,120.77235772357724,"Diabetes Mellitus, Type 1",Diabetes mellitus,False,1.0,0.6666666666666666,True,0.8292682926829268,phecode|250|both_sexes||,phecode,250,both_sexes,,,Diabetes mellitus,,,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,843.0,5793.0,h2_z_insignificant,,,,1695.0,7181.0,PASS,154.0,2555.0,h2_z_insignificant,24348.0,396181.0,PASS,175.0,1424.0,h2_z_insignificant,True,diabete | mellitu | type,diabete | mellitu,diabete | mellitu,2,1.0,0.6666666666666666,False,True,False,phenotype_broader,"Diabetes Mellitus, Type 1",Diabetes mellitus
D003924,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",18,18,9,9,1,255.0,Non-Insulin-Dependent Diabetes Mellitus,E11 Non-insulin-dependent diabetes mellitus,True,1.0,1.0,True,1.0,icd10|E11|both_sexes||,icd10,E11,both_sexes,,,E11 Non-insulin-dependent diabetes mellitus,truncated: true,,"CSA,EUR",2,icd10-E11-both_sexes.tsv.bgz,icd10-E11-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E11-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E11-both_sexes.tsv.bgz.tbi,792.0,5844.0,h2_z_insignificant,,,,1662.0,7214.0,PASS,152.0,2557.0,h2_z_insignificant,22634.0,397897.0,PASS,170.0,1429.0,h2_z_insignificant,True,dependent | diabete | insulin | mellitu | non,dependent | diabete | insulin | mellitu | non,dependent | diabete | insulin | mellitu | non,5,1.0,1.0,True,True,False,same_informative_tokens,Non-Insulin-Dependent Diabetes Mellitus,E11 Non-insulin-dependent diabetes mellitus
D003924,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",18,18,9,9,2,255.0,Type 2 Diabetes,Type 2 diabetes,True,1.0,1.0,True,1.0,phecode|250.2|both_sexes||,phecode,250.2,both_sexes,,,Type 2 diabetes,,,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,796.0,5793.0,h2_z_insignificant,,,,1664.0,7181.0,PASS,152.0,2555.0,h2_z_insignificant,22768.0,396181.0,PASS,170.0,1424.0,h2_z_insignificant,True,diabete | type,diabete | type,diabete | type,2,1.0,1.0,True,True,False,same_informative_tokens,Type 2 Diabetes,Type 2 diabetes
D003924,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",18,18,9,9,3,120.77235772357724,"Diabetes Mellitus, Stable",Diabetes mellitus,False,1.0,0.6666666666666666,True,0.8292682926829268,phecode|250|both_sexes||,phecode,250,both_sexes,,,Diabetes mellitus,,,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,843.0,5793.0,h2_z_insignificant,,,,1695.0,7181.0,PASS,154.0,2555.0,h2_z_insignificant,24348.0,396181.0,PASS,175.0,1424.0,h2_z_insignificant,True,diabete | mellitu | stable,diabete | mellitu,diabete | mellitu,2,1.0,0.6666666666666666,False,True,False,phenotype_broader,"Diabetes Mellitus, Stable",Diabetes mellitus
D020920,Dyssomnias,Dyssomnias,1,1,0,1,1,119.58333333333331,Extrinsic Sleep Disorders,G47 Sleep disorders,False,1.0,0.6666666666666666,True,0.75,icd10|G47|both_sexes||,icd10,G47,both_sexes,,,G47 Sleep disorders,truncated: true,,"CSA,EUR",2,icd10-G47-both_sexes.tsv.bgz,icd10-G47-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-G47-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-G47-both_sexes.tsv.bgz.tbi,140.0,6496.0,h2_z_insignificant,,,,173.0,8703.0,PASS,,,,6557.0,413974.0,PASS,52.0,1547.0,h2_z_insignificant,True,extrinsic | sleep,sleep,sleep,1,1.0,0.5,False,True,False,phenotype_broader,Extrinsic Sleep Disorders,G47 Sleep disorders
D020920,Dyssomnias,Dyssomnias,1,1,0,1,2,119.58333333333331,Extrinsic Sleep Disorders,Sleep disorders,False,1.0,0.6666666666666666,True,0.75,phecode|327|both_sexes||,phecode,327,both_sexes,,,Sleep disorders,,,"CSA,EUR",2,phecode-327-both_sexes.tsv.bgz,phecode-327-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-327-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-327-both_sexes.tsv.bgz.tbi,141.0,6495.0,h2_z_insignificant,,,,174.0,8702.0,PASS,,,,6623.0,413908.0,PASS,52.0,1547.0,h2_z_insignificant,True,extrinsic | sleep,sleep,sleep,1,1.0,0.5,False,True,False,phenotype_broader,Extrinsic Sleep Disorders,Sleep disorders
D004938,Esophageal Neoplasms,Esophageal Neoplasms,1,1,0,1,1,55.41666666666666,Cancer of Esophagus,Diseases of esophagus,False,0.5,0.3333333333333333,False,0.75,phecode|530|both_sexes||,phecode,530,both_sexes,,,Diseases of esophagus,,,"EUR,MID",2,phecode-530-both_sexes.tsv.bgz,phecode-530-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-530-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-530-both_sexes.tsv.bgz.tbi,519.0,6018.0,h2_z_insignificant,95.0,870.0,n_too_low,964.0,7743.0,h2_z_insignificant,151.0,2516.0,h2_z_insignificant,42944.0,371349.0,PASS,172.0,1400.0,PASS,True,esophagu,esophagu,esophagu,1,1.0,1.0,False,False,False,same_informative_tokens,Cancer of Esophagus,Diseases of esophagus
D005764,Gastroesophageal Reflux,Gastroesophageal Reflux,2,2,1,1,1,255.0,GERD,GERD,True,1.0,1.0,True,1.0,phecode|530.11|both_sexes||,phecode,530.11,both_sexes,,,GERD,,,"EUR,MID",2,phecode-530.11-both_sexes.tsv.bgz,phecode-530.11-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-530.11-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-530.11-both_sexes.tsv.bgz.tbi,395.0,6018.0,h2_z_insignificant,63.0,870.0,n_too_low,729.0,7743.0,h2_z_insignificant,117.0,2516.0,h2_z_insignificant,29975.0,371349.0,PASS,128.0,1400.0,PASS,True,gerd,gerd,gerd,1,1.0,1.0,True,True,False,same_informative_tokens,GERD,GERD
D005764,Gastroesophageal Reflux,Gastroesophageal Reflux,2,2,1,1,2,124.18103448275862,Gastro oesophageal Reflux,K21 Gastro-oesophageal reflux disease,False,1.0,0.75,True,0.8620689655172413,icd10|K21|both_sexes||,icd10,K21,both_sexes,,,K21 Gastro-oesophageal reflux disease,truncated: true,,"EUR,MID",2,icd10-K21-both_sexes.tsv.bgz,icd10-K21-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-K21-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-K21-both_sexes.tsv.bgz.tbi,395.0,6241.0,h2_z_insignificant,63.0,917.0,n_too_low,729.0,8147.0,h2_z_insignificant,117.0,2592.0,h2_z_insignificant,29975.0,390556.0,PASS,128.0,1471.0,PASS,True,gastro | oesophageal | reflux,gastro | oesophageal | reflux,gastro | oesophageal | reflux,3,1.0,1.0,False,True,False,same_informative_tokens,Gastro oesophageal Reflux,K21 Gastro-oesophageal reflux disease
D005764,Gastroesophageal Reflux,Gastroesophageal Reflux,2,2,1,1,3,96.67682926829268,GERD,"Esophagitis, GERD and related diseases",False,1.0,0.25,True,0.1951219512195122,phecode|530.1|both_sexes||,phecode,530.1,both_sexes,,,"Esophagitis, GERD and related diseases",,,"EUR,MID",2,phecode-530.1-both_sexes.tsv.bgz,phecode-530.1-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-530.1-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-530.1-both_sexes.tsv.bgz.tbi,478.0,6018.0,h2_z_insignificant,87.0,870.0,n_too_low,910.0,7743.0,h2_z_insignificant,139.0,2516.0,h2_z_insignificant,40018.0,371349.0,PASS,157.0,1400.0,PASS,True,gerd,esophagiti | gerd | related,gerd,1,1.0,0.3333333333333333,False,True,False,phenotype_more_specific,GERD,"Esophagitis, GERD and related diseases"
D006967,Hypersensitivity,Hypersensitivity,4,4,0,4,1,98.63372093023256,Allergy,Allergy/adverse effect of penicillin,False,1.0,0.25,True,0.3255813953488372,phecode|960.2|both_sexes||,phecode,960.2,both_sexes,,,Allergy/adverse effect of penicillin,,,"CSA,EUR",2,phecode-960.2-both_sexes.tsv.bgz,phecode-960.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-960.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-960.2-both_sexes.tsv.bgz.tbi,298.0,6089.0,h2_z_insignificant,,,,434.0,8150.0,PASS,93.0,2535.0,h2_z_insignificant,20021.0,383239.0,PASS,72.0,1478.0,h2_z_insignificant,True,allergy,adverse | allergy | effect | penicillin,allergy,1,1.0,0.25,False,True,False,phenotype_more_specific,Allergy,Allergy/adverse effect of penicillin
D006967,Hypersensitivity,Hypersensitivity,4,4,0,4,2,91.9675925925926,Allergy,"Z88 Personal history of allergy to drugs, medicaments and biologocal substances",False,1.0,0.125,True,0.1728395061728395,icd10|Z88|both_sexes||,icd10,Z88,both_sexes,,,"Z88 Personal history of allergy to drugs, medicaments and biologocal substances",truncated: true,,"CSA,EUR",2,icd10-Z88-both_sexes.tsv.bgz,icd10-Z88-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-Z88-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-Z88-both_sexes.tsv.bgz.tbi,510.0,6126.0,h2_z_insignificant,55.0,925.0,n_too_low,638.0,8238.0,PASS,161.0,2548.0,h2_z_insignificant,32513.0,388018.0,PASS,108.0,1491.0,h2_z_insignificant,True,allergy,allergy | biologocal | drug | history | medicament | personal | substance | to,allergy,1,1.0,0.125,False,True,False,phenotype_more_specific,Allergy,"Z88 Personal history of allergy to drugs, medicaments and biologocal substances"
D006973,Hypertension,Hypertension,19,19,8,11,1,255.0,Hypertension,Hypertension,True,1.0,1.0,True,1.0,phecode|401|both_sexes||,phecode,401,both_sexes,,,Hypertension,,,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,2037.0,4589.0,h2_z_insignificant,160.0,816.0,n_too_low,2690.0,6170.0,PASS,431.0,2272.0,h2_z_insignificant,94311.0,325488.0,PASS,348.0,1245.0,h2_z_insignificant,True,hypertension,hypertension,hypertension,1,1.0,1.0,True,True,False,same_informative_tokens,Hypertension,Hypertension
D006973,Hypertension,Hypertension,19,19,8,11,2,113.08823529411764,Hypertension,Essential hypertension,False,1.0,0.5,True,0.7058823529411765,phecode|401.1|both_sexes||,phecode,401.1,both_sexes,,,Essential hypertension,,,"CSA,EUR",2,phecode-401.1-both_sexes.tsv.bgz,phecode-401.1-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401.1-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401.1-both_sexes.tsv.bgz.tbi,2026.0,4589.0,h2_z_insignificant,158.0,816.0,n_too_low,2682.0,6170.0,PASS,431.0,2272.0,h2_z_insignificant,94062.0,325488.0,PASS,346.0,1245.0,h2_z_insignificant,True,hypertension,essential | hypertension,hypertension,1,1.0,0.5,False,True,False,phenotype_more_specific,Hypertension,Essential hypertension
D020177,Idiopathic Hypersomnia,Idiopathic Hypersomnia,1,1,0,1,2,54.51149425287356,Sleep Inertias,G47 Sleep disorders,False,0.5,0.3333333333333333,False,0.6896551724137931,icd10|G47|both_sexes||,icd10,G47,both_sexes,,,G47 Sleep disorders,truncated: true,,"CSA,EUR",2,icd10-G47-both_sexes.tsv.bgz,icd10-G47-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-G47-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-G47-both_sexes.tsv.bgz.tbi,140.0,6496.0,h2_z_insignificant,,,,173.0,8703.0,PASS,,,,6557.0,413974.0,PASS,52.0,1547.0,h2_z_insignificant,True,inertia | sleep,sleep,sleep,1,1.0,0.5,False,False,False,phenotype_broader,Sleep Inertias,G47 Sleep disorders
D020177,Idiopathic Hypersomnia,Idiopathic Hypersomnia,1,1,0,1,3,54.51149425287356,Sleep Inertias,Sleep disorders,False,0.5,0.3333333333333333,False,0.6896551724137931,phecode|327|both_sexes||,phecode,327,both_sexes,,,Sleep disorders,,,"CSA,EUR",2,phecode-327-both_sexes.tsv.bgz,phecode-327-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-327-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-327-both_sexes.tsv.bgz.tbi,141.0,6495.0,h2_z_insignificant,,,,174.0,8702.0,PASS,,,,6623.0,413908.0,PASS,52.0,1547.0,h2_z_insignificant,True,inertia | sleep,sleep,sleep,1,1.0,0.5,False,False,False,phenotype_broader,Sleep Inertias,Sleep disorders
D007680,Kidney Neoplasms,Kidney Neoplasms,2,2,2,0,1,55.63725490196078,Cancer of Kidney,Calculus of kidney,False,0.5,0.3333333333333333,False,0.7647058823529411,phecode|594.1|both_sexes||,phecode,594.1,both_sexes,,,Calculus of kidney,,,"CSA,EUR",2,phecode-594.1-both_sexes.tsv.bgz,phecode-594.1-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-594.1-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-594.1-both_sexes.tsv.bgz.tbi,,,,,,,106.0,8639.0,PASS,,,,3758.0,411207.0,PASS,,,,True,kidney,calculu | kidney,kidney,1,1.0,0.5,False,False,False,phenotype_more_specific,Cancer of Kidney,Calculus of kidney
D009290,Narcolepsy,Narcolepsy,2,2,1,1,2,51.90860215053763,"Sleep, Paroxysmal",G47 Sleep disorders,False,0.5,0.3333333333333333,False,0.5161290322580645,icd10|G47|both_sexes||,icd10,G47,both_sexes,,,G47 Sleep disorders,truncated: true,,"CSA,EUR",2,icd10-G47-both_sexes.tsv.bgz,icd10-G47-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-G47-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-G47-both_sexes.tsv.bgz.tbi,140.0,6496.0,h2_z_insignificant,,,,173.0,8703.0,PASS,,,,6557.0,413974.0,PASS,52.0,1547.0,h2_z_insignificant,True,paroxysmal | sleep,sleep,sleep,1,1.0,0.5,False,False,False,phenotype_broader,"Sleep, Paroxysmal",G47 Sleep disorders
