indication_mesh_id,indication_mesh_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_rank_score,lexical_score,exact_normalized_match,token_containment,token_jaccard,sequence_similarity,panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,category,is_binary,is_quantitative,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,phenotype_qc_AFR,phenotype_qc_AMR,phenotype_qc_CSA,phenotype_qc_EAS,phenotype_qc_EUR,phenotype_qc_MID
D000086382,COVID-19,1,1,1,0,3,9.230769230769232,9.230769230769232,False,0.0,0.0,0.46153846153846156,biomarkers|30770|both_sexes||irnt,biomarkers,30770,both_sexes,,irnt,IGF-1,,Biological samples > Assay results > Blood assays > Blood biochemistry,False,True,"CSA,EAS,EUR",3,biomarkers-30770-both_sexes-irnt.tsv.bgz,biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi,6178.0,934.0,8364.0,2560.0,398797.0,1493.0,,,,,,,h2_z_insignificant,n_too_low,PASS,PASS,PASS,h2_z_insignificant
D000086382,COVID-19,1,1,1,0,4,9.153846153846153,6.153846153846154,False,0.0,0.0,0.3076923076923077,phecode|496.2|both_sexes||,phecode,496.2,both_sexes,,,Chronic bronchitis,,respiratory,True,False,"CSA,EUR",2,phecode-496.2-both_sexes.tsv.bgz,phecode-496.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-496.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-496.2-both_sexes.tsv.bgz.tbi,77.0,,156.0,,11764.0,,5999.0,,7886.0,,379656.0,,h2_z_insignificant,,PASS,,PASS,
D000086382,COVID-19,1,1,1,0,5,9.153846153846153,6.153846153846154,False,0.0,0.0,0.3076923076923077,phecode|594.1|both_sexes||,phecode,594.1,both_sexes,,,Calculus of kidney,,genitourinary,True,False,"CSA,EUR",2,phecode-594.1-both_sexes.tsv.bgz,phecode-594.1-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-594.1-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-594.1-both_sexes.tsv.bgz.tbi,,,106.0,,3758.0,,,,8639.0,,411207.0,,,,PASS,,PASS,
D000086382,COVID-19,1,1,1,0,6,8.97902097902098,5.979020979020979,False,0.0,0.0,0.23076923076923078,icd10|K80|both_sexes||,icd10,K80,both_sexes,,,K80 Cholelithiasis,truncated: true,"Chapter XI Diseases of the digestive system | K80-K87 Disorders of gallbladder, biliary tract and pancreas | K80 Cholelithiasis",True,False,"EAS,EUR",2,icd10-K80-both_sexes.tsv.bgz,icd10-K80-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-K80-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-K80-both_sexes.tsv.bgz.tbi,120.0,,253.0,67.0,16983.0,,6516.0,,8623.0,2642.0,403548.0,,h2_z_insignificant,,h2_z_insignificant,PASS,PASS,
D000086382,COVID-19,1,1,1,0,7,8.829545454545453,5.829545454545454,False,0.0,0.0,0.2727272727272727,categorical|20116|both_sexes|0|,categorical,20116,both_sexes,0,,Smoking status,This field summarises the current/past smoking status of the participant.,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,True,False,"AFR,EAS,EUR",3,categorical-20116-both_sexes-0.tsv.bgz,categorical-20116-both_sexes-0.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20116-both_sexes-0.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20116-both_sexes-0.tsv.bgz.tbi,4595.0,477.0,6777.0,1970.0,227144.0,802.0,1937.0,485.0,1855.0,679.0,191673.0,761.0,PASS,n_too_low,h2_z_insignificant,PASS,PASS,h2_z_insignificant
D000086382,COVID-19,1,1,1,0,8,8.829545454545453,5.829545454545454,False,0.0,0.0,0.2727272727272727,categorical|20116|both_sexes|1|,categorical,20116,both_sexes,1,,Smoking status,This field summarises the current/past smoking status of the participant.,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,True,False,"AFR,EUR",2,categorical-20116-both_sexes-1.tsv.bgz,categorical-20116-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20116-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20116-both_sexes-1.tsv.bgz.tbi,1131.0,341.0,1082.0,454.0,148481.0,485.0,5401.0,621.0,7550.0,2195.0,270336.0,1078.0,PASS,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,h2_z_insignificant
D000417,Albinism,1,1,0,1,1,13.333333333333332,13.333333333333332,False,0.0,0.0,0.6666666666666666,biomarkers|30600|both_sexes||irnt,biomarkers,30600,both_sexes,,irnt,Albumin,,Biological samples > Assay results > Blood assays > Blood biochemistry,False,True,"AFR,CSA,EUR",3,biomarkers-30600-both_sexes-irnt.tsv.bgz,biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi,5759.0,856.0,7694.0,2340.0,367192.0,1364.0,,,,,,,PASS,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D000417,Albinism,1,1,0,1,2,12.153279153279152,9.153279153279152,False,0.0,0.0,0.45454545454545453,categorical|6138|both_sexes|100|,categorical,6138,both_sexes,100,,Qualifications,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     A levels/AS levels and equivalent includes the Higher School Certificate  O levels/GCSEs and equivalent includes the School Certificate.     ",UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education,True,False,"AFR,CSA,EAS,EUR,MID",5,categorical-6138-both_sexes-100.tsv.bgz,categorical-6138-both_sexes-100.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6138-both_sexes-100.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6138-both_sexes-100.tsv.bgz.tbi,931.0,130.0,1412.0,358.0,73293.0,252.0,5422.0,811.0,6847.0,2167.0,343023.0,1274.0,PASS,n_too_low,PASS,PASS,PASS,PASS
D000417,Albinism,1,1,0,1,3,12.153279153279152,9.153279153279152,False,0.0,0.0,0.45454545454545453,categorical|6138|both_sexes|2|,categorical,6138,both_sexes,2,,Qualifications,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     A levels/AS levels and equivalent includes the Higher School Certificate  O levels/GCSEs and equivalent includes the School Certificate.     ",UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education,True,False,"EAS,EUR",2,categorical-6138-both_sexes-2.tsv.bgz,categorical-6138-both_sexes-2.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6138-both_sexes-2.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6138-both_sexes-2.tsv.bgz.tbi,880.0,177.0,1399.0,416.0,112131.0,272.0,5473.0,764.0,6860.0,2109.0,304185.0,1254.0,h2_z_insignificant,n_too_low,h2_z_insignificant,PASS,PASS,h2_z_insignificant
D000417,Albinism,1,1,0,1,4,12.153279153279152,9.153279153279152,False,0.0,0.0,0.45454545454545453,categorical|6138|both_sexes|3|,categorical,6138,both_sexes,3,,Qualifications,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     A levels/AS levels and equivalent includes the Higher School Certificate  O levels/GCSEs and equivalent includes the School Certificate.     ",UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education,True,False,"CSA,EUR,MID",3,categorical-6138-both_sexes-3.tsv.bgz,categorical-6138-both_sexes-3.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6138-both_sexes-3.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6138-both_sexes-3.tsv.bgz.tbi,2078.0,250.0,2398.0,574.0,195589.0,353.0,4275.0,691.0,5861.0,1951.0,220727.0,1173.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
D000417,Albinism,1,1,0,1,5,12.153279153279152,9.153279153279152,False,0.0,0.0,0.45454545454545453,categorical|6138|both_sexes|4|,categorical,6138,both_sexes,4,,Qualifications,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     A levels/AS levels and equivalent includes the Higher School Certificate  O levels/GCSEs and equivalent includes the School Certificate.     ",UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education,True,False,"AFR,EUR,MID",3,categorical-6138-both_sexes-4.tsv.bgz,categorical-6138-both_sexes-4.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6138-both_sexes-4.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6138-both_sexes-4.tsv.bgz.tbi,1179.0,76.0,943.0,134.0,55317.0,147.0,5174.0,865.0,7316.0,2391.0,360999.0,1379.0,PASS,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
D000417,Albinism,1,1,0,1,6,12.153279153279152,9.153279153279152,False,0.0,0.0,0.45454545454545453,categorical|6138|both_sexes|5|,categorical,6138,both_sexes,5,,Qualifications,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     A levels/AS levels and equivalent includes the Higher School Certificate  O levels/GCSEs and equivalent includes the School Certificate.     ",UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education,True,False,"EAS,EUR",2,categorical-6138-both_sexes-5.tsv.bgz,categorical-6138-both_sexes-5.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6138-both_sexes-5.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6138-both_sexes-5.tsv.bgz.tbi,1702.0,141.0,1062.0,279.0,78286.0,202.0,4651.0,800.0,7197.0,2246.0,338030.0,1324.0,h2_z_insignificant,n_too_low,h2_z_insignificant,PASS,PASS,h2_z_insignificant
D000417,Albinism,1,1,0,1,7,12.153279153279152,9.153279153279152,False,0.0,0.0,0.45454545454545453,categorical|6138|both_sexes|6|,categorical,6138,both_sexes,6,,Qualifications,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     A levels/AS levels and equivalent includes the Higher School Certificate  O levels/GCSEs and equivalent includes the School Certificate.     ",UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education,True,False,"CSA,EUR,MID",3,categorical-6138-both_sexes-6.tsv.bgz,categorical-6138-both_sexes-6.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6138-both_sexes-6.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6138-both_sexes-6.tsv.bgz.tbi,1677.0,189.0,1472.0,582.0,119849.0,254.0,4676.0,752.0,6787.0,1943.0,296467.0,1272.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
D000417,Albinism,1,1,0,1,8,11.37984496124031,8.37984496124031,False,0.0,0.0,0.4166666666666667,categorical|3393|both_sexes|3393|,categorical,3393,both_sexes,3393,,Hearing aid user,"ACE touchscreen question ""Do you use a hearing aid most of the time?""  Initially this information was collected from all participants answering Yes to either ~F2247~ (~F10793~ in the pilot) or ~F2257~. When the speech-in-noise hearing test was introduced (2009), program logic was altered so that the information was collected from all participants except those who indicated they were completely deaf, as defined by their answers to ~F2247~.",UK Biobank Assessment Centre > Touchscreen > Health and medical history > Hearing,True,False,"CSA,EUR",2,categorical-3393-both_sexes-3393.tsv.bgz,categorical-3393-both_sexes-3393.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-3393-both_sexes-3393.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-3393-both_sexes-3393.tsv.bgz.tbi,62.0,,217.0,,12940.0,,4524.0,,6600.0,,241643.0,,h2_z_insignificant,,PASS,,PASS,
D000437,Alcoholism,2,2,0,2,1,14.25,11.25,False,0.0,0.0,0.5625,categorical|20117|both_sexes|0|,categorical,20117,both_sexes,0,,Alcohol drinker status,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,True,False,"AFR,CSA,EUR,MID",4,categorical-20117-both_sexes-0.tsv.bgz,categorical-20117-both_sexes-0.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20117-both_sexes-0.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20117-both_sexes-0.tsv.bgz.tbi,1011.0,64.0,3558.0,555.0,13195.0,469.0,5533.0,899.0,5090.0,2101.0,406741.0,1090.0,PASS,n_too_low,PASS,h2_z_insignificant,PASS,PASS
D000437,Alcoholism,2,2,0,2,2,14.25,11.25,False,0.0,0.0,0.5625,categorical|20117|both_sexes|1|,categorical,20117,both_sexes,1,,Alcohol drinker status,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,True,False,"EUR,MID",2,categorical-20117-both_sexes-1.tsv.bgz,categorical-20117-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20117-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20117-both_sexes-1.tsv.bgz.tbi,344.0,,472.0,118.0,14616.0,111.0,6200.0,,8176.0,2538.0,405320.0,1448.0,h2_z_insignificant,,h2_z_insignificant,h2_z_insignificant,PASS,PASS
D000437,Alcoholism,2,2,0,2,3,14.25,11.25,False,0.0,0.0,0.5625,categorical|20117|both_sexes|2|,categorical,20117,both_sexes,2,,Alcohol drinker status,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,True,False,"AFR,CSA,EUR,MID",4,categorical-20117-both_sexes-2.tsv.bgz,categorical-20117-both_sexes-2.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20117-both_sexes-2.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20117-both_sexes-2.tsv.bgz.tbi,5189.0,868.0,4618.0,1983.0,392125.0,979.0,1355.0,95.0,4030.0,673.0,27811.0,580.0,PASS,n_too_low,PASS,h2_z_insignificant,PASS,PASS
D000437,Alcoholism,2,2,0,2,4,13.285714285714285,10.285714285714285,False,0.0,0.0,0.5142857142857142,phecode|317|both_sexes||,phecode,317,both_sexes,,,Alcohol-related disorders,,mental disorders,True,False,"AFR,EUR",2,phecode-317-both_sexes.tsv.bgz,phecode-317-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-317-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-317-both_sexes.tsv.bgz.tbi,129.0,,166.0,,16070.0,,6272.0,,8471.0,,392046.0,,PASS,,h2_z_insignificant,,PASS,
D000437,Alcoholism,2,2,0,2,5,13.0,10.0,False,0.0,0.0,0.5,phecode|574.1|both_sexes||,phecode,574.1,both_sexes,,,Cholelithiasis,,digestive,True,False,"EAS,EUR",2,phecode-574.1-both_sexes.tsv.bgz,phecode-574.1-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-574.1-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-574.1-both_sexes.tsv.bgz.tbi,120.0,,255.0,68.0,17278.0,,6470.0,,8541.0,2623.0,399542.0,,h2_z_insignificant,,h2_z_insignificant,PASS,PASS,
D000437,Alcoholism,2,2,0,2,6,11.988095238095237,8.988095238095237,False,0.0,0.0,0.42857142857142855,icd10|K80|both_sexes||,icd10,K80,both_sexes,,,K80 Cholelithiasis,truncated: true,"Chapter XI Diseases of the digestive system | K80-K87 Disorders of gallbladder, biliary tract and pancreas | K80 Cholelithiasis",True,False,"EAS,EUR",2,icd10-K80-both_sexes.tsv.bgz,icd10-K80-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-K80-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-K80-both_sexes.tsv.bgz.tbi,120.0,,253.0,67.0,16983.0,,6516.0,,8623.0,2642.0,403548.0,,h2_z_insignificant,,h2_z_insignificant,PASS,PASS,
