category_1,category_2,n_category_1,n_category_2,intersection,union,jaccard,exact_duplicate
C04,C09,112,19,1,130,0.007692307692307693,False
C06,C16,94,47,1,140,0.007142857142857143,False
C08,C14,75,67,1,141,0.0070921985815602835,False
C04,C16,112,47,1,158,0.006329113924050633,False
C16,C23,47,113,1,159,0.006289308176100629,False
C06,C08,94,75,1,168,0.005952380952380952,False
C10,C17,67,102,1,168,0.005952380952380952,False
C11,C18,25,155,1,179,0.00558659217877095,False
C17,C23,102,113,1,214,0.004672897196261682,False
C06,C18,94,155,1,248,0.004032258064516129,False
C04,C18,112,155,1,266,0.0037593984962406013,False
C01,C04,10,112,0,122,0.0,False
C01,C06,10,94,0,104,0.0,False
C01,C07,10,7,0,17,0.0,False
C01,C10,10,67,0,77,0.0,False
C01,C11,10,25,0,35,0.0,False
C01,C12,10,60,0,70,0.0,False
C01,C14,10,67,0,77,0.0,False
C01,C15,10,77,0,87,0.0,False
C01,C16,10,47,0,57,0.0,False
C01,C17,10,102,0,112,0.0,False
C01,C18,10,155,0,165,0.0,False
C01,C19,10,56,0,66,0.0,False
C01,C20,10,135,0,145,0.0,False
C01,C24,10,1,0,11,0.0,False
C01,C25,10,9,0,19,0.0,False
C01,F03,10,66,0,76,0.0,False
C04,C05,112,45,0,157,0.0,False
C04,C10,112,67,0,179,0.0,False
C04,C11,112,25,0,137,0.0,False
C04,C24,112,1,0,113,0.0,False
C04,C25,112,9,0,121,0.0,False
C04,F03,112,66,0,178,0.0,False
C05,C06,45,94,0,139,0.0,False
C05,C08,45,75,0,120,0.0,False
C05,C09,45,19,0,64,0.0,False
C05,C12,45,60,0,105,0.0,False
C05,C14,45,67,0,112,0.0,False
C05,C15,45,77,0,122,0.0,False
C05,C19,45,56,0,101,0.0,False
C05,C23,45,113,0,158,0.0,False
C05,C24,45,1,0,46,0.0,False
C05,C25,45,9,0,54,0.0,False
C05,F03,45,66,0,111,0.0,False
C06,C07,94,7,0,101,0.0,False
C06,C09,94,19,0,113,0.0,False
C06,C10,94,67,0,161,0.0,False
C06,C11,94,25,0,119,0.0,False
C06,C12,94,60,0,154,0.0,False
C06,C14,94,67,0,161,0.0,False
C06,C17,94,102,0,196,0.0,False
C06,C19,94,56,0,150,0.0,False
C06,C24,94,1,0,95,0.0,False
C06,C25,94,9,0,103,0.0,False
C06,F03,94,66,0,160,0.0,False
C07,C08,7,75,0,82,0.0,False
C07,C10,7,67,0,74,0.0,False
C07,C12,7,60,0,67,0.0,False
C07,C14,7,67,0,74,0.0,False
C07,C15,7,77,0,84,0.0,False
C07,C16,7,47,0,54,0.0,False
C07,C18,7,155,0,162,0.0,False
C07,C19,7,56,0,63,0.0,False
C07,C23,7,113,0,120,0.0,False
C07,C24,7,1,0,8,0.0,False
C07,C25,7,9,0,16,0.0,False
C07,F03,7,66,0,73,0.0,False
C08,C10,75,67,0,142,0.0,False
C08,C11,75,25,0,100,0.0,False
C08,C12,75,60,0,135,0.0,False
C08,C15,75,77,0,152,0.0,False
C08,C17,75,102,0,177,0.0,False
C08,C18,75,155,0,230,0.0,False
C08,C19,75,56,0,131,0.0,False
C08,C24,75,1,0,76,0.0,False
C08,C25,75,9,0,84,0.0,False
C08,F03,75,66,0,141,0.0,False
C09,C10,19,67,0,86,0.0,False
C09,C11,19,25,0,44,0.0,False
C09,C12,19,60,0,79,0.0,False
C09,C14,19,67,0,86,0.0,False
C09,C15,19,77,0,96,0.0,False
C09,C16,19,47,0,66,0.0,False
C09,C17,19,102,0,121,0.0,False
C09,C18,19,155,0,174,0.0,False
C09,C19,19,56,0,75,0.0,False
C09,C24,19,1,0,20,0.0,False
C09,C25,19,9,0,28,0.0,False
C09,F03,19,66,0,85,0.0,False
C10,C12,67,60,0,127,0.0,False
C10,C15,67,77,0,144,0.0,False
C10,C25,67,9,0,76,0.0,False
C11,C12,25,60,0,85,0.0,False
C11,C15,25,77,0,102,0.0,False
C11,C19,25,56,0,81,0.0,False
C11,C24,25,1,0,26,0.0,False
C11,C25,25,9,0,34,0.0,False
C11,F03,25,66,0,91,0.0,False
C12,C14,60,67,0,127,0.0,False
C12,C15,60,77,0,137,0.0,False
C12,C16,60,47,0,107,0.0,False
C12,C18,60,155,0,215,0.0,False
C12,C24,60,1,0,61,0.0,False
C12,C25,60,9,0,69,0.0,False
C12,F03,60,66,0,126,0.0,False
C14,C16,67,47,0,114,0.0,False
C14,C18,67,155,0,222,0.0,False
C14,C24,67,1,0,68,0.0,False
C14,C25,67,9,0,76,0.0,False
C14,F03,67,66,0,133,0.0,False
C15,C17,77,102,0,179,0.0,False
C15,C18,77,155,0,232,0.0,False
C15,C19,77,56,0,133,0.0,False
C15,C24,77,1,0,78,0.0,False
C15,C25,77,9,0,86,0.0,False
C15,F03,77,66,0,143,0.0,False
C16,C19,47,56,0,103,0.0,False
C16,C24,47,1,0,48,0.0,False
C16,C25,47,9,0,56,0.0,False
C16,F03,47,66,0,113,0.0,False
C17,C24,102,1,0,103,0.0,False
C17,C25,102,9,0,111,0.0,False
C17,F03,102,66,0,168,0.0,False
C18,C24,155,1,0,156,0.0,False
C18,C25,155,9,0,164,0.0,False
C19,C23,56,113,0,169,0.0,False
C19,C24,56,1,0,57,0.0,False
C19,C25,56,9,0,65,0.0,False
C19,F03,56,66,0,122,0.0,False
C20,C24,135,1,0,136,0.0,False
C20,C25,135,9,0,144,0.0,False
C20,F03,135,66,0,201,0.0,False
C23,C24,113,1,0,114,0.0,False
C23,C25,113,9,0,122,0.0,False
C24,C25,1,9,0,10,0.0,False
